url_id,url_length,subdomain_count,shannon_entropy,has_ip_in_host,has_https,suspicious_keyword_count,is_phishing
URL-10118,95,3,4.701,0,0,0,1
URL-10119,39,1,3.351,0,1,0,0
URL-10120,104,0,4.688,1,1,1,1
URL-10121,137,6,5.165,0,1,1,1
URL-10122,33,0,3.531,0,1,0,0
URL-10123,31,0,4.23,0,1,0,0
URL-10124,35,1,3.343,0,0,0,0
URL-10125,57,3,3.649,0,1,0,0
URL-10126,72,6,5.368,0,0,3,1
URL-10127,114,1,4.383,0,0,1,1
URL-10128,32,3,3.863,0,1,0,0
URL-10129,51,0,3.913,0,1,0,0
URL-10130,61,0,4.144,0,1,1,0
URL-10131,43,0,3.656,0,1,1,0
URL-10132,38,1,3.933,0,1,0,0
URL-10133,38,1,3.718,0,1,1,0
URL-10134,64,8,4.136,0,1,3,1
URL-10135,46,3,2.97,0,1,0,0
URL-10136,39,3,3.419,0,1,0,0
URL-10137,43,1,3.099,0,1,0,0
URL-10138,29,1,3.869,0,1,0,0
URL-10139,30,4,4.693,0,0,1,1
URL-10140,77,4,4.753,1,0,4,1
URL-10141,50,0,3.889,0,1,0,0
URL-10142,33,2,3.087,0,1,0,0
URL-10143,62,3,4.006,0,1,0,0
URL-10144,43,0,3.443,0,1,0,0
URL-10145,22,0,3.661,0,1,0,0
URL-10146,36,0,4.007,0,1,0,0
URL-10147,30,1,3.709,0,0,0,0
URL-10148,12,0,3.453,0,1,0,0
URL-10149,57,1,3.806,0,1,0,0
URL-10150,92,4,4.754,0,1,2,1
URL-10151,44,0,2.825,0,1,0,0
URL-10152,39,1,3.901,0,1,0,0
URL-10153,21,1,3.041,0,1,0,0
URL-10154,50,3,4.056,1,0,3,1
URL-10155,48,4,3.549,0,1,0,0
URL-10156,25,2,3.495,0,1,0,0
URL-10157,109,4,4.482,0,0,3,1
URL-10158,35,0,3.342,0,0,0,0
URL-10159,36,0,3.505,0,1,0,0
URL-10160,39,0,3.57,0,1,0,0
URL-10161,46,0,3.184,0,1,0,0
URL-10162,45,4,3.76,0,1,1,0
URL-10163,41,2,3.783,0,1,0,0
URL-10164,52,0,3.669,0,1,0,0
URL-10165,86,2,4.625,0,0,4,1
URL-10166,44,0,3.801,0,1,0,0
URL-10167,45,0,3.717,0,1,1,0
URL-10168,23,0,2.816,0,1,0,0
URL-10169,19,0,3.574,0,1,0,0
URL-10170,29,0,4.177,0,1,0,0
URL-10171,30,1,3.84,0,1,0,0
URL-10172,47,0,3.904,0,1,0,0
URL-10173,30,2,3.255,0,1,0,0
URL-10174,27,1,3.544,0,1,0,0
URL-10175,30,0,3.436,0,1,0,0
URL-10176,51,0,3.499,0,1,0,0
URL-10177,38,1,3.32,0,1,0,0
URL-10178,129,3,4.383,0,0,5,1
URL-10179,36,1,3.523,0,1,0,0
URL-10180,53,1,3.227,0,1,0,0
URL-10181,29,1,3.705,0,1,1,0
URL-10182,91,3,4.096,0,1,1,1
URL-10183,55,3,4.121,1,1,1,1
URL-10184,36,0,3.984,0,1,0,0
URL-10185,68,1,3.652,0,1,0,0
URL-10186,102,5,4.697,0,1,2,1
URL-10187,33,1,3.382,0,1,0,0
URL-10188,23,1,3.07,0,1,0,0
URL-10189,49,2,3.478,0,1,0,0
URL-10190,58,0,3.738,0,1,0,0
URL-10191,46,4,4.333,0,0,0,1
URL-10192,72,1,4.378,1,0,1,1
URL-10193,35,2,3.517,0,1,0,0
URL-10194,33,0,3.917,0,1,0,0
URL-10195,17,0,3.094,0,1,0,0
URL-10196,62,1,3.551,0,1,1,0
URL-10197,63,3,4.297,0,0,0,1
URL-10198,103,2,4.103,0,1,4,1
URL-10199,130,4,4.059,0,1,2,1
URL-10200,26,2,2.922,0,1,1,0
URL-10201,42,3,3.889,0,1,0,0
URL-10202,35,3,3.626,0,1,0,0
URL-10203,87,2,4.232,0,0,1,1
URL-10204,37,1,3.971,0,1,0,0
URL-10205,20,0,3.223,0,1,0,0
URL-10206,38,1,3.031,0,1,1,0
URL-10207,50,2,3.141,0,1,0,0
URL-10208,37,1,3.686,0,0,0,0
URL-10209,47,2,3.327,0,1,0,0
URL-10210,25,0,3.194,0,1,0,0
URL-10211,37,0,3.158,0,1,0,0
URL-10212,30,2,3.561,0,1,0,0
URL-10213,46,1,3.49,0,1,0,0
URL-10214,38,2,3.003,0,1,0,0
URL-10215,46,3,3.015,0,1,0,0
URL-10216,51,0,3.316,0,1,0,0
URL-10217,46,0,3.821,0,1,0,0
URL-10218,41,2,3.351,0,1,0,0
URL-10219,72,4,4.187,0,0,2,1
URL-10220,37,0,3.47,0,1,0,0
URL-10221,31,1,3.513,0,1,0,0
URL-10222,33,0,2.98,0,1,0,0
URL-10223,33,1,3.074,0,1,0,0
URL-10224,26,2,3.76,0,1,0,0
URL-10225,14,1,3.069,0,1,0,0
URL-10226,114,2,4.313,1,0,3,1
URL-10227,40,2,2.959,0,1,0,0
URL-10228,85,5,4.107,0,0,0,1
URL-10229,38,1,3.508,0,1,1,0
URL-10230,87,4,4.683,0,1,4,1
URL-10231,50,1,3.313,0,1,0,0
URL-10232,57,2,3.553,0,1,0,0
URL-10233,42,0,3.303,0,1,0,0
URL-10234,52,0,3.168,0,0,0,0
URL-10235,29,1,3.672,0,1,0,0
URL-10236,30,3,3.563,0,1,0,0
URL-10237,12,1,3.515,0,1,0,0
URL-10238,52,0,3.494,0,1,0,0
URL-10239,56,0,3.219,0,1,0,0
URL-10240,108,6,3.899,1,0,2,1
URL-10241,66,5,4.104,0,1,2,1
URL-10242,76,5,4.098,0,1,1,1
URL-10243,42,1,3.496,0,1,0,0
URL-10244,51,0,3.363,0,1,0,0
URL-10245,21,3,3.995,0,1,3,1
URL-10246,42,0,3.467,0,1,0,0
URL-10247,83,6,4.796,0,0,1,1
URL-10248,108,3,4.876,0,1,1,1
URL-10249,65,2,4.124,0,1,2,1
URL-10250,35,0,3.112,0,1,0,0
URL-10251,36,0,3.331,0,1,0,0
URL-10252,62,1,4.487,0,1,2,1
URL-10253,49,0,3.724,0,1,0,0
URL-10254,43,0,2.984,0,1,0,0
URL-10255,40,1,3.773,0,1,0,0
URL-10256,62,4,4.521,1,0,0,1
URL-10257,33,1,4.219,0,1,0,0
URL-10258,48,0,4.131,0,1,0,0
URL-10259,38,0,3.221,0,1,0,0
URL-10260,45,2,3.933,0,1,0,0
URL-10261,49,2,4.721,0,1,2,1
URL-10262,50,0,3.607,0,0,1,0
URL-10263,39,2,4.102,0,0,0,0
URL-10264,92,2,4.718,0,1,2,1
URL-10265,12,0,3.52,0,1,0,0
URL-10266,35,1,2.818,0,1,0,0
URL-10267,34,1,3.811,0,1,0,0
URL-10268,42,1,4.236,0,1,0,0
URL-10269,36,1,3.701,0,1,0,0
URL-10270,95,3,4.855,0,0,2,1
URL-10271,97,3,4.502,0,1,1,1
URL-10272,80,4,4.105,0,1,2,1
URL-10273,113,3,4.383,0,0,3,1
URL-10274,58,2,3.673,0,1,1,0
URL-10275,36,1,3.092,0,1,0,0
URL-10276,113,0,4.643,0,0,3,1
URL-10277,49,3,3.323,0,1,0,0
URL-10278,28,1,3.424,0,1,0,0
URL-10279,66,3,4.419,1,0,0,1
URL-10280,85,5,4.169,0,0,1,1
URL-10281,48,1,4.525,0,0,0,0
URL-10282,39,0,3.288,0,1,0,0
URL-10283,41,0,2.959,0,1,0,0
URL-10284,28,1,3.557,0,1,0,0
URL-10285,46,1,3.198,0,1,1,0
URL-10286,63,2,3.357,0,1,0,0
URL-10287,25,0,3.717,0,0,1,0
URL-10288,33,2,3.119,0,1,0,0
URL-10289,40,0,3.373,0,1,0,0
URL-10290,47,3,3.603,0,1,0,0
URL-10291,31,1,3.228,0,1,0,0
URL-10292,56,5,3.953,0,1,1,1
URL-10293,54,2,3.602,0,1,0,0
URL-10294,47,2,3.459,0,1,0,0
URL-10295,17,0,3.555,0,1,1,0
URL-10296,68,7,4.811,0,0,2,1
URL-10297,56,0,3.264,0,1,0,0
URL-10298,55,1,2.986,0,1,0,0
URL-10299,49,2,3.138,0,1,1,0
URL-10300,35,2,3.081,0,1,0,0
URL-10301,38,0,3.931,0,1,0,0
URL-10302,36,2,2.892,0,1,0,0
URL-10303,51,0,3.72,0,1,0,0
URL-10304,27,1,3.26,0,1,0,0
URL-10305,99,4,3.724,0,0,3,1
URL-10306,50,0,3.352,0,1,0,0
URL-10307,37,2,3.511,0,1,0,0
URL-10308,82,3,4.253,0,1,0,1
URL-10309,29,1,3.939,0,1,0,0
URL-10310,37,0,3.3,0,1,0,0
URL-10311,26,1,3.284,0,1,0,0
URL-10312,38,0,3.679,0,0,0,0
URL-10313,54,3,3.869,0,0,1,1
URL-10314,89,0,4.611,0,1,0,1
URL-10315,20,1,3.628,0,1,0,0
URL-10316,46,0,3.734,0,1,0,0
URL-10317,46,2,3.617,0,1,0,0
URL-10318,17,1,3.466,0,1,0,0
URL-10319,54,3,3.312,0,1,0,0
URL-10320,67,0,4.056,0,1,0,0
URL-10321,38,1,4.101,0,1,0,0
URL-10322,30,1,3.538,0,1,0,0
URL-10323,71,2,3.261,0,1,0,0
URL-10324,52,3,4.071,0,1,1,1
URL-10325,38,1,3.651,0,1,0,0
URL-10326,40,0,3.07,0,1,0,0
URL-10327,54,0,3.078,0,1,0,0
URL-10328,42,1,3.331,0,1,1,0
URL-10329,32,1,3.678,0,1,0,0
URL-10330,26,0,4.014,0,1,0,0
URL-10331,70,1,3.709,1,1,2,1
URL-10332,25,0,3.674,0,1,0,0
URL-10333,38,1,3.844,0,1,0,0
URL-10334,31,1,3.811,0,0,0,0
URL-10335,20,1,3.307,0,1,0,0
URL-10336,89,1,4.114,1,0,1,1
URL-10337,32,2,3.861,0,1,0,0
URL-10338,22,0,3.609,0,1,0,0
URL-10339,35,2,3.548,0,1,0,0
URL-10340,38,1,3.71,0,1,0,0
URL-10341,17,3,3.673,0,1,0,0
URL-10342,41,2,2.848,0,1,0,0
URL-10343,25,2,3.65,0,1,0,0
URL-10344,58,0,3.913,0,1,0,0
URL-10345,44,0,3.846,0,1,0,0
URL-10346,33,2,3.632,0,1,0,0
URL-10347,29,0,3.552,0,1,1,0
URL-10348,36,2,3.361,0,1,0,0
URL-10349,45,0,3.46,0,1,0,0
URL-10350,37,1,3.755,0,0,0,0
URL-10351,105,4,4.984,0,0,1,1
URL-10352,38,2,3.816,0,1,0,0
URL-10353,30,1,3.318,0,1,0,0
URL-10354,33,1,3.879,0,0,0,0
URL-10355,12,0,3.284,0,1,0,0
URL-10356,49,2,3.571,0,1,0,0
URL-10357,41,3,3.303,0,0,0,0
URL-10358,69,5,4.443,0,0,1,1
URL-10359,60,0,4.212,0,1,1,0
URL-10360,39,1,3.678,0,1,0,0
URL-10361,25,0,3.579,0,1,0,0
URL-10362,48,0,3.994,0,1,0,0
URL-10363,42,0,2.602,0,1,1,0
URL-10364,87,1,4.729,0,0,0,1
URL-10365,32,0,3.325,0,1,0,0
URL-10366,93,1,4.256,0,1,2,1
URL-10367,100,2,4.008,0,1,2,1
URL-10368,44,1,3.423,0,1,0,0
URL-10369,15,3,3.743,0,0,0,0
URL-10370,32,1,3.449,0,1,0,0
URL-10371,58,4,3.78,0,1,0,0
URL-10372,28,1,3.525,0,1,0,0
URL-10373,30,1,3.908,0,1,0,0
URL-10374,32,4,3.324,0,0,0,0
URL-10375,23,1,2.845,0,1,0,0
URL-10376,103,5,4.43,1,0,0,1
URL-10377,35,2,3.326,0,1,0,0
URL-10378,59,3,4.482,0,0,6,1
URL-10379,37,1,3.293,0,1,0,0
URL-10380,36,0,3.899,0,0,1,0
URL-10381,38,2,2.975,0,1,1,0
URL-10382,50,1,4.028,0,1,0,0
URL-10383,56,1,4.481,0,1,3,1
URL-10384,31,3,3.065,0,1,0,0
URL-10385,64,4,4.109,0,1,3,1
URL-10386,44,1,4.025,0,1,0,0
URL-10387,54,1,3.251,0,1,1,0
URL-10388,116,2,4.625,0,0,4,1
URL-10389,99,3,4.489,0,0,2,1
URL-10390,88,0,4.488,0,0,1,1
URL-10391,26,4,3.344,0,1,0,0
URL-10392,38,2,3.656,0,1,0,0
URL-10393,91,6,4.83,0,0,2,1
URL-10394,16,0,3.462,0,1,0,0
URL-10395,70,2,4.35,0,1,2,1
URL-10396,84,4,4.233,0,1,3,1
URL-10397,40,0,4.477,0,1,0,0
URL-10398,87,3,4.63,0,0,1,1
URL-10399,72,3,4.001,1,0,2,1
URL-10400,37,2,3.514,0,1,0,0
URL-10401,117,4,4.072,0,0,1,1
URL-10402,54,0,3.517,0,1,0,0
URL-10403,74,6,4.24,0,1,0,1
URL-10404,35,2,3.29,0,1,1,0
URL-10405,66,4,4.31,0,0,2,1
URL-10406,44,3,4.014,0,1,0,0
URL-10407,34,0,3.198,0,1,0,0
URL-10408,49,3,4.869,0,0,1,1
URL-10409,48,1,3.624,0,0,0,0
URL-10410,38,1,3.755,0,1,0,0
URL-10411,57,3,4.667,0,1,1,1
URL-10412,100,3,4.77,0,1,0,1
URL-10413,21,0,3.226,0,1,0,0
URL-10414,39,1,3.561,0,1,0,0
URL-10415,34,1,4.019,0,1,0,0
URL-10416,45,1,4.057,0,1,0,0
URL-10417,37,1,3.579,0,1,0,0
URL-10418,40,0,3.314,0,1,0,0
URL-10419,73,2,4.298,0,1,1,1
URL-10420,72,3,4.847,0,0,1,1
URL-10421,59,2,4.395,0,0,4,1
URL-10422,46,1,3.772,0,1,0,0
URL-10423,27,1,3.167,0,1,0,0
URL-10424,41,1,3.796,0,0,0,0
URL-10425,22,1,3.554,0,1,0,0
URL-10426,43,0,3.9,0,1,0,0
URL-10427,71,1,4.073,1,1,4,1
URL-10428,38,3,3.704,0,1,0,0
URL-10429,46,1,3.66,0,1,0,0
URL-10430,23,1,3.309,0,1,0,0
URL-10431,61,5,4.129,1,0,2,1
URL-10432,43,2,3.782,0,1,0,0
URL-10433,63,1,3.2,0,1,0,0
URL-10434,36,1,3.382,0,0,0,0
URL-10435,45,1,3.372,0,1,0,0
URL-10436,36,1,3.628,0,1,0,0
URL-10437,45,6,4.983,0,1,1,1
URL-10438,17,2,2.955,0,1,0,0
URL-10439,39,0,3.246,0,1,1,0
URL-10440,18,1,3.23,0,1,0,0
URL-10441,64,2,4.393,0,1,0,1
URL-10442,41,1,2.803,0,1,0,0
URL-10443,39,0,3.897,0,1,0,0
URL-10444,77,1,4.498,0,1,1,1
URL-10445,56,3,3.938,0,0,1,1
URL-10446,92,3,4.521,1,0,2,1
URL-10447,33,3,4.531,1,1,1,1
URL-10448,44,2,3.677,0,1,1,0
URL-10449,30,2,3.495,0,1,1,0
URL-10450,82,4,4.397,0,0,1,1
URL-10451,35,2,3.796,0,1,0,0
URL-10452,33,0,3.686,0,1,0,0
URL-10453,52,1,3.682,0,1,0,1
URL-10454,52,0,3.549,0,1,0,0
URL-10455,39,2,3.728,0,1,0,0
URL-10456,12,1,3.457,0,1,0,0
URL-10457,33,3,3.613,0,1,0,0
URL-10458,70,1,3.632,0,1,0,0
URL-10459,35,0,3.345,0,1,0,0
URL-10460,51,1,3.274,0,1,1,0
URL-10461,55,2,3.724,0,1,0,0
URL-10462,40,0,3.659,0,1,0,0
URL-10463,27,3,4.014,0,1,0,0
URL-10464,123,5,4.152,1,1,3,1
URL-10465,46,0,3.152,0,1,0,0
URL-10466,28,1,3.504,0,1,0,0
URL-10467,87,4,4.138,0,1,2,1
URL-10468,23,5,2.757,0,1,1,0
URL-10469,29,0,4.921,0,1,1,1
URL-10470,38,0,3.733,0,1,0,0
URL-10471,99,5,3.935,0,1,2,1
URL-10472,24,0,3.375,0,1,0,0
URL-10473,42,1,4.725,0,0,0,1
URL-10474,30,2,3.496,0,1,0,0
URL-10475,120,4,4.945,0,0,3,1
URL-10476,36,5,3.736,0,1,0,0
URL-10477,38,0,3.521,0,1,0,0
URL-10478,101,4,4.482,0,0,1,1
URL-10479,54,3,2.816,0,1,0,0
URL-10480,35,1,3.381,0,1,0,0
URL-10481,36,1,3.757,0,1,0,0
URL-10482,24,4,3.9,0,1,0,0
URL-10483,47,0,3.771,0,1,0,0
URL-10484,40,0,3.166,0,1,0,0
URL-10485,70,6,4.277,0,1,0,1
URL-10486,15,1,2.717,0,1,0,0
URL-10487,55,0,3.516,0,1,2,0
URL-10488,133,2,4.805,0,1,0,1
URL-10489,74,1,4.602,0,1,1,1
URL-10490,42,1,3.702,0,1,0,0
URL-10491,23,0,3.693,0,1,0,0
URL-10492,20,1,3.389,0,1,0,0
URL-10493,12,0,2.649,0,1,0,0
URL-10494,46,0,3.969,0,1,0,0
URL-10495,31,0,3.651,0,1,0,0
URL-10496,73,0,3.062,0,1,0,0
URL-10497,26,2,3.63,0,1,0,0
URL-10498,62,4,4.998,0,0,1,1
URL-10499,64,4,4.565,0,1,2,1
URL-10500,40,1,3.665,0,1,0,0
URL-10501,32,0,3.666,0,1,0,0
URL-10502,45,1,3.57,0,1,0,0
URL-10503,83,2,4.222,0,0,1,1
URL-10504,21,1,3.735,0,0,0,0
URL-10505,16,0,3.491,0,1,0,0
URL-10506,60,2,4.917,1,0,1,1
URL-10507,72,2,4.464,0,0,1,1
URL-10508,107,6,5.5,1,0,0,1
URL-10509,30,1,3.871,0,1,1,0
URL-10510,52,2,4.193,0,1,0,0
URL-10511,52,2,3.904,0,1,0,0
URL-10512,50,1,4.751,1,1,1,1
URL-10513,95,4,4.253,0,1,1,1
URL-10514,31,1,3.398,0,1,0,0
URL-10515,30,0,3.155,0,1,0,0
URL-10516,30,1,4.181,0,1,0,0
URL-10517,55,2,5.3,0,0,2,1
URL-10518,91,5,4.517,0,1,3,1
URL-10519,33,2,3.432,0,1,0,0
URL-10520,30,0,3.46,0,1,1,0
URL-10521,40,0,3.711,0,1,0,0
URL-10522,25,1,4.918,0,1,3,1
URL-10523,63,1,5.165,0,1,0,1
URL-10524,77,4,3.803,0,0,0,1
URL-10525,26,4,3.443,0,1,0,0
URL-10526,18,0,3.414,0,1,1,0
URL-10527,42,3,3.409,0,1,0,0
URL-10528,28,1,3.377,0,1,0,0
URL-10529,73,4,4.19,0,1,3,1
URL-10530,22,2,4.013,0,1,1,1
URL-10531,24,2,4.091,0,0,3,1
URL-10532,62,4,4.742,0,1,3,1
URL-10533,19,3,3.085,0,1,0,0
URL-10534,12,4,3.753,0,1,3,1
URL-10535,65,4,4.413,0,1,3,1
URL-10536,64,3,4.06,0,0,3,1
URL-10537,27,1,3.175,0,1,0,0
URL-10538,12,0,4.398,0,1,0,0
URL-10539,33,1,3.413,0,1,0,0
URL-10540,81,2,4.198,0,0,3,1
URL-10541,46,1,3.548,0,1,0,0
URL-10542,21,1,3.767,0,1,0,0
URL-10543,19,1,3.451,0,1,0,0
URL-10544,43,1,3.585,0,1,1,0
URL-10545,50,2,3.851,0,1,0,0
URL-10546,19,0,3.166,0,1,0,0
URL-10547,50,2,3.562,0,1,0,0
URL-10548,38,1,3.276,0,1,2,0
URL-10549,85,4,4.886,0,0,3,1
URL-10550,37,2,4.113,0,1,0,0
URL-10551,67,4,4.845,0,1,1,1
URL-10552,36,2,3.128,0,1,0,0
URL-10553,50,3,3.461,0,1,0,0
URL-10554,40,2,4.383,0,0,2,1
URL-10555,33,0,3.424,0,1,0,0
URL-10556,35,1,3.263,0,1,0,0
URL-10557,12,2,3.679,0,1,0,0
URL-10558,66,4,4.905,0,0,5,1
URL-10559,27,0,3.439,0,1,0,0
URL-10560,44,1,3.276,0,1,0,0
URL-10561,36,2,3.532,0,1,0,0
URL-10562,53,1,4.022,0,1,0,0
URL-10563,42,0,3.681,0,1,0,0
URL-10564,35,2,3.451,0,1,0,0
URL-10565,27,3,2.777,0,1,0,0
URL-10566,47,2,3.482,0,1,0,0
URL-10567,15,1,3.772,0,1,0,0
URL-10568,80,1,4.24,0,0,1,1
URL-10569,24,3,3.959,0,1,0,0
URL-10570,53,1,3.264,0,1,0,0
URL-10571,96,3,4.473,0,1,2,1
URL-10572,45,0,3.458,0,1,0,0
URL-10573,38,2,3.748,0,1,0,0
URL-10574,80,4,4.478,0,0,3,1
URL-10575,84,5,4.558,0,1,4,1
URL-10576,46,1,3.365,0,1,0,0
URL-10577,83,0,4.602,0,0,0,1
URL-10578,52,1,3.888,0,1,0,0
URL-10579,42,1,3.609,0,1,0,0
URL-10580,26,0,3.761,0,1,1,0
URL-10581,66,2,3.841,0,0,1,1
URL-10582,39,1,3.781,0,1,0,0
URL-10583,12,2,3.128,0,1,0,0
URL-10584,58,0,3.184,0,1,0,0
URL-10585,43,0,3.83,0,1,1,0
URL-10586,52,1,3.475,0,1,1,0
URL-10587,19,3,3.414,0,1,0,0
URL-10588,52,0,3.178,0,1,0,0
URL-10589,64,0,3.782,0,1,1,0
URL-10590,22,1,4.153,0,1,0,0
URL-10591,47,2,3.713,0,1,0,0
URL-10592,38,1,3.343,0,1,0,0
URL-10593,19,0,3.985,0,1,0,0
URL-10594,86,2,4.408,0,1,1,1
URL-10595,48,0,3.348,0,1,0,0
URL-10596,30,2,3.946,0,1,0,0
URL-10597,51,2,3.437,0,1,0,0
URL-10598,17,0,2.995,0,0,0,0
URL-10599,20,2,3.389,0,1,0,0
URL-10600,39,2,3.686,0,0,0,0
URL-10601,38,2,3.249,0,1,0,0
URL-10602,29,1,2.845,0,1,0,0
URL-10603,47,1,4.014,0,1,0,0
URL-10604,44,1,4.548,0,1,0,0
URL-10605,48,1,3.334,0,1,0,0
URL-10606,36,3,3.28,0,1,0,0
URL-10607,45,2,3.029,0,1,0,0
URL-10608,32,0,3.213,0,1,0,0
URL-10609,62,0,2.965,0,1,0,0
URL-10610,28,2,3.043,0,1,0,0
URL-10611,62,1,4.344,0,0,0,1
URL-10612,38,1,2.947,0,1,0,0
URL-10613,21,0,2.986,0,1,0,0
URL-10614,108,1,4.555,0,1,0,1
URL-10615,71,3,4.545,0,1,2,1
URL-10616,48,4,3.625,0,1,0,0
URL-10617,52,1,3.38,0,1,1,0
URL-10618,32,1,3.443,0,0,3,1
URL-10619,30,0,3.773,0,1,0,0
URL-10620,49,1,3.308,0,1,0,0
URL-10621,38,1,3.748,0,1,0,0
URL-10622,46,1,3.353,0,1,0,0
URL-10623,12,1,3.213,0,1,0,0
URL-10624,43,1,3.124,0,1,0,0
URL-10625,30,1,2.92,0,1,0,0
URL-10626,57,1,3.066,0,1,0,0
URL-10627,45,3,2.879,0,1,0,0
URL-10628,40,1,3.152,0,1,0,0
URL-10629,43,1,3.787,0,1,0,0
URL-10630,26,1,3.497,0,1,0,0
