date,daily_return,realized_volatility,finbert_sentiment_polarity,news_headline_volume,vix_close
2023-06-28,-0.00738,0.1223,0.29,39,16.12
2023-06-29,0.00683,0.1648,0.42,39,18.92
2023-06-30,0.02543,0.1931,-0.566,51,16.39
2023-07-03,0.0006,0.1546,-0.364,43,11.99
2023-07-04,-0.0105,0.2376,-0.664,49,18.79
2023-07-05,-0.001,0.1218,-0.044,52,14.04
2023-07-06,0.01678,0.1891,0.301,39,20.49
2023-07-07,-0.00323,0.0893,0.576,47,14.64
2023-07-10,-0.00923,0.1913,0.076,40,25.01
2023-07-11,-0.00309,0.1147,0.62,53,15.21
2023-07-12,-0.00974,0.1689,-0.433,48,17.15
2023-07-13,0.00223,0.2369,-0.546,34,21.92
2023-07-14,0.01318,0.1249,0.031,42,13.33
2023-07-17,0.00444,0.1985,0.184,50,19.46
2023-07-18,-0.00309,0.2196,0.039,33,23.99
2023-07-19,-0.00275,0.1716,-0.674,49,11.75
2023-07-20,-0.01966,0.2037,0.019,53,19.28
2023-07-21,0.0145,0.2535,-0.407,45,19.59
2023-07-24,-0.00055,0.1943,0.284,52,21.78
2023-07-25,-0.00093,0.117,0.178,49,13.3
2023-07-26,0.02184,0.1066,-0.279,40,12.95
2023-07-27,0.00359,0.1695,-0.13,51,20.69
2023-07-28,-0.00902,0.199,-0.321,49,19.75
2023-07-31,-0.00391,0.1604,0.028,49,19.55
2023-08-01,0.01102,0.1468,0.384,47,19.96
2023-08-02,0.00167,0.1775,-0.295,54,15.64
2023-08-03,-0.01587,0.1796,0.226,52,19.48
2023-08-04,0.01126,0.1876,-0.136,42,19.73
2023-08-07,-0.00698,0.1753,-0.228,37,15.5
2023-08-08,0.02844,0.2376,0.013,52,26.34
2023-08-09,0.01085,0.1536,-0.312,48,20.49
2023-08-10,-0.00285,0.1153,-0.144,48,13.5
2023-08-11,0.01822,0.2208,-0.369,51,21.26
2023-08-14,0.00061,0.05,0.738,50,14.41
2023-08-15,0.01216,0.219,0.062,63,21.81
2023-08-16,0.00873,0.2729,-0.195,49,23.37
2023-08-17,-0.00853,0.1675,0.125,41,15.05
2023-08-18,-0.00727,0.1891,0.011,32,22.55
2023-08-21,0.01531,0.2298,-0.027,42,20.23
2023-08-22,-0.00348,0.1839,0.265,50,21.95
2023-08-23,-0.00472,0.2014,0.315,50,26.47
2023-08-24,-0.00891,0.1547,-0.136,45,17.47
2023-08-25,0.00441,0.1502,-0.152,49,15.33
2023-08-28,0.01751,0.1317,-0.046,43,14.76
2023-08-29,-0.01337,0.2047,-0.756,37,15.07
2023-08-30,0.00073,0.2132,-0.48,49,18.18
2023-08-31,0.01235,0.1343,0.528,34,19.93
2023-09-01,-0.00032,0.1443,0.626,48,19.66
2023-09-04,0.00737,0.2445,-0.037,60,21.97
2023-09-05,-0.01157,0.1788,0.252,44,18.55
2023-09-06,0.00475,0.1611,0.159,43,24.6
2023-09-07,-0.00019,0.05,1.0,43,17.39
2023-09-08,0.01652,0.2596,0.442,55,29.92
2023-09-11,0.0114,0.1471,0.005,39,21.13
2023-09-12,0.02637,0.1592,-0.284,48,14.9
2023-09-13,0.00569,0.1449,-0.512,54,14.0
2023-09-14,0.00313,0.133,0.121,65,20.53
2023-09-15,0.00286,0.2009,-0.215,54,17.56
2023-09-18,-0.00529,0.2556,-0.448,50,21.5
2023-09-19,0.00421,0.1787,-0.176,36,20.49
2023-09-20,-0.00188,0.1226,-0.329,57,18.19
2023-09-21,0.00122,0.0774,0.64,51,14.94
2023-09-22,0.00855,0.0982,0.359,36,12.14
2023-09-25,-0.00654,0.1094,0.047,49,16.62
2023-09-26,0.01159,0.1558,0.568,38,22.1
2023-09-27,0.01406,0.1646,0.077,32,19.4
2023-09-28,-0.00082,0.1636,-0.251,40,13.27
2023-09-29,-0.01715,0.1313,0.583,41,19.23
2023-10-02,-0.00474,0.1342,0.239,43,20.12
2023-10-03,0.01696,0.2027,-0.313,47,14.79
2023-10-04,0.00015,0.1742,-0.017,49,19.15
2023-10-05,-0.01189,0.1952,-0.256,51,18.74
2023-10-06,-0.00401,0.1388,-0.434,45,13.7
2023-10-09,0.00756,0.1353,0.374,37,20.0
2023-10-10,0.00406,0.1063,0.718,47,20.86
2023-10-11,-0.00317,0.2374,-0.439,46,23.05
2023-10-12,-0.00504,0.2355,0.247,41,22.93
2023-10-13,-0.00187,0.0918,-0.178,34,12.71
2023-10-16,-0.00487,0.0907,-0.12,26,14.56
2023-10-17,0.02518,0.2435,-0.157,43,20.66
2023-10-18,-0.00371,0.2022,-0.252,46,20.66
2023-10-19,0.01308,0.1654,0.067,51,20.66
2023-10-20,0.0336,0.3464,-0.241,37,34.68
2023-10-23,0.01055,0.1614,0.145,48,20.9
2023-10-24,-0.00649,0.2533,0.032,30,23.27
2023-10-25,0.00619,0.2276,-0.034,49,22.51
2023-10-26,9e-05,0.2012,-0.268,49,21.24
2023-10-27,-0.013,0.2353,-0.152,42,17.18
2023-10-30,0.00353,0.1532,0.314,46,21.69
2023-10-31,-0.01061,0.1483,0.225,44,15.25
2023-11-01,0.01498,0.1949,-0.292,45,17.51
2023-11-02,-0.00488,0.1805,0.085,33,16.46
2023-11-03,0.00284,0.1926,0.313,40,18.84
2023-11-06,0.00569,0.2965,-0.534,54,28.22
2023-11-07,-0.00062,0.0624,0.24,38,10.66
2023-11-08,0.00866,0.2234,-0.182,48,21.38
2023-11-09,-0.00189,0.0765,0.25,46,11.73
2023-11-10,0.01296,0.2289,-0.217,38,16.52
2023-11-13,-0.02094,0.2517,-0.582,33,23.07
2023-11-14,0.002,0.2008,-0.52,40,18.77
2023-11-15,0.01738,0.139,0.067,54,13.97
2023-11-16,-0.00573,0.0973,0.141,50,15.5
2023-11-17,-0.00746,0.184,-0.267,42,21.35
2023-11-20,0.00573,0.1646,0.274,54,15.43
2023-11-21,0.00266,0.2001,-0.532,44,19.41
2023-11-22,0.00346,0.1385,0.027,45,18.69
2023-11-23,0.00655,0.1996,-0.374,55,15.76
2023-11-24,0.01199,0.2899,-0.178,40,27.5
2023-11-27,0.01532,0.2135,0.067,56,21.16
2023-11-28,0.00447,0.1575,-0.251,47,10.5
2023-11-29,-0.00208,0.1633,-0.085,50,19.28
2023-11-30,0.00336,0.0699,0.402,38,15.72
2023-12-01,0.03233,0.2668,-0.152,66,22.08
2023-12-04,-0.00053,0.1108,0.342,53,15.17
2023-12-05,-0.01091,0.1843,-0.345,40,18.02
2023-12-06,0.01491,0.208,0.235,44,20.62
2023-12-07,-0.00089,0.1704,0.555,42,22.14
2023-12-08,-0.02767,0.2051,-0.815,37,13.46
2023-12-11,0.01388,0.2525,-0.229,65,17.1
2023-12-12,-0.00353,0.1166,0.252,48,16.51
2023-12-13,-0.00063,0.1811,-0.021,51,15.76
2023-12-14,0.00488,0.2141,0.18,39,25.91
2023-12-15,0.00282,0.2016,-0.161,38,20.2
2023-12-18,0.00782,0.1661,0.08,42,13.2
2023-12-19,-0.00554,0.2164,-0.004,44,22.36
2023-12-20,0.00759,0.2223,0.459,47,27.41
2023-12-21,-0.00323,0.2222,0.139,37,22.84
2023-12-22,0.00489,0.0965,0.168,48,12.12
2023-12-25,0.00573,0.1376,-0.094,47,16.47
2023-12-26,-0.0107,0.1884,-0.121,39,23.82
2023-12-27,0.00678,0.0933,-0.101,40,15.53
2023-12-28,-0.00745,0.2326,0.188,46,20.36
2023-12-29,0.00868,0.1627,-0.097,28,21.75
2024-01-01,0.00318,0.1201,0.151,44,14.61
2024-01-02,0.01153,0.0961,0.776,41,18.25
2024-01-03,-0.00071,0.0788,0.355,28,10.5
2024-01-04,-0.00328,0.1672,-0.064,48,14.2
2024-01-05,0.00022,0.1497,0.47,44,17.44
2024-01-08,-0.00186,0.1185,-0.093,45,13.26
2024-01-09,0.01395,0.2689,-0.663,36,25.36
2024-01-10,-0.0152,0.1532,-0.303,41,12.49
2024-01-11,-0.01242,0.1931,-0.605,38,16.65
2024-01-12,-0.01568,0.239,-0.073,65,19.05
2024-01-15,0.0142,0.2306,0.056,48,24.55
2024-01-16,0.01095,0.0979,0.637,54,12.47
2024-01-17,-0.00104,0.2183,0.164,49,23.39
2024-01-18,-0.00189,0.2152,-0.027,59,18.54
2024-01-19,0.00091,0.1157,0.34,45,14.38
2024-01-22,0.01573,0.2095,-0.724,54,20.44
2024-01-23,-0.01015,0.1806,0.132,49,19.34
2024-01-24,0.00193,0.1022,0.32,39,15.98
2024-01-25,0.01228,0.1934,-0.468,43,18.79
2024-01-26,0.00463,0.1341,0.45,35,16.88
2024-01-29,0.00282,0.2025,0.168,54,18.98
2024-01-30,0.01311,0.2015,-0.095,46,21.28
2024-01-31,-0.03635,0.2158,0.271,54,25.16
2024-02-01,0.00511,0.1104,0.845,41,13.3
2024-02-02,-0.00965,0.2438,0.114,52,27.46
2024-02-05,-0.01997,0.1766,0.137,51,10.5
2024-02-06,0.00667,0.1947,-0.111,52,17.86
2024-02-07,0.01405,0.1577,-0.247,46,20.97
2024-02-08,-0.0011,0.1733,0.341,41,19.68
2024-02-09,0.0112,0.18,-0.25,43,15.88
2024-02-12,0.02023,0.1952,0.075,43,17.63
2024-02-13,0.01535,0.1805,-0.117,39,16.43
2024-02-14,0.01343,0.1261,0.218,39,16.02
2024-02-15,0.00741,0.15,0.167,47,22.07
2024-02-16,0.00109,0.1442,0.413,47,20.0
2024-02-19,-0.01282,0.131,-0.129,43,15.59
2024-02-20,-0.0025,0.1869,-0.044,45,22.28
2024-02-21,-0.01133,0.2209,-0.293,43,19.79
2024-02-22,0.03559,0.2573,-0.106,47,21.91
2024-02-23,-0.0017,0.1899,0.182,47,21.14
