zone_id,latitude,longitude,registered_ev_count,daily_traffic_flow,median_household_income,commercial_poi_count,power_grid_capacity_mw,existing_chargers
ZN-5062,37.68639,-122.3763,179,9985,115611,14,2.91,8
ZN-5063,37.6792,-122.49305,160,30813,97067,12,6.72,7
ZN-5064,37.8399,-122.40585,164,14939,92019,19,2.09,4
ZN-5065,37.8834,-122.5325,133,22377,117993,16,8.05,8
ZN-5066,37.76914,-122.4283,143,28189,77163,14,4.46,8
ZN-5067,37.85518,-122.49171,148,4113,57334,10,10.92,3
ZN-5068,37.80383,-122.47824,194,24757,57192,13,13.19,5
ZN-5069,37.72329,-122.32051,185,21893,75090,14,10.41,9
ZN-5070,37.80381,-122.3321,150,27842,111491,10,8.71,9
ZN-5071,37.89794,-122.37067,152,10910,84430,12,7.9,3
ZN-5072,37.77203,-122.50679,123,26707,100112,14,15.76,4
ZN-5073,37.90007,-122.44471,176,13563,82617,18,5.0,6
ZN-5074,37.56532,-122.32235,206,24328,82816,15,13.9,0
ZN-5075,37.84065,-122.40806,177,17783,69363,13,14.3,2
ZN-5076,37.78186,-122.23385,174,22624,92702,15,8.45,0
ZN-5077,37.75098,-122.38793,136,18293,90620,20,6.34,14
ZN-5078,37.78224,-122.40404,187,6963,105316,10,9.34,6
ZN-5079,37.61589,-122.44413,118,3000,102192,13,2.81,0
ZN-5080,37.75733,-122.40872,197,19259,90071,21,1.99,7
ZN-5081,37.80347,-122.4316,131,16417,57347,22,3.13,7
ZN-5082,37.89313,-122.36275,193,20389,121764,18,4.44,20
ZN-5083,37.73344,-122.34286,202,16487,92873,12,9.92,5
ZN-5084,37.71022,-122.48228,127,30108,96991,11,15.89,1
ZN-5085,37.73476,-122.5259,193,19383,135012,13,5.28,6
ZN-5086,37.84813,-122.5663,165,15318,117705,11,17.38,6
ZN-5087,37.8012,-122.37876,141,20024,106161,11,17.72,5
ZN-5088,37.73252,-122.50767,184,15427,94942,13,17.79,3
ZN-5089,37.81596,-122.59163,132,18557,94708,19,15.69,2
ZN-5090,37.78267,-122.38831,169,10695,101002,13,7.49,9
ZN-5091,37.85239,-122.21996,169,17948,105172,9,2.46,0
ZN-5092,37.71874,-122.41989,183,15132,137785,12,11.04,15
ZN-5093,37.74869,-122.35232,149,11263,156831,15,10.87,9
ZN-5094,37.74353,-122.41285,141,29854,102256,19,15.9,8
ZN-5095,37.65782,-122.42731,137,11497,41168,12,18.43,0
ZN-5096,37.79859,-122.34587,197,18041,71206,13,9.99,9
ZN-5097,37.79578,-122.44262,174,13183,140287,15,7.17,11
ZN-5098,37.77531,-122.39801,162,19782,112966,16,4.42,18
ZN-5099,37.75613,-122.39366,156,10353,105651,13,1.28,12
ZN-5100,37.66167,-122.47285,151,23042,90829,12,10.01,3
ZN-5101,37.74125,-122.34004,201,30216,65274,11,10.81,2
ZN-5102,37.74748,-122.4334,184,12962,136944,13,15.47,11
ZN-5103,37.71072,-122.47986,167,25301,74419,26,9.93,2
ZN-5104,37.762,-122.37648,176,15708,113232,12,17.05,6
ZN-5105,37.80722,-122.49128,206,27034,62482,14,12.07,6
ZN-5106,37.92579,-122.41715,160,31130,89616,15,15.74,0
ZN-5107,37.78887,-122.42013,189,16597,119823,17,3.77,11
ZN-5108,37.7955,-122.33253,148,8878,88757,14,16.0,6
ZN-5109,37.76894,-122.38142,149,23688,85788,14,12.88,10
ZN-5110,37.6214,-122.4214,227,19346,95265,9,4.15,4
ZN-5111,37.77278,-122.35398,172,21010,61599,15,4.48,10
ZN-5112,37.77972,-122.30818,156,15960,56896,19,17.23,3
ZN-5113,37.97196,-122.37478,157,12693,112855,14,1.76,3
ZN-5114,37.75951,-122.41857,148,24962,84444,19,9.2,7
ZN-5115,37.79902,-122.52435,192,19918,112662,9,6.62,13
ZN-5116,37.77212,-122.50461,150,9338,122954,9,12.71,9
ZN-5117,37.68141,-122.44382,184,22121,124966,10,15.73,7
ZN-5118,37.86633,-122.46816,201,20917,54474,17,7.43,0
ZN-5119,37.83505,-122.43436,172,16048,77554,13,8.59,9
ZN-5120,37.83818,-122.41487,195,27718,108439,19,18.19,8
ZN-5121,37.70215,-122.37702,158,14290,108825,12,14.76,2
ZN-5122,37.88712,-122.42504,139,16986,151235,15,16.72,7
ZN-5123,37.66275,-122.38048,176,22611,72309,11,8.79,5
ZN-5124,37.82185,-122.41424,160,18460,124204,11,5.25,12
ZN-5125,37.95014,-122.57744,205,9693,104306,12,8.33,0
ZN-5126,37.69566,-122.49455,136,19102,53994,12,13.59,4
ZN-5127,37.7296,-122.43093,160,15513,81304,20,3.09,7
ZN-5128,37.78287,-122.51618,187,23141,101563,16,5.88,7
ZN-5129,37.73462,-122.37141,189,18907,52390,17,2.01,8
ZN-5130,37.65085,-122.29694,174,18567,43152,19,8.68,4
ZN-5131,37.78039,-122.3219,177,11710,50968,14,15.51,5
ZN-5132,37.68992,-122.43648,162,16619,101478,20,1.63,5
ZN-5133,37.81279,-122.30014,173,23820,82883,16,12.88,3
ZN-5134,37.70135,-122.40751,131,13340,79501,14,17.33,5
ZN-5135,37.89889,-122.44637,187,17804,80359,22,5.3,7
ZN-5136,37.71224,-122.46847,169,12381,59396,15,13.2,9
ZN-5137,37.74914,-122.4436,149,10896,83589,17,18.07,0
ZN-5138,37.83998,-122.45045,215,17490,49490,19,17.85,9
ZN-5139,37.67643,-122.40577,127,19042,124691,13,5.26,13
ZN-5140,37.7931,-122.40655,146,29963,137308,20,2.94,8
ZN-5141,37.87947,-122.41916,210,15267,36848,14,3.77,3
ZN-5142,37.6463,-122.38444,205,17698,83271,13,13.35,0
ZN-5143,37.78967,-122.32415,166,10499,84899,16,13.76,6
ZN-5144,37.79569,-122.34344,184,21673,90637,21,12.86,4
ZN-5145,37.83745,-122.53819,162,20388,120038,15,7.01,6
ZN-5146,37.67594,-122.62371,164,26930,83344,15,4.14,0
ZN-5147,37.66926,-122.34465,156,24669,92793,18,11.25,3
ZN-5148,37.81666,-122.52875,181,20108,169476,17,9.57,6
ZN-5149,37.79866,-122.43738,171,15179,92217,11,13.81,13
ZN-5150,37.79494,-122.51301,149,19228,139155,15,8.84,7
ZN-5151,37.80262,-122.56356,113,17333,107549,15,7.06,0
ZN-5152,37.7205,-122.37608,152,23720,81157,18,6.28,10
ZN-5153,37.79348,-122.35867,122,22957,76981,17,4.86,2
ZN-5154,37.79835,-122.46552,144,16221,94818,15,5.8,9
ZN-5155,37.71775,-122.62668,203,9228,66838,12,2.84,0
ZN-5156,37.92416,-122.4631,125,26000,73403,10,7.2,3
ZN-5157,37.81281,-122.38806,160,21491,84423,16,1.83,6
ZN-5158,37.6796,-122.53771,182,16083,102333,19,4.42,1
ZN-5159,37.82742,-122.40473,140,21257,140649,19,14.12,11
ZN-5160,37.69693,-122.42062,187,18449,82876,8,6.83,3
ZN-5161,37.83787,-122.37306,177,25911,106537,16,12.76,6
ZN-5162,37.86759,-122.40983,143,6421,54302,14,13.6,8
ZN-5163,37.70925,-122.49725,145,15616,121507,13,11.25,9
ZN-5164,37.85197,-122.32367,140,27594,51957,19,17.79,7
ZN-5165,37.80792,-122.43208,170,21379,114959,19,1.57,11
ZN-5166,37.84066,-122.42158,167,28635,92976,19,13.98,4
ZN-5167,37.92664,-122.49406,201,10669,91983,15,17.79,5
ZN-5168,37.75527,-122.45486,184,24433,87493,13,16.12,7
ZN-5169,37.7146,-122.49018,205,24073,62468,15,4.1,7
ZN-5170,37.70374,-122.43324,137,7909,63793,13,6.85,13
ZN-5171,37.70964,-122.28246,171,16226,115913,27,4.18,7
ZN-5172,37.76873,-122.52915,129,17360,95298,18,11.6,4
ZN-5173,37.80219,-122.54848,153,8282,87311,17,13.52,9
ZN-5174,37.79704,-122.30171,151,16352,106084,14,6.69,3
ZN-5175,37.84107,-122.43615,140,23239,97532,13,10.53,8
ZN-5176,37.77594,-122.47293,183,15654,75176,15,13.15,11
ZN-5177,37.89118,-122.33621,176,19452,156524,21,8.49,3
ZN-5178,37.75373,-122.46785,186,19496,113518,13,15.97,7
ZN-5179,37.99251,-122.27332,170,17927,98176,13,14.55,0
ZN-5180,37.82495,-122.36517,126,13768,82159,15,2.32,9
ZN-5181,37.70633,-122.45843,155,21952,118818,10,11.95,19
ZN-5182,37.68923,-122.24682,174,8477,75310,14,5.27,0
ZN-5183,37.8135,-122.46786,175,18051,73205,13,10.85,3
ZN-5184,37.75702,-122.36003,195,26312,137333,17,17.75,9
ZN-5185,37.83202,-122.39546,135,15315,95766,12,16.41,5
ZN-5186,37.81276,-122.31526,194,13636,75916,20,8.2,4
ZN-5187,37.76907,-122.29448,160,22353,95142,23,6.24,1
ZN-5188,37.70716,-122.41684,185,18980,116254,13,5.26,6
ZN-5189,37.65371,-122.47967,165,22472,110531,10,10.41,9
ZN-5190,37.73918,-122.3826,174,18230,119356,11,3.18,14
ZN-5191,37.84341,-122.47362,127,3670,63761,16,10.7,5
ZN-5192,37.79203,-122.25833,183,25079,118728,4,1.22,4
ZN-5193,37.67524,-122.40848,180,30420,90523,13,6.8,3
ZN-5194,37.78875,-122.44863,165,25704,97227,14,5.0,11
ZN-5195,37.80573,-122.40463,166,3000,125237,15,18.0,10
ZN-5196,37.70419,-122.52717,154,20706,112568,12,13.78,6
ZN-5197,37.7872,-122.49713,192,15199,103776,16,7.25,7
ZN-5198,37.77956,-122.32337,184,11494,45400,14,2.81,8
ZN-5199,37.68346,-122.47195,126,18736,93862,15,10.14,3
ZN-5200,37.80352,-122.50315,145,17106,75383,15,4.89,7
ZN-5201,37.81976,-122.37647,183,21051,112776,17,10.48,7
ZN-5202,37.86154,-122.32454,190,18339,119773,14,15.65,11
ZN-5203,37.8592,-122.36188,158,11275,87449,18,11.85,6
ZN-5204,37.66469,-122.33972,146,14540,78323,7,12.16,7
ZN-5205,37.69987,-122.47994,172,13572,133907,14,10.56,10
ZN-5206,37.8161,-122.53314,138,7701,79921,9,17.24,5
ZN-5207,37.816,-122.29929,128,9770,65136,15,17.32,2
ZN-5208,37.8161,-122.44521,139,16733,74183,16,10.07,6
ZN-5209,38.08312,-122.43947,188,26542,81125,14,6.49,0
ZN-5210,37.82057,-122.31314,176,14786,73465,20,9.15,6
ZN-5211,37.86575,-122.3749,198,13455,116134,10,4.43,9
ZN-5212,37.85122,-122.38293,126,10912,40052,14,12.21,11
ZN-5213,37.82701,-122.2462,151,18183,72935,16,9.85,0
ZN-5214,37.74968,-122.47088,163,25075,93812,15,2.99,7
ZN-5215,37.83562,-122.34517,145,30016,100256,20,4.62,10
ZN-5216,37.71307,-122.41484,165,19712,137295,27,9.5,15
ZN-5217,37.75595,-122.39791,154,18839,133630,24,16.56,12
ZN-5218,37.73607,-122.29712,135,14739,54981,12,11.0,6
ZN-5219,37.78145,-122.37877,144,15740,47298,17,12.99,1
ZN-5220,37.96007,-122.37634,123,21775,95624,14,7.07,0
ZN-5221,37.62552,-122.3336,151,16110,78170,16,11.09,0
ZN-5222,37.8298,-122.4486,188,17026,65199,20,8.94,2
ZN-5223,37.64588,-122.48654,196,17847,95403,13,12.6,0
ZN-5224,37.73715,-122.50298,137,14455,100767,21,2.07,8
ZN-5225,37.86202,-122.57671,165,17550,74025,19,9.73,1
ZN-5226,37.78004,-122.2549,148,5883,79397,16,6.32,0
ZN-5227,37.68868,-122.50766,156,21293,75948,13,6.84,3
ZN-5228,37.71768,-122.4371,181,32110,84712,10,17.82,8
ZN-5229,37.82927,-122.44155,180,14687,108536,16,4.36,6
ZN-5230,37.71647,-122.39481,149,20243,68052,12,6.58,6
ZN-5231,37.79222,-122.35414,189,23109,78982,17,10.02,6
ZN-5232,37.77855,-122.35056,147,25681,85017,16,16.13,4
ZN-5233,37.72277,-122.46605,172,16414,94831,15,8.41,6
ZN-5234,37.94642,-122.43277,164,7180,101899,11,14.07,0
ZN-5235,37.82561,-122.39679,161,19603,146056,21,16.02,11
ZN-5236,37.61289,-122.4393,181,18771,109303,11,6.56,0
ZN-5237,37.78982,-122.29081,179,15926,109898,20,7.99,9
ZN-5238,37.72196,-122.38012,132,17198,88334,20,7.37,10
ZN-5239,37.84309,-122.36061,137,18862,70503,18,15.61,8
ZN-5240,37.7115,-122.36637,189,20170,81794,13,1.97,2
ZN-5241,37.76572,-122.32552,175,19918,77241,15,6.54,3
ZN-5242,37.8153,-122.40492,156,16693,104805,20,12.95,6
ZN-5243,37.84416,-122.52315,193,20305,53717,11,10.98,1
ZN-5244,37.67888,-122.38742,136,16289,109813,12,8.75,2
ZN-5245,37.74814,-122.47151,147,21852,92069,15,10.54,6
ZN-5246,37.7369,-122.46169,200,14235,113333,15,4.62,6
ZN-5247,37.72263,-122.37249,142,18438,76902,18,8.65,9
ZN-5248,37.91614,-122.32034,135,8257,72465,13,9.88,0
ZN-5249,37.8073,-122.4177,136,15780,84833,25,16.79,8
ZN-5250,37.67403,-122.39469,179,21404,84233,18,5.71,0
ZN-5251,37.84833,-122.28322,149,11797,115158,12,16.21,6
ZN-5252,37.94467,-122.40014,163,16079,114920,21,12.35,2
ZN-5253,37.8575,-122.21127,133,3569,142625,23,1.55,4
ZN-5254,37.65335,-122.37416,198,9791,82612,16,13.74,2
ZN-5255,37.73616,-122.56026,165,11361,35000,22,1.82,1
ZN-5256,37.87625,-122.35913,137,18610,84764,15,18.45,5
ZN-5257,37.71829,-122.38891,160,20000,100766,16,16.3,5
ZN-5258,37.81041,-122.31622,179,17663,112863,14,6.34,9
ZN-5259,37.83687,-122.36555,135,15704,102590,10,5.65,2
ZN-5260,37.70075,-122.43048,165,15725,82593,12,7.8,8
ZN-5261,37.77014,-122.51734,161,22296,137854,11,7.36,4
ZN-5262,37.5156,-122.43612,149,19276,69156,11,7.64,0
ZN-5263,37.69295,-122.48744,199,15996,88133,16,6.71,5
ZN-5264,37.75469,-122.46584,138,25759,68002,12,11.95,4
ZN-5265,37.67508,-122.37231,157,29699,95489,24,4.04,4
ZN-5266,37.90549,-122.28581,192,10525,134725,18,15.84,8
ZN-5267,37.66049,-122.38783,179,21135,91476,12,15.25,6
ZN-5268,37.7397,-122.51507,123,36539,91630,12,9.44,6
ZN-5269,37.78536,-122.38383,206,19681,52600,15,15.95,12
ZN-5270,37.8902,-122.32367,187,18692,87825,13,5.48,5
ZN-5271,37.66003,-122.46818,118,17665,123762,14,1.5,11
ZN-5272,37.86795,-122.43012,210,20941,88744,16,11.91,6
ZN-5273,37.77572,-122.41822,182,22529,87055,15,9.12,8
ZN-5274,37.69638,-122.48219,185,10531,122642,9,11.01,15
ZN-5275,37.81187,-122.36754,161,17841,87160,11,16.76,11
ZN-5276,37.79082,-122.42908,163,4383,127301,12,17.98,16
ZN-5277,37.72688,-122.38584,162,16744,62884,12,12.18,7
ZN-5278,37.78048,-122.4904,187,12583,111946,14,14.42,9
ZN-5279,37.74407,-122.4544,169,20035,136158,14,2.65,12
ZN-5280,37.78398,-122.36161,183,8061,120196,17,3.98,12
ZN-5281,37.82787,-122.44923,179,14926,48318,16,13.88,5
ZN-5282,37.90178,-122.28124,149,23799,79042,11,8.66,0
ZN-5283,37.67587,-122.45137,137,13942,88951,15,8.92,7
ZN-5284,37.94554,-122.40143,173,6570,120248,11,6.54,10
ZN-5285,37.61873,-122.34479,194,19545,61709,18,11.71,3
ZN-5286,37.76276,-122.53287,148,14480,69526,15,4.4,6
ZN-5287,37.82197,-122.56026,190,16884,54871,16,12.05,1
ZN-5288,37.79738,-122.54145,149,13620,74354,20,4.21,0
ZN-5289,37.72508,-122.31839,209,29846,63709,16,2.3,1
ZN-5290,37.75825,-122.46355,157,8651,134947,17,6.92,13
ZN-5291,37.73546,-122.21474,125,35000,78815,17,5.2,0
ZN-5292,37.72775,-122.46454,154,15656,112273,18,16.58,7
ZN-5293,37.84287,-122.40464,153,19100,95449,17,2.15,6
ZN-5294,37.80346,-122.29603,129,14551,95099,14,4.26,1
ZN-5295,37.71947,-122.25891,198,14300,80213,16,10.69,0
ZN-5296,37.84687,-122.25448,158,13291,114250,13,9.52,5
ZN-5297,37.79948,-122.32273,200,21607,98858,16,1.99,0
ZN-5298,37.83993,-122.33747,168,9535,97418,17,1.33,0
ZN-5299,37.82527,-122.372,187,20184,80164,11,18.29,4
ZN-5300,37.70858,-122.35713,189,4893,84255,15,12.6,6
ZN-5301,37.73009,-122.46349,156,19641,109722,17,7.52,5
ZN-5302,37.83468,-122.48486,154,23094,100751,8,9.34,5
ZN-5303,37.82373,-122.41967,170,10352,98086,13,5.81,8
ZN-5304,37.77323,-122.43301,137,22072,76148,13,7.17,2
ZN-5305,37.78429,-122.45566,139,18308,143602,10,12.43,16
ZN-5306,37.87711,-122.36369,129,27590,83007,13,16.47,3
ZN-5307,37.72757,-122.34298,161,12868,94243,13,4.39,1
ZN-5308,37.81867,-122.41233,172,34895,90324,9,15.74,10
ZN-5309,37.75872,-122.3012,169,3655,143867,19,3.3,13
ZN-5310,37.75749,-122.51074,146,16022,87729,9,4.92,6
ZN-5311,37.8628,-122.43489,156,7808,85441,13,1.84,6
ZN-5312,37.84093,-122.47675,126,29106,97957,16,3.64,3
ZN-5313,37.83998,-122.56872,149,16429,77661,18,17.07,1
ZN-5314,37.87934,-122.42601,144,16969,97789,19,9.15,2
ZN-5315,37.77658,-122.42914,184,20659,154290,16,2.54,8
ZN-5316,37.82946,-122.29832,164,17971,102492,17,17.8,1
ZN-5317,37.75008,-122.36894,163,14437,101581,14,16.41,10
ZN-5318,37.80083,-122.50133,190,10460,77052,10,14.26,4
ZN-5319,37.76449,-122.27107,147,19011,137730,15,17.35,3
ZN-5320,37.78266,-122.32172,198,20273,143475,15,5.01,11
ZN-5321,37.82251,-122.37283,138,22172,116317,10,15.67,11
ZN-5322,37.70944,-122.43752,146,29476,111345,12,13.14,8
ZN-5323,37.94229,-122.49616,133,4957,89130,15,16.25,0
ZN-5324,37.69442,-122.44918,145,17593,104783,15,14.99,5
ZN-5325,37.67776,-122.3323,159,25150,74121,12,7.19,0
ZN-5326,37.86755,-122.26863,185,17252,66847,20,14.6,0
ZN-5327,37.83823,-122.29594,134,3970,57816,7,5.74,6
ZN-5328,37.82483,-122.45851,130,10253,105266,13,6.88,8
ZN-5329,37.82517,-122.50897,135,19971,60540,19,3.07,2
ZN-5330,37.77392,-122.40813,203,19753,82509,16,17.38,3
ZN-5331,37.70312,-122.56088,191,22035,93469,10,6.23,2
ZN-5332,37.78096,-122.39355,193,13313,119882,13,10.21,14
ZN-5333,37.72073,-122.43121,158,19559,80544,15,7.97,7
ZN-5334,37.85291,-122.45668,184,12324,122831,26,17.81,3
ZN-5335,37.76314,-122.54698,169,19559,118478,18,7.0,4
ZN-5336,37.70886,-122.37831,164,18319,68217,13,14.67,5
ZN-5337,37.74919,-122.46202,166,13074,123070,16,16.0,16
ZN-5338,37.80793,-122.51299,149,27349,87910,13,8.74,5
ZN-5339,37.7298,-122.64918,160,7766,82526,15,7.74,0
ZN-5340,37.70912,-122.4216,193,17150,88016,22,14.14,3
ZN-5341,37.79439,-122.27762,145,12942,94912,8,16.99,1
ZN-5342,37.7945,-122.2865,176,29005,84623,16,14.26,6
ZN-5343,37.73434,-122.45597,137,21590,74007,17,5.13,7
ZN-5344,37.73722,-122.46758,196,14104,76218,12,16.57,0
ZN-5345,37.79346,-122.3819,176,16321,98473,9,7.91,7
ZN-5346,37.65905,-122.49927,156,29167,90988,13,11.17,0
ZN-5347,37.6623,-122.39526,147,12322,108182,10,15.58,3
ZN-5348,37.71742,-122.35811,193,7413,96309,11,4.46,13
ZN-5349,37.75782,-122.32125,130,19746,96925,13,14.77,0
ZN-5350,37.79977,-122.42741,149,19881,109820,16,11.51,6
ZN-5351,37.89293,-122.43569,160,21996,130472,17,16.65,13
ZN-5352,37.84351,-122.48964,134,22035,131475,14,4.18,9
ZN-5353,37.7621,-122.48555,184,28624,128510,14,8.48,10
ZN-5354,37.77338,-122.43752,152,7691,116761,12,15.61,14
ZN-5355,37.6947,-122.39001,169,10783,147135,17,1.53,9
ZN-5356,37.77342,-122.34631,122,21973,105945,8,3.14,13
ZN-5357,37.75181,-122.48365,169,11366,103138,15,18.34,3
ZN-5358,37.80072,-122.29998,129,9260,151098,12,6.05,5
ZN-5359,37.70872,-122.44109,143,29195,35000,16,18.08,6
ZN-5360,37.81645,-122.42111,195,8280,89652,14,4.36,10
ZN-5361,37.89752,-122.47918,158,15892,126312,13,7.45,4
ZN-5362,37.7662,-122.61334,159,17643,119506,18,14.22,5
ZN-5363,37.80704,-122.34868,170,25854,159141,11,12.58,14
ZN-5364,37.83011,-122.36045,162,6787,97687,17,11.25,5
ZN-5365,37.7428,-122.44191,144,20492,84229,13,10.37,6
ZN-5366,37.79283,-122.41404,163,12657,86697,17,15.79,10
ZN-5367,37.77591,-122.37812,151,21765,102951,22,5.26,1
ZN-5368,37.78271,-122.5444,160,12559,135541,18,8.85,8
ZN-5369,37.71306,-122.46172,160,27433,135853,20,3.89,13
ZN-5370,37.77686,-122.35586,159,12594,93599,17,11.51,6
ZN-5371,37.81474,-122.51974,217,3228,101325,20,5.53,5
ZN-5372,37.89099,-122.39592,148,13266,79709,15,6.98,3
ZN-5373,37.85164,-122.52793,156,16432,82319,13,9.35,5
ZN-5374,37.94715,-122.38209,155,24494,121156,11,1.66,7
ZN-5375,37.71351,-122.42225,134,10449,135055,16,2.79,7
ZN-5376,37.84469,-122.54861,200,10568,77567,11,13.07,2
ZN-5377,37.78957,-122.32622,184,23763,101073,23,8.62,4
ZN-5378,37.95008,-122.47817,159,9748,88923,17,16.16,2
ZN-5379,37.71024,-122.48422,218,16926,116596,14,13.22,13
ZN-5380,37.70772,-122.40335,157,17048,85287,18,1.34,3
ZN-5381,37.72695,-122.32751,176,19305,46838,16,11.87,5
ZN-5382,37.60499,-122.50067,192,13500,120092,16,2.82,6
ZN-5383,37.73284,-122.41447,179,12438,87412,13,14.71,12
ZN-5384,37.71417,-122.38509,156,20009,90013,11,18.35,6
ZN-5385,37.78693,-122.36395,157,12624,105889,17,10.39,7
ZN-5386,37.80224,-122.40528,137,9840,103820,16,13.01,14
ZN-5387,37.92499,-122.44876,152,25366,106403,15,5.31,4
ZN-5388,37.85093,-122.48561,153,20928,54256,17,8.77,8
ZN-5389,37.72875,-122.41251,140,28605,108907,16,16.01,5
ZN-5390,37.70303,-122.50517,158,22703,47273,10,4.1,3
ZN-5391,37.81425,-122.65311,125,10391,114239,13,5.79,6
ZN-5392,37.66928,-122.38448,173,18578,122959,23,8.91,9
ZN-5393,37.92142,-122.34709,153,11906,60786,20,13.52,2
ZN-5394,37.86926,-122.60843,109,8090,103210,13,7.7,0
ZN-5395,37.73737,-122.50018,180,15316,121429,12,17.25,14
ZN-5396,37.63785,-122.36987,153,23889,83774,22,2.83,5
ZN-5397,37.88321,-122.2548,195,19649,111840,22,7.61,10
ZN-5398,37.76574,-122.41774,168,9654,35000,15,13.46,7
ZN-5399,37.87393,-122.47764,147,15105,122454,16,5.11,1
ZN-5400,37.64735,-122.43403,182,17142,95749,15,12.56,0
ZN-5401,37.72695,-122.30941,141,7865,88554,23,4.04,3
ZN-5402,37.77532,-122.47108,148,22279,119601,18,2.17,10
ZN-5403,37.77866,-122.48334,159,16627,138232,18,3.29,11
ZN-5404,37.73889,-122.45802,151,9656,107142,18,17.29,7
ZN-5405,37.82473,-122.49567,186,9316,135217,14,10.75,10
ZN-5406,37.68949,-122.40959,163,24603,56167,11,14.98,3
ZN-5407,37.76351,-122.28943,141,15715,111648,10,6.95,8
