sku_id,base_price,offered_price,unit_cost_cogs,units_demanded,promo_discount_active
SKU-3047,72.01,78.49,32.4,1,0
SKU-3048,74.67,74.67,33.6,1,0
SKU-3049,38.49,28.48,17.32,4,1
SKU-3050,116.96,111.11,52.63,1,0
SKU-3051,97.51,94.58,43.88,1,0
SKU-3052,113.95,90.02,51.28,1,1
SKU-3053,109.48,133.57,49.27,1,0
SKU-3054,79.79,93.35,35.91,1,0
SKU-3055,112.19,120.04,50.49,1,0
SKU-3056,28.85,27.41,12.98,3,0
SKU-3057,39.6,36.83,17.82,2,0
SKU-3058,24.52,25.99,11.03,2,0
SKU-3059,52.53,52.53,23.64,1,0
SKU-3060,58.87,42.98,26.49,1,1
SKU-3061,47.13,46.19,21.21,1,0
SKU-3062,102.87,117.27,46.29,1,0
SKU-3063,55.68,52.9,25.06,1,0
SKU-3064,48.09,35.11,21.64,3,1
SKU-3065,74.27,83.93,33.42,1,0
SKU-3066,34.09,27.61,15.34,3,1
SKU-3067,100.22,84.18,45.1,1,1
SKU-3068,27.46,21.69,12.36,5,1
SKU-3069,118.69,104.45,53.41,1,1
SKU-3070,97.22,108.89,43.75,1,0
SKU-3071,39.87,39.47,17.94,1,0
SKU-3072,20.55,16.65,9.25,8,1
SKU-3073,101.55,119.83,45.7,1,0
SKU-3074,90.69,107.01,40.81,1,0
SKU-3075,92.9,109.62,41.81,1,0
SKU-3076,97.13,80.62,43.71,1,1
SKU-3077,27.4,26.03,12.33,3,0
SKU-3078,55.85,69.25,25.13,1,0
SKU-3079,31.59,35.38,14.22,1,0
SKU-3080,106.31,75.48,47.84,1,1
SKU-3081,82.33,60.92,37.05,1,1
SKU-3082,53.09,50.97,23.89,1,0
SKU-3083,26.36,31.63,11.86,3,0
SKU-3084,51.1,51.1,23.0,1,0
SKU-3085,52.52,50.94,23.63,1,0
SKU-3086,92.96,70.65,41.83,1,1
SKU-3087,83.76,88.79,37.69,1,0
SKU-3088,108.72,125.03,48.92,1,0
SKU-3089,67.22,61.17,30.25,1,0
SKU-3090,31.96,36.11,14.38,1,0
SKU-3091,91.32,112.32,41.09,1,0
SKU-3092,96.08,77.82,43.24,1,1
SKU-3093,76.13,75.37,34.26,1,0
SKU-3094,97.1,83.51,43.7,1,1
SKU-3095,69.38,79.09,31.22,1,0
SKU-3096,72.27,73.72,32.52,1,0
SKU-3097,62.75,65.89,28.24,1,0
SKU-3098,22.54,25.7,10.14,2,0
SKU-3099,30.79,28.33,13.86,2,0
SKU-3100,23.14,27.77,10.41,3,0
SKU-3101,83.64,82.8,37.64,1,0
SKU-3102,51.44,40.64,23.15,1,1
SKU-3103,70.86,76.53,31.89,1,0
SKU-3104,110.76,126.27,49.84,1,0
SKU-3105,44.93,39.09,20.22,2,1
SKU-3106,61.04,71.42,27.47,1,0
SKU-3107,95.56,114.67,43.0,1,0
SKU-3108,42.88,36.45,19.3,2,1
SKU-3109,27.7,34.35,12.46,1,0
SKU-3110,48.98,38.2,22.04,2,1
SKU-3111,36.12,29.26,16.25,3,1
SKU-3112,112.97,90.38,50.84,1,1
SKU-3113,100.81,119.96,45.36,1,0
SKU-3114,83.34,88.34,37.5,1,0
SKU-3115,107.15,83.58,48.22,1,1
SKU-3116,100.37,94.35,45.17,1,0
SKU-3117,38.66,40.21,17.4,1,0
SKU-3118,109.26,81.94,49.17,1,1
SKU-3119,73.93,87.98,33.27,1,0
SKU-3120,100.74,114.84,45.33,1,0
SKU-3121,109.61,107.42,49.32,1,0
SKU-3122,51.8,63.71,23.31,1,0
SKU-3123,31.01,28.84,13.95,2,0
SKU-3124,42.79,53.06,19.26,1,0
SKU-3125,62.71,67.1,28.22,1,0
SKU-3126,101.8,106.89,45.81,1,0
SKU-3127,106.07,83.8,47.73,1,1
SKU-3128,20.7,24.63,9.32,3,0
SKU-3129,71.07,66.81,31.98,1,0
SKU-3130,61.74,48.77,27.78,1,1
SKU-3131,42.21,29.97,18.99,3,1
SKU-3132,31.99,32.31,14.4,2,0
SKU-3133,53.76,53.22,24.19,1,0
SKU-3134,114.29,125.72,51.43,1,0
SKU-3135,52.32,62.26,23.54,1,0
SKU-3136,71.88,53.19,32.35,1,1
SKU-3137,90.3,99.33,40.64,1,0
SKU-3138,56.36,45.09,25.36,2,1
SKU-3139,117.18,137.1,52.73,1,0
SKU-3140,116.24,133.68,52.31,1,0
SKU-3141,45.18,45.18,20.33,1,0
SKU-3142,69.72,75.99,31.37,1,0
SKU-3143,50.09,43.58,22.54,1,1
SKU-3144,48.48,46.54,21.82,1,0
SKU-3145,23.69,27.24,10.66,2,0
SKU-3146,80.96,76.91,36.43,1,0
SKU-3147,70.27,63.24,31.62,1,0
SKU-3148,25.15,24.4,11.32,3,0
SKU-3149,47.86,55.52,21.54,1,0
SKU-3150,110.83,97.53,49.87,1,1
SKU-3151,43.96,35.17,19.78,2,1
SKU-3152,34.49,37.59,15.52,1,0
SKU-3153,68.95,79.29,31.03,1,0
SKU-3154,118.57,90.11,53.36,1,1
SKU-3155,44.21,36.69,19.89,2,1
SKU-3156,87.21,68.02,39.24,1,1
SKU-3157,96.16,85.58,43.27,1,1
SKU-3158,43.76,41.57,19.69,1,0
SKU-3159,92.82,103.03,41.77,1,0
SKU-3160,56.78,60.19,25.55,1,0
SKU-3161,83.23,86.56,37.45,1,0
SKU-3162,83.35,74.18,37.51,1,1
SKU-3163,73.58,85.35,33.11,1,0
SKU-3164,29.03,27.87,13.06,2,0
SKU-3165,103.53,128.38,46.59,1,0
SKU-3166,52.08,54.68,23.44,1,0
SKU-3167,38.65,29.76,17.39,3,1
SKU-3168,24.08,25.77,10.84,3,0
SKU-3169,79.09,69.6,35.59,1,1
SKU-3170,87.76,94.78,39.49,1,0
SKU-3171,21.66,16.03,9.75,11,1
SKU-3172,71.21,56.97,32.04,1,1
SKU-3173,42.65,49.9,19.19,1,0
SKU-3174,84.52,69.31,38.03,1,1
SKU-3175,37.44,43.43,16.85,1,0
SKU-3176,89.09,75.73,40.09,1,1
SKU-3177,58.67,61.6,26.4,1,0
SKU-3178,113.67,122.76,51.15,1,0
SKU-3179,33.75,33.08,15.19,1,0
SKU-3180,54.11,47.08,24.35,1,1
SKU-3181,31.35,25.71,14.11,5,1
SKU-3182,112.47,80.98,50.61,1,1
SKU-3183,107.73,93.73,48.48,1,1
SKU-3184,45.79,48.54,20.61,1,0
SKU-3185,86.0,104.92,38.7,1,0
SKU-3186,101.72,120.03,45.77,1,0
SKU-3187,75.52,84.58,33.98,1,0
SKU-3188,72.97,82.46,32.84,1,0
SKU-3189,44.19,47.28,19.89,1,0
SKU-3190,29.31,24.62,13.19,5,1
SKU-3191,109.72,131.66,49.37,1,0
SKU-3192,110.04,117.74,49.52,1,0
SKU-3193,83.31,84.14,37.49,1,0
SKU-3194,53.9,40.96,24.26,2,1
SKU-3195,54.92,52.17,24.71,1,0
SKU-3196,92.6,87.97,41.67,1,0
SKU-3197,109.71,129.46,49.37,1,0
SKU-3198,108.71,108.71,48.92,1,0
SKU-3199,97.99,89.17,44.1,1,0
SKU-3200,84.2,104.41,37.89,1,0
SKU-3201,28.41,21.59,12.78,5,1
SKU-3202,36.16,33.63,16.27,1,0
SKU-3203,109.86,79.1,49.44,1,1
SKU-3204,80.64,89.51,36.29,1,0
SKU-3205,20.92,25.1,9.41,2,0
SKU-3206,30.15,25.63,13.57,3,1
SKU-3207,86.35,101.03,38.86,1,0
SKU-3208,20.51,17.64,9.23,7,1
SKU-3209,36.08,43.3,16.24,1,0
SKU-3210,74.87,83.11,33.69,1,0
SKU-3211,89.19,101.68,40.14,1,0
SKU-3212,85.2,60.49,38.34,1,1
SKU-3213,42.43,52.19,19.09,1,0
SKU-3214,91.22,100.34,41.05,1,0
SKU-3215,43.72,38.04,19.67,2,1
SKU-3216,52.54,60.95,23.64,1,0
SKU-3217,94.65,80.45,42.59,1,1
SKU-3218,84.96,100.25,38.23,1,0
SKU-3219,104.92,79.74,47.21,1,1
SKU-3220,85.76,93.48,38.59,1,0
SKU-3221,76.83,76.83,34.57,1,0
SKU-3222,29.37,22.03,13.22,7,1
SKU-3223,56.77,47.12,25.55,1,1
SKU-3224,46.52,33.03,20.93,2,1
SKU-3225,44.4,42.62,19.98,1,0
SKU-3226,117.3,102.05,52.78,1,1
SKU-3227,59.31,61.09,26.69,1,0
SKU-3228,109.2,93.91,49.14,1,1
SKU-3229,83.11,71.47,37.4,1,1
SKU-3230,99.48,110.42,44.77,1,0
SKU-3231,70.26,51.29,31.62,1,1
SKU-3232,77.69,93.23,34.96,1,0
SKU-3233,69.25,81.02,31.16,1,0
SKU-3234,39.52,42.29,17.78,1,0
SKU-3235,92.25,95.02,41.51,1,0
SKU-3236,48.08,57.22,21.64,1,0
SKU-3237,22.43,17.94,10.09,6,1
SKU-3238,84.55,62.57,38.05,1,1
SKU-3239,37.71,31.3,16.97,3,1
SKU-3240,114.05,130.02,51.32,1,0
SKU-3241,115.39,83.08,51.93,1,1
SKU-3242,111.49,113.72,50.17,1,0
SKU-3243,57.02,71.28,25.66,1,0
SKU-3244,21.55,25.21,9.7,3,0
SKU-3245,112.83,111.7,50.77,1,0
SKU-3246,62.82,46.49,28.27,1,1
SKU-3247,116.67,135.34,52.5,1,0
SKU-3248,116.36,119.85,52.36,1,0
SKU-3249,105.3,80.03,47.38,1,1
SKU-3250,49.44,37.08,22.25,2,1
SKU-3251,58.51,70.21,26.33,1,0
SKU-3252,105.11,112.47,47.3,1,0
SKU-3253,51.69,59.96,23.26,1,0
SKU-3254,36.95,43.6,16.63,1,0
SKU-3255,75.68,76.44,34.06,1,0
SKU-3256,113.62,111.35,51.13,1,0
SKU-3257,89.6,84.22,40.32,1,0
SKU-3258,77.01,67.0,34.65,1,1
SKU-3259,29.72,27.94,13.37,2,0
SKU-3260,81.5,92.09,36.68,1,0
SKU-3261,119.01,122.58,53.55,1,0
SKU-3262,34.01,40.47,15.3,1,0
SKU-3263,71.83,67.52,32.32,1,0
SKU-3264,107.74,110.97,48.48,1,0
SKU-3265,94.08,98.78,42.34,1,0
SKU-3266,89.7,92.39,40.36,1,0
SKU-3267,90.25,98.37,40.61,1,0
SKU-3268,55.95,46.44,25.18,1,1
SKU-3269,49.36,48.37,22.21,1,0
SKU-3270,100.94,76.71,45.42,1,1
SKU-3271,101.01,91.92,45.45,1,0
SKU-3272,106.71,103.51,48.02,1,0
SKU-3273,111.32,118.0,50.09,1,0
SKU-3274,71.13,86.78,32.01,1,0
SKU-3275,70.15,72.25,31.57,1,0
SKU-3276,99.83,110.81,44.92,1,0
SKU-3277,85.0,83.3,38.25,1,0
SKU-3278,90.2,94.71,40.59,1,0
SKU-3279,99.58,73.69,44.81,1,1
SKU-3280,109.0,91.56,49.05,1,1
SKU-3281,53.8,48.42,24.21,1,0
SKU-3282,57.56,55.26,25.9,1,0
SKU-3283,29.4,21.46,13.23,5,1
SKU-3284,77.83,60.71,35.02,1,1
SKU-3285,23.59,20.05,10.62,8,1
SKU-3286,66.56,81.87,29.95,1,0
SKU-3287,74.26,65.35,33.42,1,1
SKU-3288,48.65,47.19,21.89,1,0
SKU-3289,79.08,64.05,35.59,1,1
SKU-3290,23.05,23.97,10.37,3,0
SKU-3291,23.73,20.17,10.68,6,1
SKU-3292,102.26,82.83,46.02,1,1
SKU-3293,56.02,54.9,25.21,1,0
SKU-3294,32.71,22.9,14.72,5,1
SKU-3295,72.22,50.55,32.5,1,1
SKU-3296,97.0,79.54,43.65,1,1
SKU-3297,41.58,29.94,18.71,4,1
SKU-3298,82.29,62.54,37.03,1,1
SKU-3299,28.53,25.39,12.84,4,1
SKU-3300,25.17,28.69,11.33,2,0
SKU-3301,73.14,73.87,32.91,1,0
SKU-3302,74.06,72.58,33.33,1,0
SKU-3303,83.74,72.02,37.68,1,1
SKU-3304,92.61,112.06,41.67,1,0
SKU-3305,117.59,108.18,52.92,1,0
SKU-3306,71.63,53.72,32.23,1,1
SKU-3307,52.3,54.39,23.54,1,0
SKU-3308,99.52,75.64,44.78,1,1
SKU-3309,47.08,41.9,21.19,1,1
SKU-3310,63.9,62.62,28.76,1,0
SKU-3311,27.85,32.86,12.53,1,0
SKU-3312,22.54,21.86,10.14,4,0
SKU-3313,116.26,126.72,52.32,1,0
SKU-3314,103.6,129.5,46.62,1,0
SKU-3315,89.6,68.99,40.32,1,1
SKU-3316,60.9,51.76,27.4,1,1
SKU-3317,37.33,34.34,16.8,1,0
SKU-3318,35.64,33.15,16.04,2,0
SKU-3319,45.02,41.87,20.26,1,0
SKU-3320,74.92,89.9,33.71,1,0
SKU-3321,91.46,99.69,41.16,1,0
SKU-3322,86.02,88.6,38.71,1,0
SKU-3323,47.99,41.75,21.6,1,1
SKU-3324,115.49,132.81,51.97,1,0
SKU-3325,93.79,115.36,42.21,1,0
SKU-3326,75.44,86.76,33.95,1,0
SKU-3327,81.17,56.82,36.53,1,1
SKU-3328,61.96,65.06,27.88,1,0
SKU-3329,44.77,32.68,20.15,3,1
SKU-3330,55.6,46.7,25.02,1,1
SKU-3331,95.78,69.92,43.1,1,1
SKU-3332,21.44,22.08,9.65,3,0
SKU-3333,31.61,34.14,14.22,1,0
SKU-3334,24.6,18.7,11.07,8,1
SKU-3335,24.07,21.9,10.83,3,0
SKU-3336,105.55,100.27,47.5,1,0
SKU-3337,90.37,81.33,40.67,1,0
SKU-3338,67.42,51.91,30.34,1,1
SKU-3339,29.78,27.7,13.4,2,0
SKU-3340,69.16,76.77,31.12,1,0
SKU-3341,67.35,49.84,30.31,1,1
SKU-3342,37.32,27.62,16.79,4,1
SKU-3343,63.39,57.05,28.53,1,0
SKU-3344,59.85,73.02,26.93,1,0
SKU-3345,81.59,87.3,36.72,1,0
SKU-3346,83.51,89.36,37.58,1,0
SKU-3347,24.53,22.08,11.04,3,0
SKU-3348,57.46,59.18,25.86,1,0
SKU-3349,82.59,58.64,37.17,1,1
SKU-3350,70.31,73.83,31.64,1,0
SKU-3351,105.65,126.78,47.54,1,0
SKU-3352,85.87,89.3,38.64,1,0
SKU-3353,36.29,42.82,16.33,1,0
SKU-3354,27.06,29.77,12.18,3,0
SKU-3355,84.24,64.86,37.91,1,1
SKU-3356,22.65,27.18,10.19,2,0
SKU-3357,78.58,58.15,35.36,1,1
SKU-3358,114.02,112.88,51.31,1,0
SKU-3359,77.55,60.49,34.9,1,1
SKU-3360,58.82,41.76,26.47,2,1
SKU-3361,84.33,78.43,37.95,1,0
SKU-3362,65.83,56.61,29.62,1,1
SKU-3363,74.56,72.32,33.55,1,0
SKU-3364,114.15,116.43,51.37,1,0
SKU-3365,58.61,42.2,26.37,2,1
SKU-3366,116.12,89.41,52.25,1,1
SKU-3367,110.54,111.65,49.74,1,0
SKU-3368,39.58,35.23,17.81,2,1
SKU-3369,26.94,29.63,12.12,3,0
SKU-3370,30.08,31.88,13.54,1,0
SKU-3371,21.82,25.53,9.82,2,0
SKU-3372,29.44,31.8,13.25,2,0
SKU-3373,88.3,83.0,39.74,1,0
SKU-3374,27.12,29.02,12.2,2,0
SKU-3375,51.9,44.11,23.36,1,1
SKU-3376,104.49,90.91,47.02,1,1
SKU-3377,22.33,25.23,10.05,4,0
SKU-3378,101.45,96.38,45.65,1,0
SKU-3379,48.19,54.94,21.69,1,0
SKU-3380,31.82,36.59,14.32,1,0
SKU-3381,89.67,104.91,40.35,1,0
SKU-3382,82.89,99.47,37.3,1,0
SKU-3383,107.75,101.28,48.49,1,0
SKU-3384,93.51,82.29,42.08,1,1
SKU-3385,100.35,102.36,45.16,1,0
SKU-3386,48.2,43.38,21.69,1,0
SKU-3387,37.74,38.87,16.98,1,0
SKU-3388,95.06,103.62,42.78,1,0
SKU-3389,100.68,108.73,45.31,1,0
SKU-3390,119.05,108.34,53.57,1,0
SKU-3391,61.26,48.4,27.57,1,1
SKU-3392,57.2,53.77,25.74,1,0
SKU-3393,97.64,76.16,43.94,1,1
SKU-3394,54.08,64.36,24.34,1,0
SKU-3395,113.08,100.64,50.89,1,1
SKU-3396,105.84,82.56,47.63,1,1
SKU-3397,62.9,44.66,28.3,1,1
SKU-3398,95.09,100.8,42.79,1,0
SKU-3399,95.45,100.22,42.95,1,0
SKU-3400,30.31,26.98,13.64,3,1
SKU-3401,110.26,81.59,49.62,1,1
SKU-3402,70.53,65.59,31.74,1,0
SKU-3403,102.65,89.31,46.19,1,1
SKU-3404,52.0,55.64,23.4,1,0
SKU-3405,109.55,112.84,49.3,1,0
SKU-3406,58.92,53.03,26.51,1,0
SKU-3407,21.08,17.29,9.49,8,1
SKU-3408,110.54,137.07,49.74,1,0
SKU-3409,29.13,27.67,13.11,3,0
SKU-3410,51.93,56.08,23.37,1,0
SKU-3411,115.01,89.71,51.75,1,1
SKU-3412,115.06,111.61,51.78,1,0
SKU-3413,77.34,55.68,34.8,1,1
SKU-3414,83.18,81.52,37.43,1,0
SKU-3415,64.84,79.75,29.18,1,0
SKU-3416,49.32,44.88,22.19,1,0
SKU-3417,52.87,38.07,23.79,2,1
SKU-3418,87.25,62.82,39.26,1,1
SKU-3419,95.24,86.67,42.86,1,0
SKU-3420,99.16,78.34,44.62,1,1
SKU-3421,98.96,70.26,44.53,1,1
SKU-3422,29.12,32.61,13.1,2,0
SKU-3423,69.44,65.97,31.25,1,0
SKU-3424,25.76,22.15,11.59,7,1
SKU-3425,74.95,89.94,33.73,1,0
SKU-3426,64.15,48.75,28.87,1,1
SKU-3427,108.77,133.79,48.95,1,0
SKU-3428,55.09,47.93,24.79,1,1
SKU-3429,31.71,37.73,14.27,1,0
SKU-3430,34.3,35.33,15.43,2,0
SKU-3431,96.15,110.57,43.27,1,0
SKU-3432,81.82,101.46,36.82,1,0
SKU-3433,30.11,25.89,13.55,4,1
SKU-3434,28.41,34.94,12.78,2,0
SKU-3435,90.1,81.99,40.54,1,0
SKU-3436,27.28,24.82,12.28,3,0
SKU-3437,102.19,90.95,45.99,1,1
SKU-3438,90.62,90.62,40.78,1,0
SKU-3439,28.13,21.94,12.66,6,1
SKU-3440,28.48,28.48,12.82,2,0
SKU-3441,118.66,118.66,53.4,1,0
SKU-3442,57.43,64.32,25.84,1,0
SKU-3443,57.06,66.19,25.68,1,0
SKU-3444,101.28,95.2,45.58,1,0
SKU-3445,114.72,99.81,51.62,1,1
SKU-3446,118.6,99.62,53.37,1,1
SKU-3447,95.34,77.23,42.9,1,1
SKU-3448,57.63,42.07,25.93,1,1
SKU-3449,28.35,25.23,12.76,5,1
SKU-3450,97.71,83.05,43.97,1,1
SKU-3451,75.84,93.28,34.13,1,0
SKU-3452,62.42,63.04,28.09,1,0
SKU-3453,110.64,98.47,49.79,1,1
SKU-3454,31.12,31.74,14.0,2,0
SKU-3455,69.26,54.02,31.17,1,1
SKU-3456,21.14,19.87,9.51,5,0
SKU-3457,66.87,69.54,30.09,1,0
SKU-3458,25.63,24.86,11.53,2,0
SKU-3459,31.88,29.33,14.35,2,0
SKU-3460,31.75,39.69,14.29,1,0
SKU-3461,84.92,100.21,38.21,1,0
SKU-3462,94.6,98.38,42.57,1,0
SKU-3463,78.34,79.12,35.25,1,0
SKU-3464,116.22,120.87,52.3,1,0
SKU-3465,57.49,46.57,25.87,1,1
SKU-3466,48.57,44.68,21.86,1,0
SKU-3467,106.86,76.94,48.09,1,1
SKU-3468,42.36,40.67,19.06,1,0
SKU-3469,116.32,116.32,52.34,1,0
SKU-3470,21.22,17.61,9.55,6,1
SKU-3471,116.99,143.9,52.65,1,0
SKU-3472,24.32,29.18,10.94,2,0
SKU-3473,109.11,120.02,49.1,1,0
SKU-3474,72.77,72.04,32.75,1,0
SKU-3475,119.3,140.77,53.68,1,0
SKU-3476,27.38,21.08,12.32,6,1
SKU-3477,75.39,85.19,33.93,1,0
SKU-3478,116.93,90.04,52.62,1,1
SKU-3479,72.31,82.43,32.54,1,0
SKU-3480,82.94,70.5,37.32,1,1
SKU-3481,89.57,105.69,40.31,1,0
SKU-3482,65.45,79.85,29.45,1,0
SKU-3483,82.76,64.55,37.24,1,1
SKU-3484,78.43,74.51,35.29,1,0
SKU-3485,110.12,136.55,49.55,1,0
SKU-3486,24.54,23.8,11.04,3,0
SKU-3487,48.1,56.28,21.64,1,0
SKU-3488,115.04,117.34,51.77,1,0
SKU-3489,109.03,99.22,49.06,1,0
SKU-3490,65.57,56.39,29.51,1,1
SKU-3491,82.01,66.43,36.9,1,1
SKU-3492,47.74,53.47,21.48,1,0
SKU-3493,38.81,35.32,17.46,1,0
SKU-3494,66.37,65.04,29.87,1,0
SKU-3495,55.34,53.68,24.9,1,0
SKU-3496,78.37,79.94,35.27,1,0
SKU-3497,27.77,32.77,12.5,2,0
SKU-3498,117.44,145.63,52.85,1,0
SKU-3499,118.62,109.13,53.38,1,0
SKU-3500,89.82,104.19,40.42,1,0
SKU-3501,73.61,82.44,33.12,1,0
SKU-3502,50.95,51.97,22.93,1,0
SKU-3503,101.38,124.7,45.62,1,0
SKU-3504,88.47,71.66,39.81,1,1
SKU-3505,36.26,27.56,16.32,4,1
SKU-3506,111.09,129.98,49.99,1,0
SKU-3507,102.25,96.12,46.01,1,0
SKU-3508,114.98,134.53,51.74,1,0
SKU-3509,92.57,110.16,41.66,1,0
SKU-3510,81.34,59.38,36.6,1,1
SKU-3511,61.82,73.57,27.82,1,0
SKU-3512,113.27,107.61,50.97,1,0
SKU-3513,106.61,104.48,47.97,1,0
SKU-3514,24.52,25.5,11.03,2,0
SKU-3515,22.64,27.39,10.19,3,0
SKU-3516,57.65,40.93,25.94,1,1
SKU-3517,101.06,97.02,45.48,1,0
SKU-3518,118.73,128.23,53.43,1,0
SKU-3519,35.04,38.54,15.77,1,0
SKU-3520,79.41,85.76,35.73,1,0
SKU-3521,58.09,44.73,26.14,1,1
SKU-3522,116.99,100.61,52.65,1,1
SKU-3523,104.21,93.79,46.89,1,0
SKU-3524,103.83,118.37,46.72,1,0
SKU-3525,66.87,56.84,30.09,1,1
SKU-3526,61.48,50.41,27.67,1,1
SKU-3527,47.34,58.23,21.3,1,0
SKU-3528,25.64,17.95,11.54,11,1
SKU-3529,106.47,133.09,47.91,1,0
SKU-3530,101.29,108.38,45.58,1,0
SKU-3531,119.97,139.17,53.99,1,0
SKU-3532,119.66,102.91,53.85,1,1
SKU-3533,75.54,53.63,33.99,1,1
SKU-3534,96.9,107.56,43.6,1,0
SKU-3535,114.48,132.8,51.52,1,0
SKU-3536,104.96,116.51,47.23,1,0
SKU-3537,44.73,34.89,20.13,2,1
SKU-3538,65.05,72.21,29.27,1,0
SKU-3539,32.92,36.87,14.81,1,0
SKU-3540,115.41,122.33,51.93,1,0
SKU-3541,80.62,90.29,36.28,1,0
SKU-3542,42.86,50.15,19.29,1,0
SKU-3543,87.17,90.66,39.23,1,0
SKU-3544,81.81,61.36,36.81,1,1
SKU-3545,55.82,54.15,25.12,1,0
SKU-3546,31.36,23.21,14.11,5,1
SKU-3547,87.16,80.19,39.22,1,0
SKU-3548,72.03,66.27,32.41,1,0
SKU-3549,97.23,71.95,43.75,1,1
SKU-3550,72.02,64.1,32.41,1,1
SKU-3551,105.22,79.97,47.35,1,1
SKU-3552,75.19,85.72,33.84,1,0
SKU-3553,76.09,92.83,34.24,1,0
SKU-3554,107.67,79.68,48.45,1,1
SKU-3555,60.35,74.23,27.16,1,0
SKU-3556,33.4,33.07,15.03,2,0
SKU-3557,22.88,19.68,10.3,6,1
SKU-3558,95.51,70.68,42.98,1,1
SKU-3559,82.03,80.39,36.91,1,0
SKU-3560,90.41,103.07,40.68,1,0
SKU-3561,41.3,45.02,18.58,1,0
SKU-3562,33.64,24.56,15.14,5,1
SKU-3563,21.45,15.87,9.65,13,1
SKU-3564,55.06,50.66,24.78,1,0
SKU-3565,78.99,67.93,35.55,1,1
SKU-3566,59.22,49.15,26.65,1,1
SKU-3567,63.75,54.19,28.69,1,1
SKU-3568,110.42,125.88,49.69,1,0
SKU-3569,54.83,66.34,24.67,1,0
SKU-3570,71.4,65.69,32.13,1,0
SKU-3571,98.37,118.04,44.27,1,0
SKU-3572,59.65,52.49,26.84,1,1
SKU-3573,82.21,78.92,36.99,1,0
SKU-3574,106.24,87.12,47.81,1,1
SKU-3575,114.95,120.7,51.73,1,0
SKU-3576,34.71,43.04,15.62,1,0
SKU-3577,112.66,116.04,50.7,1,0
SKU-3578,69.21,62.29,31.14,1,0
SKU-3579,45.82,48.57,20.62,1,0
SKU-3580,65.91,50.75,29.66,1,1
SKU-3581,118.0,140.42,53.1,1,0
SKU-3582,69.26,67.87,31.17,1,0
SKU-3583,52.88,50.24,23.8,1,0
SKU-3584,83.34,85.01,37.5,1,0
SKU-3585,44.01,45.77,19.8,1,0
SKU-3586,27.59,20.42,12.42,5,1
SKU-3587,32.89,35.52,14.8,1,0
SKU-3588,32.8,27.22,14.76,2,1
SKU-3589,35.19,38.36,15.84,1,0
SKU-3590,33.88,38.96,15.25,1,0
SKU-3591,84.09,95.86,37.84,1,0
SKU-3592,38.19,38.19,17.19,1,0
SKU-3593,54.57,54.02,24.56,1,0
SKU-3594,109.68,85.55,49.36,1,1
SKU-3595,67.4,76.16,30.33,1,0
SKU-3596,86.76,73.75,39.04,1,1
SKU-3597,37.23,36.11,16.75,1,0
SKU-3598,39.23,33.74,17.65,2,1
SKU-3599,24.09,18.55,10.84,10,1
SKU-3600,36.89,38.73,16.6,1,0
SKU-3601,47.86,34.94,21.54,2,1
SKU-3602,37.7,41.85,16.97,1,0
SKU-3603,28.87,25.12,12.99,4,1
SKU-3604,32.06,22.44,14.43,4,1
