pixel_id,band_02_blue,band_03_green,band_04_red,band_08_nir,land_cover_class
PX-68,0.0878,0.1686,0.109,0.6379,Crops
PX-69,0.0535,0.0364,0.2698,0.1537,Urban
PX-70,0.2709,0.0607,0.0557,0.1274,Water
PX-71,0.1034,0.1562,0.1389,0.6744,Crops
PX-72,0.0754,0.1985,0.108,0.6407,Crops
PX-73,0.0791,0.0582,0.2626,0.1063,Urban
PX-74,0.2194,0.0564,0.0623,0.0739,Water
PX-75,0.2603,0.0731,0.0493,0.1052,Water
PX-76,0.2614,0.0793,0.0666,0.01,Water
PX-77,0.0788,0.1796,0.1019,0.6264,Crops
PX-78,0.1025,0.1646,0.0844,0.6467,Crops
PX-79,0.0733,0.1445,0.1093,0.6725,Crops
PX-80,0.0913,0.0463,0.2647,0.1093,Urban
PX-81,0.0596,0.1877,0.0484,0.6839,Forest
PX-82,0.0795,0.1821,0.1073,0.5628,Crops
PX-83,0.0765,0.1731,0.1348,0.6477,Crops
PX-84,0.0845,0.1938,0.1142,0.5828,Crops
PX-85,0.0726,0.1677,0.123,0.6017,Crops
PX-86,0.2474,0.0589,0.0532,0.1125,Water
PX-87,0.0965,0.2237,0.0539,0.7211,Forest
PX-88,0.0713,0.0668,0.2795,0.1348,Urban
PX-89,0.0479,0.1988,0.0602,0.6707,Forest
PX-90,0.115,0.168,0.1041,0.6492,Crops
PX-91,0.2776,0.0473,0.078,0.0915,Water
PX-92,0.2242,0.043,0.0453,0.0982,Water
PX-93,0.0938,0.1892,0.0238,0.6871,Forest
PX-94,0.2399,0.0751,0.0538,0.0646,Water
PX-95,0.0853,0.1956,0.033,0.6937,Forest
PX-96,0.0859,0.173,0.0633,0.6545,Forest
PX-97,0.0753,0.2354,0.0942,0.703,Forest
PX-98,0.0643,0.1864,0.1043,0.6884,Crops
PX-99,0.0662,0.1519,0.1266,0.5831,Crops
PX-100,0.0617,0.1712,0.0849,0.6267,Crops
PX-101,0.0634,0.2022,0.0591,0.6358,Forest
PX-102,0.0787,0.2141,0.1023,0.5775,Crops
PX-103,0.0657,0.1778,0.0375,0.6287,Forest
PX-104,0.0936,0.0795,0.258,0.2177,Urban
PX-105,0.1097,0.208,0.1346,0.6744,Crops
PX-106,0.0684,0.1874,0.0701,0.7467,Forest
PX-107,0.2548,0.0544,0.0505,0.1532,Water
PX-108,0.09,0.1593,0.1027,0.6203,Crops
PX-109,0.0894,0.1759,0.1518,0.6347,Crops
PX-110,0.0815,0.1793,0.105,0.6735,Crops
PX-111,0.0949,0.1932,0.0768,0.6675,Crops
PX-112,0.0896,0.0818,0.2892,0.0969,Urban
PX-113,0.0552,0.045,0.2579,0.0596,Urban
PX-114,0.0974,0.1607,0.0698,0.8015,Forest
PX-115,0.0977,0.0596,0.2724,0.1144,Urban
PX-116,0.0647,0.0659,0.2921,0.107,Urban
PX-117,0.0808,0.185,0.148,0.6545,Crops
PX-118,0.0937,0.0535,0.2558,0.1103,Urban
PX-119,0.0758,0.2025,0.0387,0.6749,Forest
PX-120,0.1015,0.0903,0.2785,0.1715,Urban
PX-121,0.1273,0.0676,0.3108,0.115,Urban
PX-122,0.0643,0.1725,0.1068,0.6035,Crops
PX-123,0.0524,0.17,0.1081,0.6435,Crops
PX-124,0.0861,0.1766,0.1296,0.6314,Crops
PX-125,0.0944,0.2327,0.0385,0.727,Forest
PX-126,0.0754,0.0563,0.2831,0.1668,Urban
PX-127,0.1091,0.0596,0.249,0.1243,Urban
PX-128,0.0532,0.1704,0.1643,0.5989,Crops
PX-129,0.0939,0.222,0.023,0.621,Forest
PX-130,0.0679,0.2392,0.0436,0.6706,Forest
PX-131,0.1144,0.189,0.1194,0.6635,Crops
PX-132,0.1199,0.1817,0.1583,0.635,Crops
PX-133,0.0647,0.1807,0.0935,0.6308,Crops
PX-134,0.069,0.0123,0.3197,0.0963,Urban
PX-135,0.0972,0.1949,0.1351,0.6491,Crops
PX-136,0.0723,0.2027,0.0583,0.5747,Forest
PX-137,0.2491,0.0686,0.0303,0.0759,Water
PX-138,0.0805,0.1658,0.1314,0.6249,Crops
PX-139,0.0416,0.0523,0.2655,0.1683,Urban
PX-140,0.0797,0.0518,0.3053,0.0874,Urban
PX-141,0.0662,0.2004,0.1006,0.6572,Crops
PX-142,0.0701,0.1924,0.0477,0.6791,Forest
PX-143,0.1089,0.2217,0.1089,0.7019,Crops
PX-144,0.0549,0.1886,0.1002,0.7005,Crops
PX-145,0.0963,0.1545,0.1348,0.6477,Crops
PX-146,0.0744,0.1974,0.0607,0.651,Forest
PX-147,0.0744,0.187,0.0742,0.6434,Forest
PX-148,0.0958,0.1361,0.0844,0.6404,Crops
PX-149,0.0868,0.212,0.1413,0.6326,Crops
PX-150,0.0914,0.0741,0.3301,0.1421,Urban
PX-151,0.0994,0.1907,0.111,0.6668,Crops
PX-152,0.0734,0.1833,0.1579,0.6737,Crops
PX-153,0.0678,0.1724,0.0447,0.7204,Forest
PX-154,0.0583,0.0503,0.2526,0.1945,Urban
PX-155,0.0635,0.1968,0.1139,0.655,Crops
PX-156,0.309,0.039,0.071,0.164,Water
PX-157,0.2749,0.01,0.0332,0.1059,Water
PX-158,0.053,0.1755,0.108,0.6974,Crops
PX-159,0.2236,0.0572,0.0619,0.1625,Water
PX-160,0.0896,0.1827,0.1201,0.6903,Crops
PX-161,0.0909,0.2146,0.0617,0.6738,Forest
PX-162,0.091,0.2128,0.0548,0.6433,Forest
PX-163,0.0749,0.2052,0.0596,0.6142,Forest
PX-164,0.0775,0.2039,0.1114,0.6484,Crops
PX-165,0.0866,0.0296,0.2846,0.1813,Urban
PX-166,0.0817,0.1901,0.1015,0.6376,Crops
PX-167,0.0356,0.1925,0.1458,0.6814,Crops
PX-168,0.0754,0.1552,0.1073,0.6838,Crops
PX-169,0.063,0.1699,0.0726,0.6587,Forest
PX-170,0.2535,0.0451,0.0453,0.1727,Water
PX-171,0.1397,0.1668,0.124,0.5337,Crops
PX-172,0.0873,0.2151,0.0401,0.6211,Forest
PX-173,0.0737,0.1677,0.0997,0.6134,Crops
PX-174,0.0984,0.1829,0.0151,0.6372,Forest
PX-175,0.0897,0.1678,0.0989,0.6635,Crops
PX-176,0.2584,0.0824,0.0435,0.1316,Water
PX-177,0.0921,0.1803,0.1242,0.6658,Crops
PX-178,0.1211,0.0564,0.3002,0.1438,Urban
PX-179,0.0574,0.1778,0.1111,0.612,Crops
PX-180,0.0895,0.2058,0.1024,0.6013,Crops
PX-181,0.0615,0.165,0.0911,0.6659,Crops
PX-182,0.0911,0.0863,0.2896,0.0948,Urban
PX-183,0.0616,0.0642,0.3077,0.0572,Urban
PX-184,0.0717,0.1768,0.1453,0.6889,Crops
PX-185,0.2441,0.11,0.0642,0.1758,Water
PX-186,0.0995,0.0389,0.2928,0.1823,Urban
PX-187,0.0984,0.1929,0.084,0.6775,Forest
PX-188,0.0551,0.1754,0.0566,0.695,Forest
PX-189,0.0811,0.199,0.1329,0.7048,Crops
PX-190,0.0658,0.2138,0.1136,0.6243,Crops
PX-191,0.0548,0.0934,0.2528,0.1644,Urban
PX-192,0.0757,0.0845,0.2663,0.131,Urban
PX-193,0.0738,0.196,0.0498,0.7065,Forest
PX-194,0.1285,0.1727,0.1212,0.6574,Crops
PX-195,0.0887,0.1466,0.1585,0.7019,Crops
PX-196,0.2224,0.1007,0.0516,0.1289,Water
PX-197,0.0687,0.0694,0.3036,0.0606,Urban
PX-198,0.1004,0.0502,0.2713,0.1781,Urban
PX-199,0.2918,0.0866,0.0438,0.0821,Water
PX-200,0.0483,0.1805,0.0234,0.7201,Forest
PX-201,0.0424,0.1881,0.1052,0.6464,Crops
PX-202,0.1174,0.1765,0.1305,0.697,Crops
PX-203,0.0878,0.0728,0.2802,0.1654,Urban
PX-204,0.0626,0.1987,0.0689,0.6872,Forest
PX-205,0.0907,0.151,0.1236,0.6703,Crops
PX-206,0.0273,0.1815,0.113,0.6669,Crops
PX-207,0.2501,0.081,0.093,0.0394,Water
PX-208,0.0866,0.1794,0.1181,0.6547,Crops
PX-209,0.0985,0.1955,0.1433,0.6054,Crops
PX-210,0.0597,0.1791,0.042,0.6768,Forest
PX-211,0.2517,0.0595,0.0642,0.0743,Water
PX-212,0.2315,0.0475,0.0686,0.0726,Water
PX-213,0.0851,0.1949,0.1242,0.7142,Crops
PX-214,0.2321,0.0606,0.01,0.1628,Water
PX-215,0.0718,0.1938,0.1204,0.6498,Crops
PX-216,0.0601,0.2018,0.1446,0.6574,Crops
PX-217,0.263,0.0738,0.0605,0.1101,Water
PX-218,0.0972,0.2055,0.0589,0.6928,Forest
PX-219,0.0753,0.04,0.2456,0.093,Urban
PX-220,0.2508,0.0599,0.0356,0.1597,Water
PX-221,0.051,0.1893,0.0582,0.6599,Forest
PX-222,0.074,0.1731,0.1282,0.6332,Crops
PX-223,0.079,0.1725,0.1443,0.6509,Crops
PX-224,0.1324,0.1604,0.1171,0.6264,Crops
PX-225,0.0578,0.1409,0.1281,0.6631,Crops
PX-226,0.1093,0.0466,0.2803,0.0985,Urban
PX-227,0.0999,0.1839,0.1003,0.6687,Crops
PX-228,0.0856,0.033,0.2349,0.1686,Urban
PX-229,0.1152,0.2003,0.0586,0.6412,Forest
PX-230,0.2574,0.098,0.0535,0.1148,Water
PX-231,0.0878,0.2205,0.0376,0.6885,Forest
PX-232,0.0789,0.2329,0.0176,0.6526,Forest
PX-233,0.1045,0.2078,0.0626,0.6886,Forest
PX-234,0.1019,0.2034,0.1147,0.6722,Crops
PX-235,0.2375,0.0455,0.0611,0.1633,Water
PX-236,0.0536,0.1671,0.1573,0.6258,Crops
PX-237,0.0759,0.1252,0.0772,0.6123,Crops
PX-238,0.064,0.2237,0.036,0.6577,Forest
PX-239,0.0787,0.2108,0.1158,0.6113,Crops
PX-240,0.1047,0.0489,0.3091,0.1426,Urban
PX-241,0.0709,0.0549,0.2473,0.0735,Urban
PX-242,0.0791,0.0449,0.3187,0.2133,Urban
PX-243,0.0812,0.1877,0.1227,0.7018,Crops
PX-244,0.097,0.2025,0.1181,0.6505,Crops
PX-245,0.0351,0.0251,0.276,0.1547,Urban
PX-246,0.0679,0.2082,0.0413,0.6045,Forest
PX-247,0.0842,0.0545,0.301,0.2209,Urban
PX-248,0.104,0.0623,0.2586,0.0964,Urban
PX-249,0.0702,0.0692,0.2869,0.1152,Urban
PX-250,0.0425,0.1762,0.1123,0.5758,Crops
PX-251,0.0924,0.1779,0.1048,0.6695,Crops
PX-252,0.0673,0.0557,0.3317,0.0757,Urban
PX-253,0.0562,0.1994,0.1284,0.6541,Crops
PX-254,0.0675,0.1884,0.1323,0.6282,Crops
PX-255,0.0763,0.2044,0.0728,0.6269,Forest
PX-256,0.0679,0.0346,0.2516,0.0878,Urban
PX-257,0.2059,0.0524,0.085,0.129,Water
PX-258,0.0979,0.218,0.01,0.6187,Forest
PX-259,0.1055,0.1808,0.1046,0.62,Crops
PX-260,0.093,0.2132,0.0408,0.6965,Forest
PX-261,0.0572,0.0953,0.2916,0.2241,Urban
PX-262,0.076,0.2008,0.1244,0.6691,Crops
PX-263,0.0799,0.2019,0.0467,0.6333,Forest
PX-264,0.092,0.0498,0.2798,0.1053,Urban
PX-265,0.2634,0.01,0.0304,0.1213,Water
PX-266,0.2353,0.0566,0.0201,0.106,Water
PX-267,0.2516,0.0535,0.0645,0.1561,Water
PX-268,0.0891,0.1878,0.1339,0.6587,Crops
PX-269,0.1091,0.1769,0.1517,0.6863,Crops
PX-270,0.0941,0.0536,0.2642,0.1074,Urban
PX-271,0.0958,0.0244,0.2939,0.173,Urban
PX-272,0.0817,0.0412,0.2743,0.1133,Urban
PX-273,0.1082,0.0695,0.3038,0.0812,Urban
PX-274,0.0882,0.2343,0.0704,0.7571,Forest
PX-275,0.0628,0.198,0.0542,0.597,Forest
PX-276,0.2781,0.0666,0.0432,0.0905,Water
PX-277,0.094,0.219,0.0692,0.6449,Forest
PX-278,0.2411,0.0438,0.0629,0.2203,Water
PX-279,0.2404,0.0673,0.0363,0.1923,Water
PX-280,0.0859,0.0452,0.2534,0.1798,Urban
PX-281,0.0893,0.1973,0.1142,0.6368,Crops
PX-282,0.0839,0.183,0.1503,0.747,Crops
PX-283,0.0862,0.186,0.1429,0.6647,Crops
PX-284,0.114,0.1843,0.0278,0.7091,Forest
PX-285,0.1014,0.1941,0.0966,0.6572,Crops
PX-286,0.0838,0.2417,0.0755,0.668,Forest
PX-287,0.0988,0.1798,0.0273,0.6599,Forest
PX-288,0.0593,0.1732,0.1302,0.6416,Crops
PX-289,0.088,0.2046,0.0377,0.6943,Forest
PX-290,0.1162,0.1957,0.1523,0.6647,Crops
PX-291,0.0756,0.1688,0.1046,0.6487,Crops
PX-292,0.063,0.01,0.3029,0.1804,Urban
PX-293,0.067,0.2072,0.1237,0.5313,Crops
PX-294,0.0582,0.1952,0.125,0.6704,Crops
PX-295,0.0643,0.1651,0.0106,0.6987,Forest
PX-296,0.2426,0.0478,0.01,0.1659,Water
PX-297,0.0519,0.2114,0.1156,0.6474,Crops
PX-298,0.0803,0.229,0.0549,0.6783,Forest
PX-299,0.098,0.1988,0.0975,0.6894,Crops
PX-300,0.0618,0.1765,0.0982,0.7096,Crops
PX-301,0.1104,0.2017,0.0612,0.658,Forest
PX-302,0.0902,0.1974,0.0613,0.6807,Forest
PX-303,0.1006,0.2226,0.0472,0.7371,Forest
PX-304,0.2368,0.0425,0.0656,0.035,Water
PX-305,0.0971,0.0439,0.2565,0.0924,Urban
PX-306,0.0582,0.2202,0.0429,0.7286,Forest
PX-307,0.0978,0.1791,0.153,0.6937,Crops
PX-308,0.2534,0.0876,0.0514,0.1409,Water
PX-309,0.0911,0.1666,0.1225,0.6321,Crops
PX-310,0.0565,0.1989,0.0961,0.6347,Forest
PX-311,0.0621,0.1616,0.092,0.6264,Crops
PX-312,0.0919,0.1801,0.1359,0.7119,Crops
PX-313,0.061,0.0304,0.3133,0.0949,Urban
PX-314,0.0893,0.0502,0.2735,0.1241,Urban
PX-315,0.2227,0.0313,0.0672,0.0899,Water
PX-316,0.097,0.2139,0.0304,0.7037,Forest
PX-317,0.0553,0.1943,0.1063,0.6285,Crops
PX-318,0.091,0.1454,0.1277,0.6461,Crops
PX-319,0.0925,0.2067,0.136,0.5827,Crops
PX-320,0.0661,0.2499,0.0724,0.6055,Forest
PX-321,0.2616,0.0609,0.0814,0.1203,Water
PX-322,0.2552,0.0472,0.0487,0.067,Water
PX-323,0.0692,0.2365,0.1439,0.7342,Crops
PX-324,0.0598,0.0336,0.2732,0.0375,Urban
PX-325,0.2107,0.0604,0.068,0.088,Water
PX-326,0.087,0.2036,0.0541,0.6707,Forest
PX-327,0.0487,0.2269,0.0589,0.6554,Forest
PX-328,0.0819,0.2072,0.0585,0.6258,Forest
PX-329,0.0747,0.17,0.0879,0.6117,Crops
PX-330,0.0936,0.161,0.0975,0.6104,Crops
PX-331,0.244,0.0532,0.0521,0.1085,Water
PX-332,0.0734,0.1599,0.0863,0.7281,Crops
PX-333,0.0946,0.181,0.1366,0.6531,Crops
PX-334,0.0867,0.1687,0.1374,0.6973,Crops
PX-335,0.0863,0.1501,0.1265,0.6703,Crops
PX-336,0.0894,0.0851,0.2576,0.1646,Urban
PX-337,0.2193,0.05,0.0776,0.01,Water
PX-338,0.0951,0.1746,0.0907,0.6578,Forest
PX-339,0.0922,0.1766,0.1229,0.7023,Crops
PX-340,0.0597,0.2014,0.0602,0.6471,Forest
PX-341,0.0751,0.1651,0.054,0.7405,Forest
PX-342,0.0792,0.1866,0.1306,0.7094,Crops
PX-343,0.0773,0.1791,0.0476,0.6512,Forest
PX-344,0.0867,0.2142,0.1193,0.6299,Crops
PX-345,0.1086,0.2105,0.0681,0.6295,Forest
PX-346,0.1016,0.192,0.0969,0.6448,Forest
PX-347,0.0538,0.1651,0.092,0.6007,Crops
PX-348,0.0924,0.1779,0.1179,0.6672,Crops
PX-349,0.1066,0.2123,0.0264,0.6118,Forest
PX-350,0.0877,0.1995,0.0818,0.6941,Forest
PX-351,0.1018,0.0557,0.2682,0.1451,Urban
PX-352,0.2902,0.0612,0.0211,0.0536,Water
PX-353,0.1005,0.1679,0.1328,0.712,Crops
PX-354,0.085,0.1731,0.1549,0.6705,Crops
PX-355,0.1009,0.1583,0.0633,0.7,Forest
PX-356,0.0829,0.1995,0.1241,0.6197,Crops
PX-357,0.0805,0.206,0.0582,0.6949,Forest
PX-358,0.073,0.0445,0.3083,0.1651,Urban
PX-359,0.1113,0.238,0.0325,0.6661,Forest
PX-360,0.0636,0.1817,0.1178,0.7301,Crops
PX-361,0.1106,0.1793,0.0409,0.6718,Forest
PX-362,0.09,0.2171,0.0266,0.7156,Forest
PX-363,0.052,0.208,0.0434,0.6817,Forest
PX-364,0.0874,0.0679,0.3022,0.1434,Urban
PX-365,0.038,0.1715,0.1313,0.5831,Crops
PX-366,0.0925,0.069,0.2929,0.1348,Urban
PX-367,0.0977,0.0548,0.2829,0.0906,Urban
PX-368,0.0682,0.1911,0.1305,0.6161,Crops
PX-369,0.0825,0.1419,0.104,0.7198,Crops
PX-370,0.1191,0.1713,0.1138,0.6414,Crops
PX-371,0.0699,0.2144,0.1238,0.6099,Crops
PX-372,0.0588,0.1647,0.1256,0.6356,Crops
PX-373,0.2796,0.0479,0.0564,0.068,Water
PX-374,0.1193,0.171,0.1172,0.7074,Crops
PX-375,0.0801,0.1557,0.1125,0.6222,Crops
PX-376,0.1002,0.0158,0.3432,0.1412,Urban
PX-377,0.1068,0.1754,0.1381,0.7042,Crops
PX-378,0.0652,0.0627,0.2883,0.1,Urban
PX-379,0.0703,0.1789,0.1153,0.6713,Crops
PX-380,0.1046,0.1771,0.111,0.6088,Crops
PX-381,0.2837,0.0609,0.0474,0.2178,Water
PX-382,0.0913,0.2205,0.0559,0.7075,Forest
PX-383,0.0624,0.0562,0.2424,0.1123,Urban
PX-384,0.2897,0.0485,0.0186,0.0891,Water
PX-385,0.0694,0.0544,0.2673,0.1154,Urban
PX-386,0.0733,0.1916,0.1241,0.6364,Crops
PX-387,0.0868,0.2082,0.1152,0.7281,Crops
PX-388,0.2811,0.0474,0.0796,0.071,Water
PX-389,0.0971,0.062,0.2504,0.1254,Urban
PX-390,0.0883,0.0668,0.265,0.1193,Urban
PX-391,0.0893,0.1801,0.0804,0.6653,Forest
PX-392,0.0809,0.1804,0.1226,0.6457,Crops
PX-393,0.2612,0.0307,0.0677,0.1154,Water
PX-394,0.0294,0.1446,0.161,0.6849,Crops
PX-395,0.0741,0.0673,0.2661,0.1444,Urban
PX-396,0.0848,0.0523,0.278,0.1368,Urban
PX-397,0.057,0.204,0.0446,0.5486,Forest
PX-398,0.2577,0.0596,0.0109,0.132,Water
PX-399,0.2459,0.0405,0.0438,0.0538,Water
PX-400,0.1151,0.1791,0.1376,0.6759,Crops
PX-401,0.1115,0.0353,0.2908,0.179,Urban
PX-402,0.0707,0.2278,0.0624,0.633,Forest
PX-403,0.077,0.0329,0.2725,0.1095,Urban
PX-404,0.0785,0.1761,0.1069,0.626,Crops
PX-405,0.071,0.0392,0.3054,0.1694,Urban
PX-406,0.0839,0.1914,0.1101,0.6538,Crops
PX-407,0.0648,0.1734,0.1259,0.7191,Crops
PX-408,0.0574,0.0496,0.2833,0.1366,Urban
PX-409,0.0925,0.1971,0.1492,0.6597,Crops
PX-410,0.0926,0.1806,0.1394,0.6527,Crops
PX-411,0.0639,0.0703,0.2541,0.1527,Urban
PX-412,0.0979,0.0404,0.2562,0.0505,Urban
PX-413,0.0674,0.1719,0.0616,0.6734,Forest
PX-414,0.0851,0.2021,0.0487,0.6672,Forest
PX-415,0.0964,0.1936,0.0409,0.699,Forest
PX-416,0.0793,0.1925,0.1403,0.6425,Crops
PX-417,0.0891,0.1784,0.1237,0.6085,Crops
PX-418,0.2397,0.0641,0.051,0.1203,Water
PX-419,0.2461,0.0275,0.0656,0.0767,Water
PX-420,0.2459,0.0978,0.0425,0.043,Water
PX-421,0.2351,0.0567,0.0814,0.1491,Water
PX-422,0.0765,0.194,0.1042,0.6732,Crops
PX-423,0.049,0.1833,0.0631,0.6887,Forest
PX-424,0.0702,0.1862,0.1487,0.7021,Crops
PX-425,0.0743,0.1739,0.0225,0.6434,Forest
PX-426,0.0749,0.209,0.0431,0.6128,Forest
PX-427,0.0752,0.0529,0.3028,0.1172,Urban
PX-428,0.0788,0.1806,0.1431,0.6361,Crops
PX-429,0.0896,0.194,0.1166,0.6163,Crops
PX-430,0.0975,0.1553,0.1053,0.6468,Crops
PX-431,0.237,0.0463,0.0691,0.0955,Water
PX-432,0.0559,0.2091,0.0737,0.5966,Forest
PX-433,0.0592,0.222,0.0967,0.6324,Crops
PX-434,0.0703,0.1772,0.0959,0.6045,Crops
PX-435,0.243,0.0718,0.0545,0.1293,Water
PX-436,0.0646,0.1779,0.1326,0.6238,Crops
PX-437,0.0541,0.0988,0.274,0.1645,Urban
PX-438,0.2409,0.0251,0.0636,0.1842,Water
PX-439,0.0836,0.1819,0.1058,0.6772,Crops
PX-440,0.0919,0.1475,0.0777,0.588,Crops
PX-441,0.0689,0.01,0.2715,0.1802,Urban
PX-442,0.0717,0.1859,0.1213,0.713,Crops
PX-443,0.0615,0.1828,0.1145,0.6508,Crops
PX-444,0.0794,0.0543,0.2568,0.1729,Urban
PX-445,0.063,0.0579,0.2437,0.0979,Urban
PX-446,0.0915,0.122,0.2697,0.0454,Urban
PX-447,0.2143,0.0548,0.068,0.0896,Water
PX-448,0.0728,0.1902,0.1451,0.7192,Crops
PX-449,0.086,0.167,0.1438,0.5904,Crops
PX-450,0.2537,0.0659,0.0337,0.12,Water
PX-451,0.1339,0.1952,0.0269,0.6714,Forest
PX-452,0.087,0.1918,0.0599,0.6495,Forest
PX-453,0.0599,0.0964,0.2927,0.1023,Urban
PX-454,0.0781,0.2035,0.128,0.6529,Crops
PX-455,0.0445,0.2027,0.01,0.6475,Forest
PX-456,0.0784,0.1339,0.1027,0.5931,Crops
PX-457,0.0633,0.1928,0.0494,0.6786,Forest
PX-458,0.0983,0.2341,0.1297,0.6929,Crops
PX-459,0.069,0.1754,0.1353,0.6848,Crops
PX-460,0.0777,0.2021,0.1229,0.6176,Crops
PX-461,0.0673,0.2288,0.0566,0.62,Forest
PX-462,0.2848,0.0644,0.0517,0.1086,Water
PX-463,0.0736,0.1832,0.0637,0.7327,Forest
PX-464,0.1167,0.0113,0.2863,0.1458,Urban
PX-465,0.0963,0.1937,0.1213,0.6782,Crops
PX-466,0.0896,0.1637,0.1146,0.6856,Crops
PX-467,0.0874,0.0635,0.2816,0.1368,Urban
PX-468,0.0879,0.155,0.1297,0.6548,Crops
PX-469,0.0414,0.0547,0.2853,0.1465,Urban
PX-470,0.0744,0.1807,0.1276,0.6282,Crops
PX-471,0.0969,0.0654,0.3069,0.0634,Urban
PX-472,0.079,0.1577,0.1253,0.6789,Crops
PX-473,0.0519,0.0839,0.267,0.1695,Urban
PX-474,0.079,0.1881,0.0677,0.6253,Forest
PX-475,0.1141,0.0265,0.2527,0.1529,Urban
PX-476,0.1049,0.1778,0.0984,0.7172,Crops
PX-477,0.0788,0.2007,0.0567,0.6699,Forest
PX-478,0.099,0.0632,0.2903,0.0873,Urban
PX-479,0.0727,0.2272,0.0251,0.6749,Forest
PX-480,0.0459,0.1953,0.0423,0.648,Forest
PX-481,0.2315,0.0576,0.0379,0.0953,Water
PX-482,0.1113,0.1779,0.0403,0.6873,Forest
PX-483,0.0745,0.2164,0.0689,0.6059,Forest
PX-484,0.0751,0.2037,0.0641,0.6122,Forest
PX-485,0.074,0.0516,0.2796,0.1208,Urban
PX-486,0.1181,0.1419,0.1091,0.6491,Crops
PX-487,0.1125,0.2089,0.093,0.6637,Crops
PX-488,0.1244,0.0354,0.3084,0.195,Urban
