player_id,age,nominal_position,minutes_played,expected_goals_xg,expected_assists_xa,pass_completion_pct,progressive_carries_p90,tackles_p90,sprint_speed_kmh,market_value_eur_mil
PLY-8044,25,Forward,1707,0.81,0.02,77.7,3.7,1.3,33.6,45.92
PLY-8045,21,Forward,1736,0.47,0.05,77.9,4.8,2.7,29.8,31.93
PLY-8046,19,Forward,931,0.6,0.18,84.5,7.1,0.2,27.2,34.14
PLY-8047,23,Midfielder,2688,0.03,0.06,69.4,4.7,0.6,30.8,16.33
PLY-8048,27,Forward,2393,0.38,0.12,80.6,4.7,3.7,34.8,43.27
PLY-8049,21,Winger,1558,0.01,0.24,75.5,8.2,2.3,34.2,39.67
PLY-8050,35,Forward,704,0.57,0.16,75.7,5.1,1.4,28.7,0.5
PLY-8051,29,Defender,801,0.14,0.07,78.8,4.3,4.6,32.5,18.84
PLY-8052,19,Forward,3097,0.55,0.18,81.9,3.1,3.0,32.8,25.04
PLY-8053,27,Winger,2442,0.18,0.52,80.7,7.2,3.5,34.8,59.53
PLY-8054,21,Winger,2466,0.11,0.39,75.6,9.2,0.9,28.1,33.8
PLY-8055,31,Midfielder,2596,0.28,0.06,90.3,8.1,1.0,27.6,12.39
PLY-8056,33,Winger,1889,0.36,0.27,76.6,7.6,2.9,25.6,1.87
PLY-8057,32,Forward,1509,0.35,0.07,77.6,6.0,3.0,28.5,11.39
PLY-8058,25,Defender,809,0.06,0.03,83.7,5.0,2.8,33.8,23.97
PLY-8059,31,Forward,1162,0.66,0.04,83.9,4.3,1.0,28.8,1.65
PLY-8060,25,Winger,2163,0.12,0.5,78.3,8.0,2.0,28.6,49.81
PLY-8061,33,Forward,1370,0.62,0.09,64.4,6.9,2.2,30.5,16.12
PLY-8062,30,Midfielder,3101,0.11,0.1,80.7,2.7,2.3,32.1,12.53
PLY-8063,35,Defender,1228,0.12,0.16,83.0,1.6,2.8,27.8,0.5
PLY-8064,32,Midfielder,2228,0.04,0.16,90.1,3.4,2.3,28.9,0.5
PLY-8065,30,Forward,2301,0.42,0.01,81.5,4.9,1.3,31.8,20.57
PLY-8066,26,Forward,986,0.58,0.32,79.1,6.2,0.8,33.1,56.05
PLY-8067,32,Midfielder,2535,0.14,0.04,95.0,2.5,2.2,28.6,0.5
PLY-8068,30,Midfielder,2943,0.37,0.23,83.8,0.5,2.1,29.8,6.38
PLY-8069,18,Forward,2905,0.83,0.27,85.7,3.5,3.2,35.7,46.39
PLY-8070,24,Midfielder,1704,0.2,0.23,78.0,4.1,1.2,30.9,35.31
PLY-8071,26,Forward,867,0.7,0.16,75.5,2.2,2.5,32.0,41.04
PLY-8072,18,Defender,3066,0.09,0.01,85.9,3.0,2.5,32.9,10.02
PLY-8073,29,Forward,2882,0.48,0.08,88.3,6.2,1.9,27.6,28.6
PLY-8074,25,Midfielder,2456,0.31,0.17,83.7,4.7,2.8,31.5,33.17
PLY-8075,28,Forward,2598,0.47,0.09,70.9,5.2,2.9,27.9,31.67
PLY-8076,34,Midfielder,1980,0.22,0.36,85.0,3.8,2.9,29.7,0.5
PLY-8077,25,Defender,1836,0.05,0.07,83.1,3.0,5.4,34.5,33.56
PLY-8078,20,Midfielder,1173,0.23,0.06,86.6,3.8,1.7,29.3,21.11
PLY-8079,20,Forward,648,0.84,0.06,78.6,5.5,2.8,27.8,48.55
PLY-8080,18,Defender,1750,0.51,0.07,81.1,1.5,6.6,35.7,26.9
PLY-8081,22,Defender,822,0.32,0.15,77.5,7.8,3.8,29.0,41.23
PLY-8082,27,Forward,2031,0.69,0.22,75.3,5.6,3.9,28.2,49.5
PLY-8083,24,Defender,2128,0.2,0.2,86.5,3.4,5.5,35.1,40.68
PLY-8084,26,Winger,2419,0.22,0.52,82.6,8.6,1.9,28.9,38.6
PLY-8085,24,Forward,2924,0.39,0.39,81.1,6.9,2.0,35.1,55.95
PLY-8086,26,Defender,2061,0.15,0.3,79.0,3.8,4.5,32.1,37.29
PLY-8087,25,Defender,1730,0.15,0.01,80.9,4.1,5.4,34.3,42.05
PLY-8088,29,Midfielder,2281,0.8,0.24,87.0,7.5,2.7,31.9,64.02
PLY-8089,19,Forward,3067,0.49,0.04,92.4,8.7,1.6,33.9,45.58
PLY-8090,18,Forward,974,0.55,0.03,85.9,4.6,0.2,29.5,20.85
PLY-8091,33,Winger,2720,0.19,0.4,78.0,4.7,3.0,28.7,3.7
PLY-8092,22,Winger,2621,0.25,0.29,78.1,6.1,0.2,26.8,18.11
PLY-8093,20,Defender,1653,0.34,0.01,77.1,6.6,2.8,33.6,33.05
PLY-8094,29,Midfielder,2489,0.06,0.03,84.8,2.4,1.7,32.4,7.51
PLY-8095,25,Defender,2423,0.19,0.01,77.1,4.1,2.9,29.3,31.89
PLY-8096,20,Midfielder,2074,0.44,0.42,88.8,5.1,2.6,27.7,39.23
PLY-8097,18,Midfielder,2842,0.16,0.01,70.1,2.7,1.8,32.1,7.32
PLY-8098,20,Forward,1779,0.43,0.04,85.2,6.7,3.1,35.2,44.71
PLY-8099,22,Defender,1664,0.27,0.1,83.7,5.9,2.5,31.2,38.32
PLY-8100,32,Midfielder,2670,0.43,0.08,93.6,8.5,1.4,28.6,12.75
PLY-8101,31,Defender,959,0.02,0.44,87.3,6.1,4.4,27.9,10.29
PLY-8102,20,Midfielder,2641,0.37,0.01,81.9,2.6,2.3,34.2,23.02
PLY-8103,18,Forward,1741,0.78,0.13,86.6,5.6,3.0,29.8,44.61
PLY-8104,22,Forward,2235,0.5,0.21,81.0,6.5,1.1,30.7,41.01
PLY-8105,31,Midfielder,2003,1.02,0.48,74.4,6.6,1.6,32.3,52.12
PLY-8106,24,Winger,2543,0.39,0.39,83.0,5.4,2.8,32.9,53.86
PLY-8107,26,Forward,1278,0.72,0.29,78.3,2.7,0.2,30.8,36.73
PLY-8108,32,Winger,3087,0.34,0.24,82.0,4.7,2.7,28.5,7.97
PLY-8109,32,Midfielder,606,0.04,0.09,95.0,7.7,3.1,33.2,12.58
PLY-8110,27,Defender,3068,0.06,0.08,83.3,5.7,2.8,29.0,18.97
PLY-8111,30,Midfielder,2191,0.16,0.39,79.9,2.9,1.8,31.0,12.54
PLY-8112,24,Defender,1432,0.08,0.03,87.8,4.8,6.2,28.2,23.35
PLY-8113,34,Defender,2410,0.13,0.03,84.2,4.3,5.2,32.6,0.5
PLY-8114,21,Forward,1513,0.9,0.07,75.2,2.6,2.7,30.5,45.11
PLY-8115,22,Forward,2611,0.78,0.01,72.4,4.6,3.4,30.0,42.03
PLY-8116,24,Winger,2042,0.25,0.26,76.1,7.4,4.4,33.0,53.76
PLY-8117,30,Winger,2050,0.49,0.8,87.0,10.9,2.2,28.4,58.21
PLY-8118,32,Forward,2102,0.73,0.1,80.2,3.2,1.7,31.4,4.19
PLY-8119,28,Defender,725,0.14,0.18,82.5,1.1,5.6,30.7,24.88
PLY-8120,21,Winger,3042,0.06,0.45,74.0,4.9,2.0,28.8,21.87
PLY-8121,30,Winger,1416,0.18,0.3,87.2,5.2,1.1,29.3,25.63
PLY-8122,24,Winger,2429,0.33,0.25,69.9,6.1,1.6,30.0,44.5
PLY-8123,19,Defender,1175,0.14,0.04,78.1,2.4,4.8,30.5,7.2
PLY-8124,27,Midfielder,2972,0.27,0.07,88.5,6.1,1.7,28.9,26.52
PLY-8125,30,Midfielder,2015,0.02,0.18,79.3,2.3,1.8,32.1,8.35
PLY-8126,23,Midfielder,1529,0.34,0.09,89.7,4.5,1.0,28.8,26.75
PLY-8127,29,Defender,2063,0.42,0.01,76.8,8.5,6.1,26.3,42.33
PLY-8128,29,Defender,1432,0.31,0.13,74.6,5.6,4.0,35.7,37.15
PLY-8129,28,Forward,1654,1.2,0.46,89.7,5.4,1.3,31.9,69.21
PLY-8130,24,Winger,2248,0.44,0.52,82.9,10.7,1.5,35.9,81.01
PLY-8131,18,Defender,2500,0.58,0.31,85.1,7.0,5.4,29.2,46.63
PLY-8132,18,Midfielder,2057,0.68,0.29,92.1,5.6,2.9,32.6,38.62
PLY-8133,30,Midfielder,1999,0.4,0.07,70.3,3.9,1.6,33.5,23.7
PLY-8134,26,Midfielder,1042,0.28,0.26,89.8,4.5,2.2,31.1,36.12
PLY-8135,20,Forward,2722,0.35,0.03,77.4,4.4,2.5,28.3,17.26
PLY-8136,24,Forward,1156,0.51,0.19,78.2,3.7,1.4,30.9,31.91
PLY-8137,23,Forward,1778,0.56,0.18,84.6,4.9,0.4,32.9,35.69
PLY-8138,25,Forward,2637,0.44,0.01,79.8,5.2,2.8,32.8,41.01
PLY-8139,26,Midfielder,962,0.1,0.28,89.6,2.0,1.4,31.5,20.33
PLY-8140,22,Midfielder,3095,0.81,0.42,85.8,7.8,2.7,33.5,76.23
PLY-8141,18,Forward,1857,0.91,0.06,83.0,5.3,2.6,33.4,49.53
PLY-8142,27,Defender,2441,0.47,0.3,79.1,4.0,4.5,30.3,40.17
PLY-8143,29,Midfielder,2909,0.13,0.02,79.6,4.9,1.7,28.2,9.22
PLY-8144,32,Winger,2450,0.01,0.38,77.6,8.9,1.4,30.4,9.26
PLY-8145,26,Winger,2772,0.02,0.34,81.4,4.1,0.8,29.9,22.38
PLY-8146,34,Forward,1510,0.44,0.14,93.0,4.3,1.5,30.3,0.5
PLY-8147,34,Midfielder,844,0.01,0.47,94.8,2.1,2.9,33.0,0.5
PLY-8148,29,Forward,1141,0.35,0.37,78.1,9.8,3.9,32.5,59.73
PLY-8149,24,Midfielder,3132,0.62,0.28,86.4,4.8,3.7,34.4,64.14
PLY-8150,19,Defender,2769,0.31,0.06,80.3,2.1,4.6,29.3,23.05
PLY-8151,20,Forward,2772,0.44,0.44,82.8,11.7,3.9,33.9,72.11
PLY-8152,34,Midfielder,2172,0.04,0.02,87.6,3.4,1.8,33.7,0.5
PLY-8153,22,Forward,2817,0.53,0.35,85.2,4.1,0.7,31.6,46.01
PLY-8154,34,Forward,723,0.35,0.07,64.6,4.2,4.5,35.1,0.5
PLY-8155,34,Defender,2331,0.7,0.01,84.2,2.8,5.0,28.1,0.5
PLY-8156,34,Midfielder,1385,0.13,0.2,83.6,5.0,0.4,28.6,0.5
PLY-8157,19,Midfielder,2643,0.13,0.05,81.8,0.5,4.1,32.9,5.43
PLY-8158,19,Midfielder,2848,0.12,0.05,90.8,6.7,1.3,31.6,27.2
PLY-8159,22,Winger,3016,0.02,0.29,90.8,4.7,1.6,29.9,19.15
PLY-8160,18,Forward,1396,0.6,0.01,86.1,3.7,3.4,32.9,34.02
PLY-8161,18,Midfielder,676,0.33,0.04,82.9,6.0,3.8,32.3,30.22
PLY-8162,19,Defender,658,0.28,0.01,75.5,4.1,3.2,30.2,19.15
PLY-8163,29,Midfielder,3078,0.04,0.11,68.0,4.2,4.0,31.9,8.3
PLY-8164,23,Winger,2123,0.22,0.24,83.1,5.0,3.2,33.2,48.84
PLY-8165,21,Defender,2536,0.21,0.21,85.5,8.7,3.4,30.2,38.88
PLY-8166,28,Defender,2756,0.51,0.05,81.4,5.6,4.1,32.6,47.47
PLY-8167,34,Defender,1901,0.12,0.52,87.6,2.3,6.2,28.1,0.5
PLY-8168,23,Winger,667,0.12,0.59,74.1,7.4,0.3,30.0,38.92
PLY-8169,22,Winger,2952,0.24,0.28,81.0,4.7,3.9,33.9,46.8
PLY-8170,19,Defender,2532,0.25,0.28,80.5,7.9,5.4,32.9,48.49
PLY-8171,23,Defender,964,0.16,0.29,81.3,4.9,5.0,27.3,27.49
PLY-8172,28,Forward,1420,0.5,0.78,89.0,2.5,2.4,30.7,51.04
PLY-8173,33,Forward,2002,0.52,0.16,81.4,5.9,4.6,31.1,14.78
PLY-8174,33,Midfielder,2990,0.49,0.02,84.2,3.9,4.7,30.3,3.96
PLY-8175,18,Forward,1546,0.5,0.19,76.4,1.9,1.5,32.9,18.86
PLY-8176,26,Midfielder,2177,0.7,0.18,94.0,5.3,2.9,31.8,47.69
PLY-8177,23,Forward,1977,0.53,0.18,73.4,5.2,4.4,31.2,53.88
PLY-8178,33,Midfielder,2039,0.74,0.07,82.7,6.8,1.3,29.6,16.29
PLY-8179,20,Defender,1361,0.45,0.35,92.2,4.6,4.7,33.9,44.41
PLY-8180,21,Winger,940,0.11,0.8,84.8,7.2,3.4,33.0,59.76
PLY-8181,20,Forward,982,0.85,0.04,81.9,4.8,0.2,32.4,43.9
PLY-8182,24,Midfielder,1603,0.03,0.02,86.1,7.7,3.2,31.7,36.03
PLY-8183,26,Winger,2156,0.65,0.26,76.3,6.4,0.9,30.3,59.15
PLY-8184,18,Forward,899,0.6,0.31,81.6,5.4,2.4,30.8,28.03
PLY-8185,25,Defender,738,0.01,0.2,79.9,5.7,5.8,33.8,33.47
PLY-8186,24,Midfielder,958,0.26,0.18,87.1,5.2,0.2,33.6,30.14
PLY-8187,35,Midfielder,1435,0.91,0.09,77.0,3.8,3.1,28.6,0.5
PLY-8188,25,Winger,2122,0.02,0.38,84.4,7.2,4.6,31.7,43.25
PLY-8189,18,Forward,2227,0.55,0.07,88.1,4.3,1.6,32.6,25.04
PLY-8190,28,Defender,2582,0.34,0.12,80.8,8.4,5.1,32.5,44.57
PLY-8191,35,Defender,1903,0.42,0.28,85.9,3.6,6.0,30.9,0.72
PLY-8192,27,Forward,3130,0.48,0.72,83.9,2.7,0.3,29.1,48.38
PLY-8193,20,Defender,1508,0.06,0.49,78.4,4.5,5.3,28.9,34.66
PLY-8194,24,Winger,1734,0.01,0.71,75.6,6.8,3.4,34.1,46.5
PLY-8195,33,Forward,2786,0.57,0.09,76.5,4.9,3.0,33.3,10.94
PLY-8196,33,Winger,1595,0.15,0.33,83.8,6.1,2.3,26.7,0.5
PLY-8197,34,Midfielder,3082,0.74,0.22,85.7,4.7,1.0,29.9,3.03
PLY-8198,19,Defender,3156,0.02,0.46,89.7,4.8,6.1,33.3,38.96
PLY-8199,18,Defender,2920,0.29,0.03,86.7,6.3,4.4,26.7,23.96
PLY-8200,33,Midfielder,2751,0.01,0.07,90.7,4.7,1.1,27.6,0.5
PLY-8201,29,Winger,1837,0.05,0.25,83.6,7.2,1.8,31.3,22.46
PLY-8202,22,Winger,2384,0.15,0.39,76.2,8.0,2.6,30.2,44.77
PLY-8203,22,Defender,764,0.15,0.07,84.0,6.2,2.5,32.0,31.44
PLY-8204,26,Defender,1598,0.29,0.07,82.4,2.5,4.4,34.7,25.36
PLY-8205,26,Defender,3167,0.6,0.01,75.2,2.0,3.9,29.6,36.44
PLY-8206,20,Midfielder,1907,0.25,0.08,93.3,7.9,3.8,31.6,42.13
PLY-8207,33,Defender,3164,0.77,0.36,88.6,5.9,2.2,29.2,18.61
PLY-8208,33,Midfielder,1256,0.53,0.05,79.1,4.1,3.3,30.3,0.5
PLY-8209,20,Midfielder,2811,0.22,0.21,82.2,4.5,3.9,31.5,28.73
PLY-8210,18,Defender,2509,0.45,0.18,78.7,3.7,2.2,37.0,36.55
PLY-8211,28,Midfielder,2646,0.26,0.36,89.7,4.9,0.2,34.8,42.31
PLY-8212,34,Forward,2711,0.37,0.03,85.0,2.6,4.3,26.5,0.5
PLY-8213,25,Forward,1740,0.69,0.68,82.3,6.2,1.1,29.5,67.38
PLY-8214,21,Midfielder,2489,0.02,0.16,87.6,4.9,5.9,29.8,30.88
PLY-8215,23,Defender,866,0.23,0.8,74.3,4.9,2.2,28.8,47.59
PLY-8216,25,Midfielder,2445,0.3,0.44,88.3,2.7,2.4,28.5,25.32
PLY-8217,20,Defender,2308,0.02,0.05,81.4,5.5,4.4,31.1,16.88
PLY-8218,33,Midfielder,2893,0.07,0.01,81.9,2.8,2.0,28.4,0.5
PLY-8219,20,Defender,3042,0.62,0.05,72.8,3.1,5.0,29.5,33.14
PLY-8220,35,Midfielder,2110,0.24,0.13,86.2,4.7,2.8,34.4,0.5
PLY-8221,31,Midfielder,1075,0.07,0.03,88.1,9.5,2.0,28.5,9.54
PLY-8222,35,Defender,1576,0.29,0.03,71.8,4.8,3.2,29.0,0.5
PLY-8223,19,Winger,1807,0.23,0.33,82.1,1.9,3.5,33.1,21.39
PLY-8224,20,Midfielder,1643,0.17,0.01,86.7,3.2,3.0,30.5,18.5
PLY-8225,33,Forward,2560,1.2,0.02,78.7,5.9,2.3,27.4,24.54
PLY-8226,26,Forward,1157,0.64,0.1,84.3,2.2,2.9,30.9,38.45
PLY-8227,21,Forward,1617,0.47,0.01,81.2,6.2,3.1,35.9,51.16
PLY-8228,18,Defender,2205,0.4,0.09,83.7,4.8,3.5,30.4,21.88
PLY-8229,21,Midfielder,1482,0.54,0.12,89.2,6.5,2.9,29.5,45.42
PLY-8230,18,Midfielder,2794,0.03,0.11,89.2,3.4,1.5,32.4,11.97
PLY-8231,31,Midfielder,1265,0.06,0.37,92.1,3.2,3.2,29.3,0.91
PLY-8232,33,Forward,2371,0.41,0.14,84.0,5.6,2.0,36.0,20.05
PLY-8233,25,Midfielder,1463,0.29,0.11,83.1,4.5,2.9,29.8,30.96
PLY-8234,24,Forward,1181,0.58,0.1,78.1,4.4,1.7,35.3,47.97
PLY-8235,20,Midfielder,1294,0.24,0.31,79.6,7.6,3.0,34.1,50.15
PLY-8236,34,Forward,1851,1.06,0.41,82.9,5.7,1.0,29.2,19.44
PLY-8237,18,Defender,2210,0.37,0.35,89.9,0.5,4.4,31.5,20.2
PLY-8238,33,Forward,1839,0.38,0.2,79.8,6.1,3.4,27.7,5.16
PLY-8239,29,Winger,3054,0.11,0.25,84.7,8.4,2.8,30.3,21.45
PLY-8240,31,Midfielder,998,0.14,0.06,81.5,6.9,2.4,29.1,11.7
PLY-8241,23,Defender,2546,0.13,0.01,83.2,2.6,6.6,31.8,21.9
PLY-8242,23,Defender,1314,0.28,0.48,89.6,5.1,5.6,28.4,39.17
PLY-8243,30,Defender,1303,0.56,0.19,86.1,4.7,5.4,32.2,39.78
PLY-8244,25,Defender,3146,0.09,0.25,72.6,2.6,5.2,31.2,32.51
PLY-8245,19,Midfielder,2314,0.2,0.07,89.4,6.4,3.1,32.4,34.53
PLY-8246,18,Midfielder,2572,0.39,0.34,89.7,4.0,4.2,32.7,26.56
PLY-8247,32,Midfielder,681,0.13,0.05,87.0,6.8,1.7,29.5,0.5
PLY-8248,18,Midfielder,1203,0.05,0.01,90.0,3.0,3.4,32.6,9.2
PLY-8249,22,Forward,2570,0.51,0.09,77.0,1.6,2.6,31.3,37.08
PLY-8250,33,Midfielder,2310,0.01,0.15,86.4,4.0,1.7,31.6,0.5
PLY-8251,21,Defender,2646,0.71,0.12,88.7,5.0,4.3,32.2,47.97
PLY-8252,20,Midfielder,1502,0.02,0.36,92.1,3.4,2.5,31.9,29.33
PLY-8253,34,Defender,964,0.14,0.02,85.3,0.5,3.4,29.8,0.5
PLY-8254,34,Defender,762,0.19,0.15,76.7,5.3,5.4,32.9,0.5
PLY-8255,29,Winger,3158,1.06,0.35,75.8,7.8,2.1,32.4,60.9
PLY-8256,31,Midfielder,2463,0.05,0.06,86.7,5.9,2.3,27.1,3.08
PLY-8257,23,Midfielder,715,0.03,0.31,87.1,3.7,3.8,30.5,32.95
PLY-8258,20,Midfielder,2984,0.01,0.25,85.4,3.6,2.4,31.0,13.99
PLY-8259,26,Midfielder,1480,0.04,0.24,81.2,7.4,4.1,31.5,48.94
PLY-8260,22,Defender,1439,0.06,0.38,84.6,1.3,3.8,31.9,22.04
PLY-8261,34,Forward,2794,0.6,0.23,82.7,4.0,0.9,27.9,0.5
PLY-8262,31,Defender,1946,0.06,0.05,83.7,4.8,4.1,29.9,5.8
PLY-8263,20,Midfielder,3090,0.01,0.22,89.6,5.7,0.2,30.8,8.6
PLY-8264,18,Defender,1636,0.44,0.07,80.4,4.8,5.5,33.9,37.05
PLY-8265,18,Defender,1542,0.11,0.05,79.1,2.7,3.2,29.3,4.95
PLY-8266,20,Midfielder,2324,0.11,0.01,92.6,6.8,1.5,31.5,15.53
PLY-8267,35,Midfielder,2934,0.09,0.25,81.5,4.5,3.1,28.5,0.5
PLY-8268,27,Midfielder,1737,0.93,0.22,83.2,1.2,2.3,35.6,54.81
PLY-8269,20,Forward,3127,0.4,0.05,89.4,4.9,1.7,34.3,41.07
PLY-8270,25,Midfielder,621,0.57,0.25,82.7,5.5,0.2,27.9,31.39
PLY-8271,31,Forward,2349,0.72,0.45,81.4,8.4,3.8,28.2,43.59
PLY-8272,35,Midfielder,1282,0.02,0.02,83.5,5.3,3.1,31.9,0.5
PLY-8273,32,Midfielder,2433,1.08,0.05,75.3,1.5,4.7,31.0,18.41
PLY-8274,19,Midfielder,2967,0.08,0.25,85.3,1.6,1.5,32.4,8.33
PLY-8275,27,Defender,725,0.03,0.06,75.9,7.0,2.7,31.9,31.75
PLY-8276,19,Forward,876,0.79,0.18,83.5,2.9,3.4,33.6,33.99
PLY-8277,34,Defender,2599,0.31,0.02,88.6,1.4,4.2,31.7,0.5
PLY-8278,25,Midfielder,1827,0.24,0.11,72.7,6.5,3.0,30.9,46.03
PLY-8279,18,Midfielder,2841,0.04,0.24,83.6,3.5,4.1,28.9,8.92
PLY-8280,26,Winger,1295,0.16,0.43,84.7,8.9,2.7,27.8,50.35
PLY-8281,28,Forward,1909,0.73,0.3,68.9,2.7,2.4,31.3,42.54
PLY-8282,33,Midfielder,656,0.09,0.38,94.0,7.4,2.5,26.0,9.96
PLY-8283,24,Midfielder,618,0.09,0.27,88.3,6.2,0.2,32.1,36.11
PLY-8284,27,Midfielder,2911,0.01,0.2,92.5,3.1,3.5,30.8,26.01
PLY-8285,20,Forward,712,0.4,0.01,78.6,1.2,3.6,35.8,27.3
PLY-8286,35,Forward,1141,0.87,0.14,79.3,9.1,2.8,30.8,16.71
PLY-8287,30,Winger,1178,0.15,0.23,81.0,6.6,0.4,31.4,22.45
PLY-8288,24,Midfielder,1688,1.04,0.3,95.0,3.0,2.1,27.9,57.96
PLY-8289,21,Midfielder,624,0.13,0.07,93.9,7.3,3.9,28.7,30.88
PLY-8290,30,Midfielder,2172,0.31,0.15,86.8,6.4,1.5,33.0,27.29
PLY-8291,18,Defender,2648,0.08,0.06,83.5,6.9,5.8,30.8,25.73
PLY-8292,25,Forward,2172,0.46,0.27,85.8,4.3,2.3,37.0,55.87
PLY-8293,31,Midfielder,740,0.05,0.39,95.0,8.3,3.1,29.8,16.72
PLY-8294,33,Midfielder,2367,0.11,0.09,88.3,1.9,1.7,30.4,0.5
PLY-8295,31,Winger,1247,0.2,0.58,82.3,5.9,2.3,27.1,19.31
PLY-8296,29,Midfielder,2835,1.2,0.06,84.0,5.3,2.7,33.6,56.21
PLY-8297,32,Midfielder,800,0.27,0.14,87.4,6.8,0.9,28.0,8.64
PLY-8298,19,Midfielder,856,0.06,0.35,82.5,5.8,2.5,32.7,30.08
PLY-8299,19,Defender,1146,0.01,0.07,85.0,4.3,1.2,33.3,24.6
PLY-8300,34,Midfielder,2841,0.03,0.55,77.4,3.5,1.5,30.2,0.5
PLY-8301,27,Midfielder,1401,0.21,0.02,84.4,6.8,2.9,35.4,46.76
PLY-8302,23,Defender,1541,0.36,0.01,86.4,6.0,5.7,30.2,46.06
PLY-8303,32,Defender,1013,0.71,0.42,84.2,2.8,5.0,33.7,41.78
PLY-8304,28,Midfielder,2614,0.01,0.01,83.2,2.7,0.5,28.7,0.5
PLY-8305,22,Winger,1981,0.18,0.8,80.6,5.9,3.4,33.3,53.64
PLY-8306,18,Midfielder,1698,0.16,0.54,92.2,3.2,0.8,31.2,12.22
PLY-8307,25,Midfielder,1509,0.27,0.03,78.7,6.6,2.9,29.9,36.1
PLY-8308,29,Forward,787,0.56,0.14,74.8,5.4,0.9,27.8,21.35
PLY-8309,29,Winger,2615,0.29,0.26,76.4,8.1,1.3,30.9,27.91
