node_id,account_age_days,daily_tx_volume_usd,is_fraud_ring_member
USR-509,1018,273.42,0
USR-510,787,67.12,0
USR-511,424,76.45,0
USR-512,206,9.1,0
USR-513,800,131.36,0
USR-514,629,8.91,0
USR-515,13,123.02,0
USR-516,701,43.39,0
USR-517,44,33.93,0
USR-518,359,203.61,0
USR-519,497,241.54,0
USR-520,655,113.19,0
USR-521,218,21.91,0
USR-522,967,49.94,0
USR-523,298,15.71,0
USR-524,517,235.44,0
USR-525,510,180.88,0
USR-526,926,308.11,0
USR-527,607,103.25,0
USR-528,164,143.86,0
USR-529,506,38.09,0
USR-530,515,8.46,0
USR-531,283,185.16,0
USR-532,895,32.29,0
USR-533,883,4.74,0
USR-534,540,209.49,0
USR-535,381,12.28,0
USR-536,626,174.9,0
USR-537,776,72.51,0
USR-538,1061,71.84,0
USR-539,805,162.7,0
USR-540,610,215.51,0
USR-541,1162,422.17,0
USR-542,13,32.79,0
USR-543,760,60.32,0
USR-544,278,32.27,0
USR-545,1074,121.01,0
USR-546,521,48.66,0
USR-547,292,363.08,0
USR-548,387,57.91,0
USR-549,1102,11.54,0
USR-550,1177,27.96,0
USR-551,158,72.01,0
USR-552,1005,60.1,0
USR-553,575,96.88,0
USR-554,947,129.35,0
USR-555,1086,206.05,0
USR-556,321,71.49,0
USR-557,644,253.15,0
USR-558,482,377.82,0
USR-559,915,18.0,0
USR-560,1028,24.85,0
USR-561,883,2.57,0
USR-562,973,83.3,0
USR-563,445,58.97,0
USR-564,121,189.38,0
USR-565,637,684.09,0
USR-566,506,101.98,0
USR-567,410,430.03,0
USR-568,580,172.8,0
USR-569,852,139.97,0
USR-570,38,510.83,0
USR-571,470,464.18,0
USR-572,983,269.54,0
USR-573,849,7.91,0
USR-574,210,52.62,0
USR-575,1130,55.48,0
USR-576,869,44.89,0
USR-577,28,126.98,0
USR-578,141,19.65,0
USR-579,1162,77.68,0
USR-580,261,57.17,0
USR-581,1198,263.88,0
USR-582,856,0.55,0
USR-583,589,258.71,0
USR-584,99,91.68,0
USR-585,663,26.0,0
USR-586,162,274.9,0
USR-587,542,205.58,0
USR-588,723,10.67,0
USR-589,341,200.62,0
USR-590,367,62.83,0
USR-591,600,329.78,0
USR-592,684,143.71,0
USR-593,185,50.05,0
USR-594,398,46.02,0
USR-595,530,142.95,0
USR-596,1071,501.74,0
USR-597,1177,187.41,0
USR-598,1035,16.14,0
USR-599,838,133.82,0
USR-600,723,245.28,0
USR-601,928,44.27,0
USR-602,1015,96.18,0
USR-603,1143,103.06,0
USR-604,284,6.41,0
USR-605,301,18.62,0
USR-606,293,640.59,0
USR-607,56,58.34,0
USR-608,1160,31.33,0
USR-609,324,90.67,0
USR-610,319,127.64,0
USR-611,1038,49.59,0
USR-612,527,454.84,0
USR-613,1108,101.65,0
USR-614,800,347.57,0
USR-615,743,284.59,0
USR-616,331,4.58,0
USR-617,160,10.07,0
USR-618,799,41.81,0
USR-619,543,45.15,0
USR-620,229,141.15,0
USR-621,886,10.65,0
USR-622,1128,163.97,0
USR-623,990,39.8,0
USR-624,386,17.64,0
USR-625,338,183.67,0
USR-626,83,171.64,0
USR-627,153,31.64,0
USR-628,610,291.24,0
USR-629,867,46.59,0
USR-630,87,15.03,0
USR-631,268,238.83,0
USR-632,275,240.21,0
USR-633,361,109.09,0
USR-634,433,28.42,0
USR-635,826,123.84,0
USR-636,760,48.08,0
USR-637,519,37.46,0
USR-638,712,68.09,0
USR-639,338,199.39,0
USR-640,478,19.76,0
USR-641,623,61.91,0
USR-642,519,162.14,0
USR-643,241,46.77,0
USR-644,463,139.22,0
USR-645,1123,79.73,0
USR-646,168,40.97,0
USR-647,6,39.42,0
USR-648,253,103.05,0
USR-649,174,369.77,0
USR-650,926,210.62,0
USR-651,472,25.35,0
USR-652,1119,19.81,0
USR-653,793,484.96,0
USR-654,613,386.15,0
USR-655,1040,19.2,0
USR-656,697,263.59,0
USR-657,508,125.1,0
USR-658,674,33.15,0
USR-659,403,54.39,0
USR-660,774,464.53,0
USR-661,1129,90.21,0
USR-662,824,50.28,0
USR-663,1056,141.11,0
USR-664,702,108.36,0
USR-665,957,396.8,0
USR-666,323,200.16,0
USR-667,527,322.86,0
USR-668,1144,426.1,0
USR-669,360,289.17,0
USR-670,127,32.16,0
USR-671,205,117.05,0
USR-672,960,45.52,0
USR-673,241,8.08,0
USR-674,1101,211.67,0
USR-675,965,487.59,0
USR-676,564,32.31,0
USR-677,866,28.36,0
USR-678,14,185.89,0
USR-679,430,44.31,0
USR-680,385,61.73,0
USR-681,627,630.49,0
USR-682,746,77.0,0
USR-683,996,50.63,0
USR-684,417,373.42,0
USR-685,512,219.86,0
USR-686,509,384.71,0
USR-687,388,178.19,0
USR-688,54,28.27,0
USR-689,630,269.12,0
USR-690,149,36.57,0
USR-691,1016,147.18,0
USR-692,808,17.84,0
USR-693,269,610.28,0
USR-694,880,3.1,0
USR-695,290,4.72,0
USR-696,780,6.44,0
USR-697,768,13.6,0
USR-698,1056,50.75,0
USR-699,1108,36.94,0
USR-700,508,21.16,0
USR-701,987,205.91,0
USR-702,1125,183.38,0
USR-703,22,307.31,0
USR-704,1104,133.82,0
USR-705,333,58.89,0
USR-706,167,413.53,0
USR-707,575,16.75,0
USR-708,432,349.5,0
USR-709,477,66.69,0
USR-710,147,33.12,0
USR-711,693,27.11,0
USR-712,154,48.3,0
USR-713,988,45.84,0
USR-714,528,209.42,0
USR-715,1049,62.24,0
USR-716,616,72.78,0
USR-717,1179,170.72,0
USR-718,434,134.31,0
USR-719,1115,83.7,0
USR-720,207,243.82,0
USR-721,704,65.52,0
USR-722,1000,171.47,0
USR-723,102,81.03,0
USR-724,703,137.97,0
USR-725,609,23.6,0
USR-726,927,112.0,0
USR-727,183,25.38,0
USR-728,511,57.49,0
USR-729,437,339.1,0
USR-730,1041,113.87,0
USR-731,441,748.39,0
USR-732,518,218.21,0
USR-733,404,33.13,0
USR-734,900,9.22,0
USR-735,459,38.32,0
USR-736,90,124.16,0
USR-737,294,341.3,0
USR-738,678,89.52,0
USR-739,917,113.13,0
USR-740,360,77.52,0
USR-741,616,52.54,0
USR-742,518,11.0,0
USR-743,938,346.21,0
USR-744,666,0.35,0
USR-745,1111,57.64,0
USR-746,555,295.58,0
USR-747,854,1.84,0
USR-748,925,3.06,0
USR-749,279,102.49,0
USR-750,1183,158.28,0
USR-751,227,120.84,0
USR-752,687,64.82,0
USR-753,192,94.84,0
USR-754,1096,157.32,0
USR-755,260,11.05,0
USR-756,868,13.83,0
USR-757,40,14.2,0
USR-758,415,199.57,0
USR-759,230,175.99,0
USR-760,89,228.81,0
USR-761,812,727.37,0
USR-762,303,397.56,0
USR-763,333,273.15,0
USR-764,808,19.41,0
USR-765,808,35.27,0
USR-766,1156,23.0,0
USR-767,7,39.08,0
USR-768,542,225.38,0
USR-769,998,185.14,0
USR-770,1002,48.0,0
USR-771,609,182.04,0
USR-772,194,73.66,0
USR-773,250,174.8,0
USR-774,279,101.93,0
USR-775,443,92.33,0
USR-776,141,187.41,0
USR-777,988,88.98,0
USR-778,702,242.6,0
USR-779,493,220.69,0
USR-780,1089,9.12,0
USR-781,1037,84.26,0
USR-782,612,38.68,0
USR-783,802,45.41,0
USR-784,831,205.99,0
USR-785,250,10.84,0
USR-786,458,469.71,0
USR-787,125,107.78,0
USR-788,359,126.29,0
USR-789,953,64.37,0
USR-790,1184,394.87,0
USR-791,80,30.41,0
USR-792,580,117.5,0
USR-793,178,361.34,0
USR-794,526,218.02,0
USR-795,621,24.09,0
USR-796,544,15.95,0
USR-797,992,144.45,0
USR-798,763,14.53,0
USR-799,74,298.7,0
