source_node,target_node,relation_type
USR-462,USR-482,shared_phone
USR-462,USR-458,shared_phone
USR-463,USR-478,shared_phone
USR-463,USR-475,shared_phone
USR-463,USR-484,shared_phone
USR-463,USR-474,shared_phone
USR-463,USR-473,shared_phone
USR-464,USR-456,shared_phone
USR-464,USR-469,shared_phone
USR-464,USR-450,shared_phone
USR-464,USR-457,shared_phone
USR-464,USR-465,shared_phone
USR-464,USR-463,shared_phone
USR-464,USR-461,shared_phone
USR-465,USR-472,shared_phone
USR-465,USR-464,shared_phone
USR-465,USR-477,shared_phone
USR-465,USR-483,shared_phone
USR-465,USR-451,shared_phone
USR-466,USR-474,shared_phone
USR-466,USR-471,shared_phone
USR-466,USR-455,shared_phone
USR-466,USR-464,shared_phone
USR-467,USR-482,shared_phone
USR-467,USR-457,shared_phone
USR-467,USR-454,shared_phone
USR-467,USR-453,shared_phone
USR-467,USR-455,shared_phone
USR-468,USR-481,shared_phone
USR-468,USR-479,shared_phone
USR-468,USR-484,shared_phone
USR-468,USR-465,shared_phone
USR-468,USR-462,shared_phone
USR-469,USR-468,shared_phone
USR-469,USR-477,shared_phone
USR-469,USR-475,shared_phone
USR-470,USR-475,shared_phone
USR-470,USR-472,shared_phone
USR-470,USR-458,shared_phone
USR-470,USR-461,shared_phone
USR-470,USR-450,shared_phone
USR-470,USR-483,shared_phone
USR-471,USR-450,shared_phone
USR-471,USR-465,shared_phone
USR-471,USR-454,shared_phone
USR-472,USR-452,shared_phone
USR-472,USR-461,shared_phone
USR-472,USR-475,shared_phone
USR-472,USR-465,shared_phone
USR-472,USR-471,shared_phone
USR-472,USR-478,shared_phone
USR-472,USR-463,shared_phone
USR-473,USR-454,shared_phone
USR-473,USR-479,shared_phone
USR-473,USR-461,shared_phone
USR-473,USR-465,shared_phone
USR-473,USR-475,shared_phone
USR-474,USR-470,shared_phone
USR-474,USR-482,shared_phone
USR-474,USR-479,shared_phone
USR-474,USR-472,shared_phone
USR-475,USR-459,shared_phone
USR-475,USR-454,shared_phone
USR-475,USR-483,shared_phone
USR-475,USR-480,shared_phone
USR-476,USR-468,shared_phone
USR-476,USR-481,shared_phone
USR-476,USR-450,shared_phone
USR-476,USR-454,shared_phone
USR-477,USR-453,shared_phone
USR-477,USR-465,shared_phone
USR-477,USR-473,shared_phone
USR-477,USR-451,shared_phone
USR-477,USR-481,shared_phone
USR-478,USR-469,shared_phone
USR-478,USR-473,shared_phone
USR-478,USR-461,shared_phone
USR-478,USR-484,shared_phone
USR-478,USR-482,shared_phone
USR-479,USR-461,shared_phone
USR-479,USR-452,shared_phone
USR-479,USR-450,shared_phone
USR-480,USR-459,shared_phone
USR-480,USR-478,shared_phone
USR-480,USR-462,shared_phone
USR-481,USR-480,shared_phone
USR-481,USR-451,shared_phone
USR-481,USR-484,shared_phone
USR-481,USR-472,shared_phone
USR-481,USR-466,shared_phone
USR-481,USR-475,shared_phone
USR-482,USR-475,shared_phone
USR-482,USR-459,shared_phone
USR-482,USR-483,shared_phone
USR-482,USR-456,shared_phone
USR-482,USR-453,shared_phone
USR-482,USR-460,shared_phone
USR-483,USR-474,shared_phone
USR-483,USR-470,shared_phone
USR-483,USR-459,shared_phone
USR-483,USR-458,shared_phone
USR-483,USR-473,shared_phone
USR-483,USR-484,shared_phone
USR-484,USR-467,shared_phone
USR-484,USR-481,shared_phone
USR-484,USR-473,shared_phone
USR-484,USR-472,shared_phone
USR-484,USR-461,shared_phone
USR-699,USR-602,transaction
USR-282,USR-367,transaction
USR-178,USR-679,transaction
USR-197,USR-242,transaction
USR-593,USR-30,transaction
USR-671,USR-698,transaction
USR-666,USR-462,transaction
USR-3,USR-690,transaction
USR-59,USR-82,transaction
USR-317,USR-256,transaction
USR-495,USR-244,transaction
USR-211,USR-246,transaction
USR-220,USR-345,transaction
USR-599,USR-476,transaction
USR-390,USR-778,transaction
USR-63,USR-280,transaction
USR-624,USR-448,transaction
USR-137,USR-74,transaction
USR-727,USR-24,transaction
USR-572,USR-5,transaction
USR-207,USR-103,transaction
USR-217,USR-459,transaction
USR-583,USR-280,transaction
USR-618,USR-562,transaction
USR-638,USR-112,transaction
USR-311,USR-393,transaction
USR-469,USR-664,transaction
USR-312,USR-745,transaction
USR-501,USR-375,transaction
USR-150,USR-792,transaction
USR-389,USR-520,transaction
USR-645,USR-754,transaction
USR-613,USR-648,transaction
USR-741,USR-777,transaction
USR-779,USR-193,transaction
USR-273,USR-346,transaction
USR-784,USR-384,transaction
USR-532,USR-44,transaction
USR-99,USR-6,transaction
USR-334,USR-428,transaction
USR-592,USR-291,transaction
USR-636,USR-351,transaction
USR-274,USR-785,transaction
USR-160,USR-385,transaction
USR-192,USR-746,transaction
USR-126,USR-130,transaction
USR-794,USR-271,transaction
USR-248,USR-365,transaction
USR-454,USR-437,transaction
USR-232,USR-373,transaction
USR-535,USR-139,transaction
USR-293,USR-706,transaction
USR-594,USR-88,transaction
USR-417,USR-276,transaction
USR-561,USR-746,transaction
USR-755,USR-113,transaction
USR-464,USR-132,transaction
USR-732,USR-6,transaction
USR-56,USR-68,transaction
USR-605,USR-160,transaction
USR-198,USR-473,transaction
USR-796,USR-596,transaction
USR-426,USR-706,transaction
USR-581,USR-611,transaction
USR-781,USR-197,transaction
USR-692,USR-560,transaction
USR-589,USR-369,transaction
USR-426,USR-111,transaction
USR-514,USR-537,transaction
USR-780,USR-470,transaction
USR-146,USR-775,transaction
USR-434,USR-41,transaction
USR-64,USR-788,transaction
USR-418,USR-318,transaction
USR-732,USR-511,transaction
USR-440,USR-374,transaction
USR-318,USR-147,transaction
USR-739,USR-251,transaction
USR-163,USR-269,transaction
USR-436,USR-59,transaction
USR-616,USR-485,transaction
USR-645,USR-460,transaction
USR-759,USR-276,transaction
USR-224,USR-437,transaction
USR-742,USR-609,transaction
USR-680,USR-12,transaction
USR-62,USR-263,transaction
USR-256,USR-744,transaction
USR-540,USR-500,transaction
USR-87,USR-506,transaction
USR-727,USR-379,transaction
USR-553,USR-225,transaction
USR-173,USR-74,transaction
USR-34,USR-625,transaction
USR-254,USR-526,transaction
USR-164,USR-661,transaction
USR-683,USR-464,transaction
USR-248,USR-462,transaction
USR-217,USR-171,transaction
USR-702,USR-93,transaction
USR-230,USR-117,transaction
USR-598,USR-302,transaction
USR-434,USR-417,transaction
USR-350,USR-238,transaction
USR-200,USR-70,transaction
USR-706,USR-141,transaction
USR-198,USR-421,transaction
USR-437,USR-781,transaction
USR-253,USR-758,transaction
USR-486,USR-213,transaction
USR-723,USR-271,transaction
USR-695,USR-68,transaction
USR-404,USR-615,transaction
USR-315,USR-172,transaction
USR-195,USR-589,transaction
USR-651,USR-759,transaction
USR-408,USR-693,transaction
USR-544,USR-585,transaction
USR-377,USR-191,transaction
USR-511,USR-394,transaction
USR-92,USR-747,transaction
USR-370,USR-301,transaction
USR-145,USR-700,transaction
USR-637,USR-758,transaction
USR-320,USR-282,transaction
USR-142,USR-115,transaction
USR-242,USR-281,transaction
USR-562,USR-637,transaction
USR-235,USR-535,transaction
USR-15,USR-18,transaction
USR-58,USR-535,transaction
USR-265,USR-198,transaction
USR-502,USR-646,transaction
USR-121,USR-772,transaction
USR-720,USR-270,transaction
USR-760,USR-514,transaction
USR-571,USR-2,transaction
USR-445,USR-483,transaction
USR-497,USR-72,transaction
USR-12,USR-433,transaction
USR-298,USR-710,transaction
USR-318,USR-111,transaction
USR-338,USR-751,transaction
USR-623,USR-606,transaction
USR-270,USR-639,transaction
USR-686,USR-746,transaction
USR-526,USR-488,transaction
USR-291,USR-238,transaction
USR-541,USR-45,transaction
USR-615,USR-93,transaction
USR-510,USR-75,transaction
USR-194,USR-626,transaction
USR-543,USR-40,transaction
USR-778,USR-128,transaction
USR-504,USR-244,transaction
USR-14,USR-772,transaction
USR-320,USR-635,transaction
USR-647,USR-288,transaction
USR-12,USR-11,transaction
USR-650,USR-459,transaction
USR-189,USR-584,transaction
USR-780,USR-774,transaction
USR-212,USR-305,transaction
USR-26,USR-702,transaction
USR-395,USR-724,transaction
USR-484,USR-197,transaction
USR-365,USR-793,transaction
USR-221,USR-231,transaction
USR-693,USR-768,transaction
USR-206,USR-698,transaction
USR-73,USR-275,transaction
USR-349,USR-221,transaction
USR-61,USR-94,transaction
USR-385,USR-634,transaction
USR-72,USR-303,transaction
USR-261,USR-456,transaction
USR-178,USR-777,transaction
USR-633,USR-135,transaction
USR-133,USR-434,transaction
USR-248,USR-629,transaction
USR-505,USR-58,transaction
USR-43,USR-425,transaction
USR-700,USR-618,transaction
USR-136,USR-137,transaction
USR-366,USR-316,transaction
USR-248,USR-603,transaction
USR-242,USR-290,transaction
USR-176,USR-758,transaction
USR-372,USR-716,transaction
USR-739,USR-95,transaction
USR-605,USR-449,transaction
USR-136,USR-111,transaction
USR-253,USR-787,transaction
USR-253,USR-514,transaction
USR-539,USR-413,transaction
USR-271,USR-68,transaction
USR-270,USR-255,transaction
USR-427,USR-588,transaction
USR-550,USR-354,transaction
USR-745,USR-728,transaction
USR-2,USR-595,transaction
USR-264,USR-247,transaction
USR-633,USR-440,transaction
USR-327,USR-262,transaction
USR-593,USR-735,transaction
USR-340,USR-708,transaction
USR-86,USR-291,transaction
USR-563,USR-348,transaction
USR-576,USR-588,transaction
USR-530,USR-309,transaction
USR-30,USR-655,transaction
USR-639,USR-676,transaction
USR-384,USR-720,transaction
USR-707,USR-22,transaction
USR-748,USR-21,transaction
USR-201,USR-732,transaction
USR-407,USR-349,transaction
USR-496,USR-147,transaction
USR-338,USR-89,transaction
USR-476,USR-185,transaction
USR-790,USR-720,transaction
USR-38,USR-227,transaction
USR-63,USR-43,transaction
USR-721,USR-453,transaction
USR-37,USR-76,transaction
USR-454,USR-408,transaction
USR-110,USR-437,transaction
USR-206,USR-369,transaction
USR-268,USR-61,transaction
USR-796,USR-20,transaction
USR-292,USR-593,transaction
USR-389,USR-457,transaction
USR-652,USR-454,transaction
USR-336,USR-314,transaction
USR-420,USR-257,transaction
USR-782,USR-515,transaction
USR-425,USR-534,transaction
USR-352,USR-95,transaction
USR-66,USR-593,transaction
USR-563,USR-24,transaction
USR-280,USR-598,transaction
USR-57,USR-504,transaction
USR-185,USR-542,transaction
USR-107,USR-644,transaction
USR-392,USR-750,transaction
USR-731,USR-87,transaction
USR-501,USR-600,transaction
USR-742,USR-68,transaction
USR-651,USR-688,transaction
USR-85,USR-129,transaction
USR-518,USR-753,transaction
USR-240,USR-207,transaction
USR-500,USR-552,transaction
USR-629,USR-620,transaction
USR-147,USR-380,transaction
USR-783,USR-111,transaction
USR-607,USR-691,transaction
USR-638,USR-797,transaction
USR-701,USR-764,transaction
USR-568,USR-505,transaction
USR-246,USR-733,transaction
USR-480,USR-548,transaction
USR-5,USR-704,transaction
USR-93,USR-160,transaction
USR-658,USR-592,transaction
USR-357,USR-74,transaction
USR-23,USR-94,transaction
USR-147,USR-527,transaction
USR-721,USR-68,transaction
USR-680,USR-332,transaction
USR-251,USR-262,transaction
USR-765,USR-726,transaction
USR-716,USR-90,transaction
USR-564,USR-669,transaction
USR-675,USR-310,transaction
USR-37,USR-265,transaction
USR-140,USR-483,transaction
USR-412,USR-736,transaction
USR-254,USR-482,transaction
USR-319,USR-171,transaction
USR-198,USR-433,transaction
USR-481,USR-207,transaction
USR-573,USR-168,transaction
USR-439,USR-437,transaction
USR-229,USR-269,transaction
USR-682,USR-312,transaction
USR-756,USR-212,transaction
USR-243,USR-308,transaction
USR-692,USR-36,transaction
USR-122,USR-504,transaction
USR-486,USR-497,transaction
USR-373,USR-332,transaction
USR-318,USR-580,transaction
USR-319,USR-575,transaction
USR-96,USR-547,transaction
USR-590,USR-141,transaction
USR-343,USR-366,transaction
USR-613,USR-34,transaction
USR-391,USR-602,transaction
USR-676,USR-670,transaction
USR-164,USR-181,transaction
USR-14,USR-697,transaction
USR-678,USR-558,transaction
USR-64,USR-380,transaction
USR-761,USR-119,transaction
USR-621,USR-744,transaction
USR-220,USR-289,transaction
USR-648,USR-508,transaction
USR-670,USR-273,transaction
USR-45,USR-792,transaction
USR-94,USR-416,transaction
USR-392,USR-654,transaction
USR-766,USR-212,transaction
USR-648,USR-559,transaction
USR-634,USR-318,transaction
USR-354,USR-655,transaction
USR-194,USR-155,transaction
USR-379,USR-272,transaction
USR-63,USR-699,transaction
USR-53,USR-700,transaction
USR-436,USR-39,transaction
USR-588,USR-314,transaction
USR-104,USR-470,transaction
USR-679,USR-182,transaction
USR-234,USR-319,transaction
USR-771,USR-184,transaction
USR-767,USR-3,transaction
USR-763,USR-52,transaction
USR-484,USR-58,transaction
USR-581,USR-156,transaction
USR-498,USR-245,transaction
USR-406,USR-250,transaction
USR-380,USR-276,transaction
USR-334,USR-99,transaction
USR-446,USR-395,transaction
USR-674,USR-296,transaction
USR-531,USR-149,transaction
USR-123,USR-253,transaction
USR-302,USR-194,transaction
USR-460,USR-426,transaction
USR-662,USR-637,transaction
USR-258,USR-508,transaction
USR-623,USR-739,transaction
USR-217,USR-667,transaction
USR-603,USR-596,transaction
USR-603,USR-611,transaction
USR-390,USR-148,transaction
USR-463,USR-449,transaction
USR-624,USR-285,transaction
USR-249,USR-373,transaction
USR-538,USR-322,transaction
USR-271,USR-547,transaction
USR-678,USR-667,transaction
USR-52,USR-128,transaction
USR-739,USR-680,transaction
USR-466,USR-101,transaction
USR-437,USR-216,transaction
USR-571,USR-336,transaction
USR-117,USR-127,transaction
USR-269,USR-17,transaction
USR-265,USR-150,transaction
USR-62,USR-772,transaction
USR-132,USR-297,transaction
USR-193,USR-632,transaction
USR-393,USR-740,transaction
USR-623,USR-0,transaction
USR-277,USR-188,transaction
USR-797,USR-415,transaction
USR-484,USR-779,transaction
USR-499,USR-658,transaction
USR-276,USR-180,transaction
USR-229,USR-425,transaction
USR-798,USR-552,transaction
USR-330,USR-689,transaction
USR-636,USR-282,transaction
USR-659,USR-795,transaction
USR-250,USR-147,transaction
USR-134,USR-731,transaction
USR-90,USR-154,transaction
USR-618,USR-189,transaction
USR-690,USR-52,transaction
USR-492,USR-31,transaction
USR-45,USR-648,transaction
USR-38,USR-698,transaction
USR-652,USR-228,transaction
USR-578,USR-538,transaction
USR-186,USR-88,transaction
USR-161,USR-479,transaction
USR-226,USR-331,transaction
USR-164,USR-720,transaction
USR-584,USR-410,transaction
USR-281,USR-317,transaction
USR-21,USR-370,transaction
USR-684,USR-248,transaction
USR-476,USR-582,transaction
USR-3,USR-419,transaction
USR-249,USR-165,transaction
USR-62,USR-165,transaction
USR-643,USR-212,transaction
USR-7,USR-373,transaction
USR-629,USR-517,transaction
USR-163,USR-382,transaction
USR-361,USR-105,transaction
USR-347,USR-677,transaction
USR-338,USR-770,transaction
USR-162,USR-653,transaction
USR-243,USR-354,transaction
USR-12,USR-108,transaction
USR-177,USR-282,transaction
USR-333,USR-658,transaction
USR-705,USR-332,transaction
USR-270,USR-444,transaction
USR-593,USR-244,transaction
USR-639,USR-514,transaction
USR-160,USR-314,transaction
USR-52,USR-23,transaction
USR-497,USR-329,transaction
USR-368,USR-250,transaction
USR-263,USR-277,transaction
USR-699,USR-335,transaction
USR-349,USR-559,transaction
USR-556,USR-517,transaction
USR-713,USR-316,transaction
USR-336,USR-755,transaction
USR-703,USR-258,transaction
USR-214,USR-178,transaction
USR-43,USR-420,transaction
USR-201,USR-447,transaction
USR-428,USR-157,transaction
USR-107,USR-759,transaction
USR-622,USR-330,transaction
USR-318,USR-635,transaction
USR-417,USR-305,transaction
USR-532,USR-565,transaction
USR-204,USR-535,transaction
USR-6,USR-95,transaction
USR-724,USR-666,transaction
USR-497,USR-43,transaction
USR-528,USR-302,transaction
USR-430,USR-643,transaction
USR-582,USR-140,transaction
USR-85,USR-475,transaction
USR-219,USR-490,transaction
USR-81,USR-302,transaction
USR-649,USR-670,transaction
USR-102,USR-543,transaction
USR-553,USR-510,transaction
USR-151,USR-598,transaction
USR-268,USR-717,transaction
USR-699,USR-435,transaction
USR-202,USR-661,transaction
USR-766,USR-466,transaction
USR-157,USR-329,transaction
USR-739,USR-413,transaction
USR-205,USR-243,transaction
USR-671,USR-491,transaction
USR-52,USR-111,transaction
USR-629,USR-131,transaction
USR-760,USR-249,transaction
USR-658,USR-536,transaction
USR-322,USR-162,transaction
USR-59,USR-62,transaction
USR-271,USR-102,transaction
USR-680,USR-280,transaction
USR-704,USR-475,transaction
USR-1,USR-522,transaction
USR-83,USR-89,transaction
USR-90,USR-624,transaction
USR-398,USR-41,transaction
USR-458,USR-198,transaction
USR-61,USR-560,transaction
USR-51,USR-613,transaction
USR-115,USR-176,transaction
USR-758,USR-117,transaction
USR-368,USR-159,transaction
USR-261,USR-728,transaction
USR-660,USR-706,transaction
USR-787,USR-91,transaction
USR-620,USR-458,transaction
USR-386,USR-630,transaction
USR-3,USR-785,transaction
USR-549,USR-776,transaction
USR-251,USR-115,transaction
USR-255,USR-420,transaction
USR-52,USR-552,transaction
USR-555,USR-606,transaction
USR-763,USR-220,transaction
USR-503,USR-457,transaction
USR-60,USR-149,transaction
USR-449,USR-176,transaction
USR-0,USR-492,transaction
USR-160,USR-34,transaction
USR-344,USR-330,transaction
USR-772,USR-142,transaction
USR-37,USR-364,transaction
USR-727,USR-692,transaction
USR-771,USR-612,transaction
USR-181,USR-40,transaction
USR-438,USR-320,transaction
USR-715,USR-440,transaction
USR-369,USR-209,transaction
USR-156,USR-246,transaction
USR-469,USR-422,transaction
USR-748,USR-229,transaction
USR-250,USR-14,transaction
USR-197,USR-145,transaction
USR-222,USR-307,transaction
USR-708,USR-516,transaction
USR-421,USR-12,transaction
USR-531,USR-585,transaction
USR-633,USR-33,transaction
USR-369,USR-295,transaction
USR-359,USR-561,transaction
USR-789,USR-700,transaction
USR-5,USR-258,transaction
USR-429,USR-675,transaction
USR-163,USR-657,transaction
USR-368,USR-548,transaction
USR-481,USR-681,transaction
USR-275,USR-319,transaction
USR-581,USR-778,transaction
USR-305,USR-748,transaction
USR-276,USR-138,transaction
USR-316,USR-724,transaction
USR-56,USR-76,transaction
USR-613,USR-190,transaction
USR-263,USR-674,transaction
USR-777,USR-427,transaction
USR-247,USR-568,transaction
USR-297,USR-494,transaction
USR-614,USR-215,transaction
USR-510,USR-667,transaction
USR-661,USR-457,transaction
USR-720,USR-610,transaction
USR-314,USR-401,transaction
USR-468,USR-267,transaction
USR-459,USR-584,transaction
USR-23,USR-274,transaction
USR-190,USR-506,transaction
USR-353,USR-658,transaction
USR-648,USR-712,transaction
USR-151,USR-584,transaction
USR-234,USR-623,transaction
USR-71,USR-504,transaction
USR-496,USR-649,transaction
USR-762,USR-667,transaction
USR-388,USR-799,transaction
USR-31,USR-282,transaction
USR-203,USR-54,transaction
USR-491,USR-24,transaction
USR-118,USR-315,transaction
USR-673,USR-413,transaction
USR-431,USR-66,transaction
USR-188,USR-736,transaction
USR-692,USR-565,transaction
USR-268,USR-290,transaction
USR-485,USR-245,transaction
USR-121,USR-714,transaction
USR-515,USR-538,transaction
USR-26,USR-133,transaction
USR-5,USR-382,transaction
USR-320,USR-250,transaction
USR-705,USR-141,transaction
USR-466,USR-343,transaction
USR-236,USR-128,transaction
USR-306,USR-726,transaction
USR-349,USR-195,transaction
USR-471,USR-403,transaction
USR-578,USR-642,transaction
USR-718,USR-488,transaction
USR-508,USR-160,transaction
USR-119,USR-90,transaction
USR-127,USR-794,transaction
USR-75,USR-511,transaction
USR-298,USR-757,transaction
USR-397,USR-796,transaction
USR-5,USR-416,transaction
USR-5,USR-377,transaction
USR-222,USR-585,transaction
USR-231,USR-657,transaction
USR-435,USR-125,transaction
USR-329,USR-165,transaction
USR-448,USR-450,transaction
USR-118,USR-141,transaction
USR-652,USR-580,transaction
USR-191,USR-798,transaction
USR-309,USR-647,transaction
USR-275,USR-519,transaction
USR-566,USR-2,transaction
USR-715,USR-415,transaction
USR-155,USR-134,transaction
USR-544,USR-477,transaction
USR-168,USR-329,transaction
USR-77,USR-179,transaction
USR-496,USR-693,transaction
USR-157,USR-111,transaction
USR-448,USR-99,transaction
USR-318,USR-703,transaction
USR-579,USR-512,transaction
USR-532,USR-516,transaction
USR-750,USR-622,transaction
USR-375,USR-580,transaction
