property_id,square_footage,bedrooms,bathrooms,year_built,distance_to_transit_km,school_rating,visual_aesthetic_score,interior_modernity_index,valuation_usd
PROP-10082,3060,4,4,2020,1.12,6,6.15,0.35,1355100
PROP-10083,1763,2,1,1984,9.05,2,8.81,0.57,745400
PROP-10084,1574,2,2,1964,1.53,5,9.36,0.35,815600
PROP-10085,1773,2,1,2016,3.79,7,4.02,0.29,835900
PROP-10086,2695,4,3,1979,20.0,3,1.6,0.18,882500
PROP-10087,2313,4,3,1992,1.07,8,4.79,0.24,1030100
PROP-10088,1755,3,3,2009,3.0,9,4.55,0.79,910000
PROP-10089,2433,5,4,1989,4.17,2,9.88,0.75,1162800
PROP-10090,2163,4,3,2014,0.63,5,4.88,0.14,944300
PROP-10091,2729,5,4,1978,0.56,5,3.75,0.28,1106500
PROP-10092,1643,3,2,2023,2.13,6,4.29,0.6,807100
PROP-10093,1887,2,2,1968,1.71,5,4.57,0.39,777500
PROP-10094,1845,4,3,1952,4.38,10,8.39,0.84,1019500
PROP-10095,1148,2,1,1985,0.25,8,1.73,0.81,590400
PROP-10096,2292,4,3,1992,12.54,3,3.85,0.9,918500
PROP-10097,2269,3,2,1964,0.2,2,9.7,0.61,969400
PROP-10098,2103,3,2,1990,3.22,10,2.38,0.42,952100
PROP-10099,1947,4,3,1985,2.89,2,7.68,0.65,919000
PROP-10100,1180,2,1,1982,0.51,7,4.21,0.18,648600
PROP-10101,1826,3,2,1954,0.57,3,6.24,0.11,765100
PROP-10102,1877,3,3,1963,5.51,5,1.9,0.12,743600
PROP-10103,1578,3,3,2017,7.65,7,3.76,0.47,819800
PROP-10104,1995,3,2,1996,1.16,6,5.51,0.31,926500
PROP-10105,2362,5,4,2003,2.02,7,3.09,0.24,1096300
PROP-10106,3326,5,4,1953,1.53,4,5.88,0.65,1255800
PROP-10107,2213,4,4,1958,0.26,6,2.98,1.0,969000
PROP-10108,2267,4,3,2002,3.91,3,6.85,0.26,989500
PROP-10109,2051,4,3,2009,6.1,8,9.14,0.59,1085600
PROP-10110,852,1,1,1995,1.27,4,1.77,0.21,449100
PROP-10111,2082,3,2,2003,16.18,2,2.95,0.94,760300
PROP-10112,2139,4,4,2023,0.28,9,8.6,0.36,1203200
PROP-10113,3701,6,4,1986,3.79,9,6.68,0.89,1540400
PROP-10114,1974,4,4,1972,2.08,4,1.71,0.35,836000
PROP-10115,2296,4,3,1976,2.07,8,5.38,0.83,1064700
PROP-10116,2077,3,2,2019,2.14,10,2.89,0.29,963100
PROP-10117,1340,2,1,2015,1.05,9,2.79,0.36,671200
PROP-10118,2842,3,2,2010,4.4,4,9.47,0.27,1205400
PROP-10119,2588,4,3,2000,4.48,3,7.85,0.34,1095000
PROP-10120,2614,6,4,1999,1.16,8,7.27,0.85,1327900
PROP-10121,1508,3,2,1968,6.31,8,3.15,0.68,719900
PROP-10122,3011,5,4,1950,1.33,10,2.07,0.47,1200000
PROP-10123,1188,2,2,1989,4.52,6,8.84,0.97,744900
PROP-10124,2481,4,3,1981,0.45,5,1.05,0.52,924500
PROP-10125,3523,6,4,1971,0.65,9,4.49,0.97,1502200
PROP-10126,1456,2,1,2015,1.33,5,3.5,0.28,713700
PROP-10127,1731,4,4,1989,3.15,5,6.13,0.91,905700
PROP-10128,2164,4,3,1987,3.63,3,3.25,0.11,915400
PROP-10129,1772,3,3,1997,1.77,2,3.8,0.59,773000
PROP-10130,1092,2,1,2004,0.28,5,8.65,0.48,731900
PROP-10131,2144,4,3,2004,1.64,8,6.43,0.57,1085900
PROP-10132,1409,3,3,2000,4.09,10,2.31,0.6,759200
PROP-10133,2407,4,4,2009,3.89,10,7.54,0.45,1225000
PROP-10134,1502,2,1,1957,0.61,2,2.87,1.0,601400
PROP-10135,3107,5,4,2017,0.2,6,4.9,0.98,1313600
PROP-10136,1590,3,2,2021,4.89,8,6.82,0.97,919900
PROP-10137,1890,4,3,1958,0.39,8,3.45,0.98,926500
PROP-10138,2628,4,3,1951,0.3,7,4.46,0.81,1077900
PROP-10139,1299,1,1,2019,0.2,5,7.61,0.99,758500
PROP-10140,2247,4,3,2008,1.98,4,9.44,0.9,1091200
PROP-10141,2949,5,4,1968,2.45,10,5.76,0.47,1290600
PROP-10142,1055,2,2,1977,3.55,5,1.09,0.81,492300
PROP-10143,2220,4,3,2021,1.23,9,4.05,0.92,1131300
PROP-10144,2268,4,2,1963,4.34,2,4.59,0.74,870600
PROP-10145,2608,5,3,1973,0.65,8,4.05,0.48,1109500
PROP-10146,1295,1,1,1993,6.24,7,4.93,0.16,636300
PROP-10147,1241,2,1,2005,2.97,2,6.69,0.83,607300
PROP-10148,2439,4,3,2000,3.07,5,2.09,0.96,943500
PROP-10149,2293,3,2,1981,0.82,6,3.45,0.43,904100
PROP-10150,2262,4,3,1999,0.27,9,5.57,0.24,1095500
PROP-10151,2325,5,4,1990,2.19,5,3.84,0.39,1015800
PROP-10152,1657,3,2,2015,3.35,4,9.92,0.62,939600
PROP-10153,2250,4,3,1974,0.35,3,4.88,0.39,897900
PROP-10154,2290,3,3,2010,10.52,5,8.83,0.65,1066900
PROP-10155,1635,2,1,2015,13.77,5,9.07,0.97,801400
PROP-10156,3312,5,4,1991,2.76,6,8.52,0.7,1441800
PROP-10157,2407,4,3,2014,10.49,8,1.42,0.43,956500
PROP-10158,1325,3,2,1985,0.69,10,9.53,0.94,907800
PROP-10159,2526,5,4,1958,0.2,3,2.16,0.61,981400
PROP-10160,1466,2,2,1985,0.2,6,1.31,0.22,629100
PROP-10161,2611,4,3,1987,3.1,10,4.73,0.55,1113300
PROP-10162,2853,5,4,1982,0.22,4,2.75,0.69,1173900
PROP-10163,1566,3,2,1991,11.14,2,2.66,0.85,616200
PROP-10164,2726,5,4,2010,0.54,3,3.59,0.94,1102100
PROP-10165,2368,3,3,1995,1.27,7,3.24,0.39,1026700
PROP-10166,2634,4,3,2010,6.05,6,7.16,0.24,1182900
PROP-10167,3332,5,4,1967,0.86,2,2.68,0.17,1176900
PROP-10168,1940,3,3,2019,0.97,2,5.89,0.76,946600
PROP-10169,1610,3,2,1964,3.6,5,9.88,0.82,849900
PROP-10170,1521,3,2,1997,1.13,5,4.89,0.47,763100
PROP-10171,1569,3,2,2021,0.86,7,6.78,0.46,895800
PROP-10172,2049,3,2,1962,1.03,7,9.72,0.96,1076800
PROP-10173,2321,4,3,1992,2.36,7,2.24,0.93,952700
PROP-10174,2279,3,2,2009,11.85,2,4.77,0.31,930300
PROP-10175,2637,6,5,2006,6.25,10,8.65,0.8,1394400
PROP-10176,2108,3,2,2020,1.17,8,9.39,0.66,1132300
PROP-10177,3044,5,4,1966,1.58,8,6.41,0.24,1280100
PROP-10178,1927,4,4,1999,2.19,8,2.29,0.42,896300
PROP-10179,3868,6,4,1981,13.51,3,9.11,0.26,1493000
PROP-10180,2506,4,3,1971,0.66,3,2.57,0.37,958600
PROP-10181,1542,2,1,2004,1.55,7,4.18,0.65,770300
PROP-10182,1403,2,1,2006,4.58,8,4.38,0.44,728300
PROP-10183,2413,5,4,1962,11.63,4,5.03,0.45,988500
PROP-10184,1954,2,1,1996,0.59,5,8.11,0.59,872200
PROP-10185,2564,5,4,2011,0.9,4,8.22,0.18,1184800
PROP-10186,2407,3,3,2003,0.9,8,7.48,0.76,1131600
PROP-10187,2052,3,2,1978,0.2,8,1.2,0.46,852700
PROP-10188,1549,2,1,1971,3.24,5,6.08,0.53,752800
PROP-10189,1115,2,1,2014,3.89,8,7.73,0.98,738400
PROP-10190,1809,2,2,1978,3.23,6,5.0,0.41,792300
PROP-10191,2656,5,4,1997,0.26,2,9.5,0.68,1199300
PROP-10192,2239,5,4,1954,0.25,5,8.41,0.45,1051800
PROP-10193,1290,1,1,1984,0.83,8,6.74,0.9,759400
PROP-10194,2212,4,2,2023,1.2,3,1.56,0.86,919400
PROP-10195,2350,4,3,2020,5.41,3,6.87,0.32,1077700
PROP-10196,1525,3,3,1995,0.61,2,9.2,0.72,817300
PROP-10197,2199,4,2,1984,0.2,3,4.42,0.16,908000
PROP-10198,2137,3,1,1994,1.75,9,8.54,0.97,1106200
PROP-10199,1357,3,2,1962,1.88,9,3.82,0.41,752400
PROP-10200,2332,5,4,1959,2.1,9,6.13,0.85,1105400
PROP-10201,2464,4,3,2015,6.14,2,6.84,0.39,997900
PROP-10202,2803,5,3,2019,0.36,2,7.1,0.67,1200600
PROP-10203,2784,4,3,2021,4.26,5,8.94,0.99,1354900
PROP-10204,1204,1,1,1974,1.44,7,3.11,0.89,573700
PROP-10205,1490,3,2,1993,1.3,9,3.36,0.24,781600
PROP-10206,2434,5,4,2009,9.44,3,7.34,0.59,1038100
PROP-10207,2433,4,2,1996,1.0,4,2.59,0.41,997900
PROP-10208,2434,4,3,1989,3.6,7,5.18,0.49,1027500
PROP-10209,4604,6,4,1956,1.13,5,1.18,0.4,1509800
PROP-10210,2471,3,2,1995,2.48,3,2.27,0.4,916700
PROP-10211,2838,5,4,1972,5.4,8,7.11,0.59,1267900
PROP-10212,2720,5,4,1995,7.47,5,7.73,0.27,1232100
PROP-10213,2523,4,2,1962,6.39,9,2.04,0.58,1018400
PROP-10214,1895,3,2,1970,3.05,9,3.05,0.35,794800
PROP-10215,2593,4,3,1950,1.0,8,1.89,0.36,1013300
PROP-10216,1597,2,2,1968,3.79,10,4.9,0.76,804100
PROP-10217,1946,3,2,2009,4.33,5,2.14,0.13,763000
PROP-10218,1784,4,3,1982,0.2,8,4.94,0.44,920200
PROP-10219,2153,3,2,1953,2.02,2,7.59,0.47,915700
PROP-10220,3604,6,4,1952,6.49,5,7.15,0.54,1390100
PROP-10221,886,1,1,2001,2.35,3,3.52,0.7,461400
PROP-10222,2546,5,4,1977,1.31,10,7.06,0.43,1228500
PROP-10223,1051,2,2,2019,7.19,6,9.35,0.29,711600
PROP-10224,1793,3,2,2019,0.59,4,4.13,0.9,836100
PROP-10225,2807,5,4,2004,0.81,5,3.96,0.98,1186700
PROP-10226,2141,4,4,2006,4.07,7,6.14,0.12,1042200
PROP-10227,1399,2,2,1965,1.52,2,3.21,0.59,565800
PROP-10228,1635,2,2,1973,4.37,8,6.86,0.41,841500
PROP-10229,2541,5,4,2018,0.6,9,8.49,0.35,1284100
PROP-10230,1625,2,1,1990,1.02,8,5.13,0.4,815700
PROP-10231,2240,4,4,1996,0.6,8,7.12,0.67,1121400
PROP-10232,2129,2,1,2018,10.69,10,6.87,0.27,1017800
PROP-10233,1676,3,2,1980,1.82,5,1.35,0.92,692700
PROP-10234,3493,5,3,1979,1.44,8,2.65,0.52,1364500
PROP-10235,2512,5,3,1967,0.2,10,9.04,0.39,1197900
PROP-10236,783,1,1,1993,0.58,6,9.45,0.79,639400
PROP-10237,2221,3,2,1976,1.91,3,8.02,0.11,934700
PROP-10238,1669,3,3,1975,0.25,6,9.29,0.49,923100
PROP-10239,2654,5,4,2009,2.5,5,3.76,0.42,1099200
PROP-10240,1584,3,2,1967,2.12,9,3.23,0.4,760000
PROP-10241,2025,4,3,2005,5.1,6,4.46,0.4,905400
PROP-10242,2428,5,4,1980,3.77,10,1.5,0.13,1041800
PROP-10243,2662,3,3,2008,2.07,10,8.29,0.24,1262100
PROP-10244,1319,3,2,1951,0.89,4,9.86,0.23,746800
PROP-10245,1882,3,2,1988,4.54,7,8.42,0.99,979400
PROP-10246,1791,2,2,2010,4.31,7,5.99,0.12,914200
PROP-10247,1675,2,2,2012,0.58,5,3.66,0.25,755100
PROP-10248,3247,5,4,1967,8.62,4,2.78,0.98,1197300
PROP-10249,2363,4,3,1966,0.23,2,4.28,0.67,1018300
PROP-10250,1280,2,2,1988,0.2,8,7.0,0.51,770500
PROP-10251,2696,5,4,2020,0.73,6,5.02,0.17,1222600
PROP-10252,3479,5,4,2003,8.41,8,9.41,0.7,1542600
PROP-10253,2771,5,3,1984,2.57,2,8.69,0.22,1222900
PROP-10254,1112,1,1,1960,5.43,9,1.92,0.7,503700
PROP-10255,1785,3,3,2010,0.9,4,2.18,0.98,772600
PROP-10256,2923,5,3,1993,2.36,8,7.09,0.58,1276700
PROP-10257,1640,2,2,2017,1.55,4,3.08,0.29,733900
PROP-10258,2388,2,1,1974,6.16,4,8.12,0.66,957200
PROP-10259,2603,4,3,1997,0.2,10,6.32,0.56,1177900
PROP-10260,1497,3,3,1981,0.98,3,3.07,0.58,657600
PROP-10261,2061,4,3,1953,0.58,5,5.31,0.53,918600
PROP-10262,750,2,2,1987,6.86,7,4.65,0.71,508500
PROP-10263,1434,2,1,2012,2.21,4,8.86,0.61,822600
PROP-10264,1935,4,3,1996,1.81,8,1.29,0.99,870200
PROP-10265,1288,3,2,1950,2.09,8,9.06,0.84,803800
PROP-10266,3161,4,3,1952,12.51,6,6.87,0.34,1199600
PROP-10267,1170,2,1,2011,6.65,4,7.64,0.75,680700
PROP-10268,1813,3,2,2013,4.29,3,1.02,0.29,715700
PROP-10269,2184,4,3,1966,1.2,5,6.65,0.8,1040500
PROP-10270,3036,5,4,2011,0.63,5,6.3,0.23,1316200
PROP-10271,1166,2,1,1984,8.9,9,5.83,0.53,658500
PROP-10272,2856,4,2,1962,1.93,9,8.07,0.81,1280800
PROP-10273,2106,4,3,1984,1.14,6,6.0,0.35,1001900
PROP-10274,1462,2,1,1992,2.23,7,8.71,0.85,890100
PROP-10275,2400,3,2,1951,8.75,9,3.09,0.68,949700
PROP-10276,2229,4,3,2005,1.71,2,8.25,0.46,1025100
PROP-10277,1709,2,1,2000,2.89,6,2.61,0.48,766600
PROP-10278,2145,4,3,2003,5.69,5,8.32,0.93,1010200
PROP-10279,1849,3,2,1965,1.95,5,9.46,0.3,905400
PROP-10280,2173,3,3,1967,0.93,3,4.02,0.72,899900
PROP-10281,2530,4,2,1956,18.23,2,5.77,0.74,935500
PROP-10282,3130,6,5,1994,10.98,7,6.92,0.93,1322500
PROP-10283,1295,2,2,1985,6.49,8,1.72,0.74,598500
PROP-10284,3486,6,4,1990,4.08,6,5.45,0.63,1352600
PROP-10285,831,2,2,1991,1.22,9,4.25,0.91,641200
PROP-10286,2001,4,3,1956,8.56,10,8.85,0.85,1054700
PROP-10287,2482,4,3,1964,1.13,3,8.89,0.75,1133300
PROP-10288,2282,3,3,2009,5.65,5,7.31,0.13,1031400
PROP-10289,1695,4,3,1989,8.76,10,6.9,0.44,993400
PROP-10290,1964,4,3,1986,3.23,6,7.6,0.67,965600
PROP-10291,1779,4,3,2015,5.69,4,4.29,0.57,831900
PROP-10292,1716,3,2,2004,5.49,7,4.64,0.39,838800
PROP-10293,2652,4,3,2005,0.75,4,5.98,0.23,1103200
PROP-10294,2332,3,3,1993,3.86,6,9.44,0.6,1134200
PROP-10295,1649,3,2,2006,0.34,4,7.52,0.36,846300
PROP-10296,2684,5,3,1955,2.48,7,5.96,0.31,1130100
PROP-10297,2299,5,4,1981,0.62,6,7.93,0.46,1121000
PROP-10298,2628,5,3,2023,1.88,10,4.34,0.81,1258200
PROP-10299,2509,3,2,1967,6.26,4,7.57,0.54,1017200
PROP-10300,1561,3,2,2017,15.25,7,4.7,0.29,725700
PROP-10301,1735,2,1,2022,1.34,9,3.52,0.21,839800
PROP-10302,2585,4,3,1956,2.66,8,6.49,0.55,1117700
PROP-10303,2496,4,3,1957,2.51,7,7.18,0.81,1095800
PROP-10304,2086,5,3,2013,10.81,3,5.13,0.69,880900
PROP-10305,2176,5,3,1956,2.28,8,6.09,0.31,1038600
PROP-10306,2930,5,3,1990,4.2,9,7.25,0.49,1329100
PROP-10307,1715,3,3,1989,8.92,2,7.91,0.87,862000
PROP-10308,2455,4,3,1952,1.64,10,9.06,0.26,1181600
PROP-10309,1968,4,3,1966,8.13,5,4.19,0.58,867300
PROP-10310,1958,3,2,2015,8.73,9,9.56,0.42,1026700
PROP-10311,2814,6,4,2001,9.34,8,6.74,0.21,1216600
PROP-10312,2636,5,4,1971,1.1,8,8.09,0.14,1211000
PROP-10313,2628,5,4,1953,1.79,3,7.3,0.6,1109400
PROP-10314,2948,5,4,1955,7.15,2,2.85,0.12,1045100
PROP-10315,2113,4,3,1987,1.56,5,1.64,0.19,889000
PROP-10316,2543,5,3,1975,3.21,3,7.54,0.41,1094100
PROP-10317,1898,3,3,1960,0.44,9,5.6,0.14,975600
PROP-10318,2310,4,3,1966,0.2,8,7.32,0.46,1098500
PROP-10319,2015,3,2,1980,1.86,9,5.29,0.22,946200
PROP-10320,2163,4,3,1984,3.03,7,3.81,0.41,967200
PROP-10321,2486,5,4,1965,1.75,2,3.57,0.81,1000800
PROP-10322,1568,3,3,1967,3.02,10,7.57,0.66,921300
PROP-10323,3460,6,4,2011,2.53,7,3.49,0.5,1374100
PROP-10324,1446,2,1,1976,4.05,2,7.43,0.18,677600
PROP-10325,1310,3,3,1984,3.67,2,4.46,0.66,701500
PROP-10326,2852,4,3,1994,1.93,9,7.94,0.25,1274400
PROP-10327,2614,4,3,1984,1.94,7,2.29,0.17,1041600
PROP-10328,2505,5,4,1977,0.53,9,2.84,0.7,1085800
PROP-10329,2508,5,4,1958,2.52,9,7.17,0.92,1221800
PROP-10330,2092,3,3,1964,3.1,9,6.04,0.51,1012300
PROP-10331,1516,2,1,1970,2.27,8,2.83,0.14,634900
PROP-10332,2149,3,3,2001,1.38,8,9.13,0.89,1102100
PROP-10333,1659,3,2,1984,4.48,5,3.48,0.16,666800
PROP-10334,2733,5,4,2000,0.27,10,4.79,0.88,1324800
PROP-10335,2004,4,3,2004,8.6,3,2.82,0.45,798200
PROP-10336,1563,3,2,1993,0.2,10,4.49,0.43,845100
PROP-10337,1891,3,2,2014,11.48,4,5.42,0.59,827100
PROP-10338,2368,4,2,1974,2.17,3,3.66,0.96,959800
PROP-10339,1733,2,1,1996,1.86,5,7.92,0.91,885600
PROP-10340,1565,3,3,2005,1.04,6,4.55,0.52,830300
PROP-10341,2258,4,3,1987,0.2,3,7.57,0.73,1014000
PROP-10342,2259,4,4,1960,1.12,2,2.86,0.62,901100
PROP-10343,1770,3,3,2016,0.41,6,4.39,0.72,916900
PROP-10344,1793,2,1,1964,3.77,10,1.07,0.85,778100
PROP-10345,2250,4,3,1950,1.35,6,7.83,0.13,983500
PROP-10346,1158,2,1,1956,5.1,10,6.63,0.39,652900
PROP-10347,1185,1,1,1950,0.81,7,8.36,0.96,742400
PROP-10348,1633,3,2,1998,8.07,4,5.1,0.95,817300
PROP-10349,1961,3,2,2022,2.59,5,8.2,0.11,966800
PROP-10350,2302,4,2,1978,0.43,5,6.83,0.28,1009000
PROP-10351,3058,5,4,1975,1.79,2,1.03,0.99,1114400
PROP-10352,2657,5,4,1994,0.81,4,3.28,0.54,1109600
PROP-10353,1996,3,2,2020,0.78,4,5.45,0.62,887000
PROP-10354,2087,4,3,1961,2.47,2,6.57,0.25,887100
PROP-10355,1448,3,3,1981,3.9,10,1.59,0.9,733000
PROP-10356,2087,3,2,1969,8.49,2,7.35,0.31,847800
PROP-10357,1912,3,2,2000,2.44,10,5.89,0.27,948800
PROP-10358,2309,3,2,1985,11.82,2,5.73,0.31,859600
PROP-10359,1562,3,3,2016,9.94,3,3.63,0.93,734300
PROP-10360,2437,3,2,1950,7.01,3,6.35,0.73,927600
PROP-10361,3096,4,3,1976,2.43,7,1.25,0.79,1141200
PROP-10362,2029,2,2,1989,0.53,8,1.58,0.44,888600
PROP-10363,2361,5,4,1963,0.86,2,7.6,0.92,1032500
PROP-10364,2548,4,3,2018,3.65,4,3.9,0.81,1012900
PROP-10365,1839,4,4,1955,1.92,3,4.12,0.78,826500
PROP-10366,2245,3,2,1982,0.56,9,2.88,0.97,985000
PROP-10367,2108,2,2,2004,2.28,10,5.01,0.43,1001600
PROP-10368,2163,3,2,1968,0.2,3,1.47,0.65,801800
PROP-10369,1597,3,2,1978,4.63,3,3.7,0.92,728900
PROP-10370,2115,3,2,2010,0.27,10,5.74,0.81,1116800
PROP-10371,2423,4,3,2019,3.47,5,5.19,0.61,1084000
PROP-10372,3043,5,3,1973,5.51,6,10.0,0.17,1286100
PROP-10373,2723,5,4,1972,0.5,10,4.5,0.69,1236300
PROP-10374,3499,6,5,1959,2.56,7,4.48,0.57,1416900
PROP-10375,1601,4,3,2003,5.28,10,5.53,0.27,928100
PROP-10376,2667,4,2,1990,1.06,10,2.71,0.89,1146500
PROP-10377,2219,3,3,1998,0.62,8,8.89,0.41,1112900
PROP-10378,3523,6,5,1966,1.44,10,6.15,0.45,1488300
PROP-10379,1574,3,2,2005,2.83,6,2.73,0.71,749500
PROP-10380,1554,2,2,1994,3.0,6,8.14,0.54,802600
PROP-10381,1710,2,2,1979,0.49,9,1.31,0.18,760800
PROP-10382,750,1,1,1993,2.14,5,9.84,0.45,603800
PROP-10383,1758,3,2,2023,1.09,10,8.79,0.19,1031800
PROP-10384,1606,3,2,2004,6.46,8,6.22,0.27,861800
PROP-10385,2197,3,2,1968,1.32,8,2.0,0.11,917000
PROP-10386,2322,4,3,1978,6.39,4,2.94,0.26,897500
PROP-10387,3319,5,3,1951,1.96,5,3.51,0.4,1220900
PROP-10388,2717,5,4,1985,4.54,8,3.17,0.58,1146300
PROP-10389,1725,3,2,1968,2.5,6,5.48,0.93,841500
PROP-10390,1516,1,1,1956,3.4,4,9.5,0.59,743700
PROP-10391,2419,3,3,1975,1.76,2,5.0,0.74,992600
PROP-10392,1241,1,1,1987,5.12,8,6.95,0.42,727900
PROP-10393,3290,5,4,1952,1.94,7,7.2,0.78,1383700
PROP-10394,2866,5,4,2015,2.14,8,8.84,0.66,1381700
PROP-10395,1795,2,1,2020,2.55,3,1.3,0.51,692400
PROP-10396,986,1,1,1992,6.24,5,4.64,0.27,524900
PROP-10397,2980,4,3,2011,3.77,3,8.06,0.37,1256800
PROP-10398,2025,3,3,2020,1.5,9,8.33,0.66,1104000
PROP-10399,2904,5,4,1973,3.88,8,9.35,0.48,1347500
PROP-10400,1063,1,1,1988,3.6,2,7.33,0.9,561100
PROP-10401,1710,3,3,2017,9.36,3,3.21,0.31,748300
PROP-10402,2103,3,2,1993,6.45,3,5.55,0.17,842000
