order_id,pickup_x,pickup_y,dropoff_x,dropoff_y,package_weight_kg,promised_window_hr
ORD-1036,15.23,42.48,16.99,9.06,3.3,1
ORD-1037,4.88,12.37,36.24,34.06,4.2,2
ORD-1038,34.21,22.53,3.27,9.07,6.0,1
ORD-1039,22.01,6.46,15.76,26.26,6.6,4
ORD-1040,6.1,47.7,26.97,35.45,21.3,2
ORD-1041,24.76,30.31,39.54,5.34,14.2,1
ORD-1042,1.72,11.43,15.94,28.37,13.3,2
ORD-1043,45.47,33.59,31.29,12.83,3.3,4
ORD-1044,12.94,30.91,44.3,48.15,21.6,4
ORD-1045,33.13,17.91,30.79,24.18,18.2,4
ORD-1046,15.59,5.68,11.65,40.3,2.2,2
ORD-1047,26.0,33.58,1.22,27.51,17.8,2
ORD-1048,27.34,26.02,43.5,2.17,13.8,1
ORD-1049,9.24,38.62,1.06,31.66,2.5,4
ORD-1050,48.48,26.01,43.74,47.57,11.7,2
ORD-1051,38.76,42.61,26.45,30.08,12.4,4
ORD-1052,46.97,27.6,46.95,40.96,4.6,4
ORD-1053,44.74,28.05,39.94,44.21,23.7,1
ORD-1054,29.89,43.83,49.9,11.4,21.3,1
ORD-1055,46.09,20.17,17.54,10.6,16.9,1
ORD-1056,4.42,6.7,38.36,30.55,11.8,1
ORD-1057,9.8,1.44,20.1,20.55,10.6,4
ORD-1058,2.26,37.76,23.99,41.99,16.4,1
ORD-1059,16.27,31.02,31.38,45.0,13.9,1
ORD-1060,19.43,35.2,43.68,17.67,2.0,1
ORD-1061,13.57,10.65,49.2,11.84,13.1,1
ORD-1062,41.44,6.82,38.41,39.03,20.3,4
ORD-1063,17.84,0.73,20.89,13.74,11.8,1
ORD-1064,14.05,17.53,21.07,41.13,1.8,4
ORD-1065,27.13,29.5,36.88,21.19,19.8,2
ORD-1066,7.05,19.61,11.94,33.38,5.4,4
ORD-1067,40.11,21.87,5.52,4.78,6.8,4
ORD-1068,3.73,45.21,17.73,31.19,4.5,1
ORD-1069,49.34,17.41,14.36,22.59,8.6,2
ORD-1070,38.61,25.7,14.82,29.33,19.0,2
ORD-1071,9.94,39.18,11.68,8.4,13.2,2
ORD-1072,0.28,19.83,2.1,36.84,5.5,2
ORD-1073,40.77,31.1,0.89,43.14,22.0,4
ORD-1074,35.34,43.12,49.39,10.84,22.0,2
ORD-1075,36.45,47.48,21.39,4.79,21.8,4
ORD-1076,38.56,7.35,19.22,1.18,6.4,4
ORD-1077,3.7,46.33,33.98,32.1,11.6,4
ORD-1078,17.92,24.61,10.91,30.35,24.6,2
ORD-1079,5.79,12.91,47.5,27.33,19.4,1
ORD-1080,43.16,22.96,39.32,11.6,1.2,1
ORD-1081,31.16,49.0,4.47,19.55,2.1,2
ORD-1082,16.54,24.63,20.88,29.72,11.9,1
ORD-1083,3.18,16.44,43.96,24.84,22.8,1
ORD-1084,15.55,31.67,47.24,49.39,13.7,4
ORD-1085,16.26,12.01,23.37,6.82,12.7,4
ORD-1086,36.48,3.79,30.67,34.76,3.1,2
ORD-1087,31.88,6.44,8.35,20.22,16.6,2
ORD-1088,44.36,6.4,49.56,21.41,20.6,1
ORD-1089,23.61,7.6,11.58,35.88,9.8,4
ORD-1090,5.98,6.94,47.14,34.62,19.5,2
ORD-1091,35.66,32.04,32.48,49.56,24.1,2
ORD-1092,38.04,9.09,30.39,6.42,5.5,2
ORD-1093,28.06,17.28,25.63,5.21,13.3,2
ORD-1094,38.55,44.84,11.53,36.22,7.5,2
ORD-1095,24.69,23.7,8.83,28.92,19.9,2
ORD-1096,26.14,33.38,11.02,13.71,14.7,1
ORD-1097,21.38,8.62,9.32,3.97,16.0,4
ORD-1098,1.27,9.61,38.98,4.28,20.0,4
ORD-1099,5.39,2.04,17.51,44.71,10.2,2
ORD-1100,1.57,8.45,2.89,9.59,22.9,4
ORD-1101,31.82,13.93,48.46,16.17,13.6,4
ORD-1102,15.72,8.85,44.19,11.33,4.4,4
ORD-1103,25.43,4.44,46.39,17.75,17.5,2
ORD-1104,45.38,6.03,49.75,3.47,19.9,2
ORD-1105,12.46,23.04,8.69,25.95,8.3,4
ORD-1106,20.52,10.32,19.81,3.38,21.5,4
ORD-1107,37.78,18.21,37.91,40.02,22.7,2
ORD-1108,11.44,25.17,34.8,11.69,7.3,1
ORD-1109,3.85,34.52,7.69,27.0,24.6,4
ORD-1110,14.49,1.97,40.79,44.0,3.9,1
ORD-1111,8.06,39.97,11.22,32.54,5.4,4
ORD-1112,46.48,31.4,11.19,26.65,5.0,1
ORD-1113,40.41,4.09,26.85,16.22,22.4,1
ORD-1114,31.67,43.68,29.65,16.65,16.5,1
ORD-1115,43.57,46.04,29.0,33.47,4.2,2
ORD-1116,40.18,3.05,4.57,49.71,11.3,1
ORD-1117,9.33,13.84,43.87,33.09,15.6,1
ORD-1118,44.63,40.31,13.28,27.89,2.5,1
ORD-1119,26.97,37.41,6.48,36.53,22.1,4
ORD-1120,40.37,9.23,44.44,23.26,20.2,1
ORD-1121,44.8,10.47,47.78,3.01,12.9,4
ORD-1122,15.9,18.52,43.11,28.11,24.2,1
ORD-1123,5.5,24.23,40.48,47.88,10.7,1
ORD-1124,11.4,30.91,32.76,8.77,24.6,2
ORD-1125,21.36,18.45,27.54,34.5,16.9,4
ORD-1126,40.9,23.13,4.35,10.05,16.0,1
ORD-1127,43.04,37.37,20.42,26.79,4.6,4
ORD-1128,0.35,1.83,18.63,4.83,22.1,4
ORD-1129,25.54,12.62,12.99,22.52,11.0,2
ORD-1130,20.87,35.67,36.17,37.81,4.5,2
ORD-1131,11.11,44.76,24.79,17.38,0.8,2
ORD-1132,5.99,25.58,4.05,33.25,14.2,2
ORD-1133,16.88,26.61,11.01,39.77,13.4,2
ORD-1134,47.15,5.36,34.16,46.36,18.1,2
ORD-1135,16.16,22.37,3.81,11.73,22.3,2
ORD-1136,25.94,26.63,42.56,19.97,2.4,2
ORD-1137,35.15,12.12,24.76,7.62,18.4,1
ORD-1138,18.18,13.46,24.03,49.62,5.1,4
ORD-1139,48.59,18.86,29.62,46.35,21.5,2
ORD-1140,48.12,1.0,41.23,27.0,20.6,2
ORD-1141,12.59,16.1,17.39,42.1,13.7,4
ORD-1142,24.86,10.57,33.9,26.05,17.9,1
ORD-1143,15.04,16.37,28.29,31.18,8.2,4
ORD-1144,14.24,5.99,13.35,4.46,12.0,4
ORD-1145,1.84,44.53,43.93,37.76,20.6,2
ORD-1146,30.48,29.68,39.87,6.39,11.8,4
ORD-1147,25.13,33.96,32.92,41.3,9.3,4
ORD-1148,2.57,39.46,42.53,39.1,12.6,2
ORD-1149,13.93,24.92,43.36,35.44,20.8,2
ORD-1150,45.41,4.35,35.42,1.81,8.7,2
ORD-1151,11.98,26.86,41.85,15.16,4.8,2
ORD-1152,7.24,29.34,34.87,13.16,17.9,4
ORD-1153,24.47,37.27,34.01,18.01,20.7,4
ORD-1154,49.28,21.58,30.93,4.38,3.0,1
ORD-1155,12.1,6.38,37.64,46.85,6.4,1
ORD-1156,33.61,14.19,7.93,27.69,4.0,4
ORD-1157,38.08,18.15,44.04,15.28,9.0,1
ORD-1158,11.88,32.3,43.59,19.85,11.5,4
ORD-1159,36.41,28.54,1.46,22.36,18.8,1
ORD-1160,18.39,17.8,41.29,30.03,16.5,2
ORD-1161,31.62,49.33,6.44,25.78,15.7,1
ORD-1162,31.68,30.29,16.76,45.97,9.1,2
ORD-1163,26.79,11.86,37.18,24.85,21.1,2
ORD-1164,4.51,5.09,8.04,49.61,12.0,2
ORD-1165,41.77,7.64,40.9,42.57,24.5,2
ORD-1166,16.04,12.3,41.61,10.43,16.0,1
ORD-1167,9.33,8.03,25.37,46.53,3.6,4
ORD-1168,2.04,9.33,0.32,5.82,17.1,2
ORD-1169,29.54,14.25,14.35,40.87,8.5,1
ORD-1170,33.88,8.67,30.85,19.03,17.3,2
ORD-1171,0.83,44.84,49.06,43.9,2.2,1
ORD-1172,25.6,4.01,31.59,43.4,4.8,1
ORD-1173,11.32,26.23,12.99,40.3,21.5,1
ORD-1174,32.26,20.52,31.7,39.5,6.1,4
ORD-1175,8.72,49.12,27.0,15.23,21.0,1
ORD-1176,34.55,5.6,38.99,4.05,7.3,1
ORD-1177,19.34,19.89,5.35,20.15,16.3,4
ORD-1178,46.84,48.47,38.05,8.68,17.5,4
ORD-1179,6.88,43.28,27.06,34.75,13.1,1
ORD-1180,17.05,40.85,48.15,17.3,8.0,4
ORD-1181,5.67,12.9,17.09,48.78,5.7,2
ORD-1182,46.23,8.54,31.63,32.05,1.3,2
ORD-1183,43.87,33.43,46.6,41.12,7.9,4
ORD-1184,12.9,46.47,5.13,6.63,16.5,4
ORD-1185,33.0,27.84,46.86,43.1,23.5,1
ORD-1186,40.86,28.58,34.39,46.14,21.8,4
ORD-1187,27.76,14.0,3.39,24.35,19.3,1
ORD-1188,26.48,38.47,15.05,30.31,19.8,2
ORD-1189,12.09,9.35,35.41,38.24,16.8,4
ORD-1190,4.66,16.18,3.37,8.74,6.9,1
ORD-1191,44.86,21.27,29.11,25.13,22.7,1
ORD-1192,45.02,25.38,17.29,19.93,16.9,2
ORD-1193,31.66,12.12,31.05,7.32,14.2,4
ORD-1194,16.95,5.74,2.29,18.38,3.2,2
ORD-1195,17.46,30.53,43.58,3.41,11.5,1
ORD-1196,36.3,14.43,48.67,1.29,11.8,1
ORD-1197,44.86,29.06,48.44,6.76,21.7,4
ORD-1198,44.35,7.72,37.48,48.16,13.9,1
ORD-1199,38.99,24.06,6.5,27.48,9.8,4
ORD-1200,32.1,26.63,37.91,48.29,24.4,2
ORD-1201,4.21,2.59,1.23,21.62,3.2,4
ORD-1202,8.08,16.83,1.11,15.59,10.9,4
ORD-1203,44.93,6.72,16.18,25.31,1.5,1
ORD-1204,30.32,3.17,24.43,21.98,18.6,1
ORD-1205,0.46,49.5,38.52,5.28,23.0,4
ORD-1206,5.07,16.12,34.16,32.04,7.4,1
ORD-1207,33.18,40.49,22.3,10.8,21.5,1
ORD-1208,0.25,12.73,13.68,30.98,7.7,1
ORD-1209,8.04,34.08,49.86,32.51,22.8,4
ORD-1210,27.44,38.01,21.31,7.6,19.0,1
ORD-1211,34.59,29.78,22.57,3.07,20.2,4
ORD-1212,32.6,23.58,8.18,39.04,0.9,1
ORD-1213,11.21,20.59,39.74,22.99,24.1,2
ORD-1214,35.61,17.44,34.68,2.91,18.3,1
ORD-1215,11.86,46.48,11.04,49.74,8.0,1
ORD-1216,16.27,41.53,4.12,2.89,20.8,4
ORD-1217,37.32,48.25,34.02,34.75,7.4,4
ORD-1218,32.48,6.21,32.73,49.18,21.9,1
ORD-1219,42.46,36.54,13.66,11.96,3.3,2
ORD-1220,32.88,46.92,47.54,7.11,17.7,1
ORD-1221,28.42,9.06,7.55,6.07,13.7,1
ORD-1222,4.68,3.32,21.62,15.16,2.9,2
ORD-1223,18.39,37.06,47.18,5.05,6.4,4
ORD-1224,13.26,28.72,20.99,34.61,0.8,1
ORD-1225,12.2,42.09,31.93,3.11,12.0,4
ORD-1226,48.65,6.99,19.88,25.47,7.9,4
ORD-1227,19.65,39.76,13.71,49.83,15.2,2
ORD-1228,44.6,10.08,49.2,40.7,7.8,2
ORD-1229,31.56,8.18,20.47,30.76,7.8,4
ORD-1230,39.74,8.21,44.7,15.31,18.7,1
ORD-1231,25.13,40.73,11.5,31.19,1.7,4
ORD-1232,28.85,33.26,10.66,26.35,22.6,1
ORD-1233,24.63,26.15,1.56,21.3,21.4,1
ORD-1234,9.76,17.94,32.58,6.54,16.9,2
ORD-1235,36.12,43.86,18.43,44.33,15.0,1
ORD-1236,14.04,19.62,43.22,22.49,22.4,1
ORD-1237,1.22,40.83,23.66,9.73,5.0,4
ORD-1238,32.27,21.96,48.41,18.39,2.4,2
ORD-1239,8.86,18.85,9.28,20.71,6.4,1
ORD-1240,47.02,23.13,43.43,41.38,20.0,1
ORD-1241,47.7,15.07,38.83,36.68,1.3,2
ORD-1242,45.74,37.38,38.55,38.47,14.8,4
ORD-1243,18.51,25.14,42.24,0.55,24.9,2
ORD-1244,0.77,11.61,38.05,20.81,21.5,2
ORD-1245,46.42,44.98,31.31,24.07,13.3,1
ORD-1246,21.41,19.19,6.56,0.96,2.1,1
ORD-1247,48.33,27.18,1.63,12.99,20.9,4
ORD-1248,48.18,45.32,46.04,38.01,15.2,1
ORD-1249,42.65,31.21,30.83,6.86,3.3,1
ORD-1250,14.72,5.84,39.83,26.77,2.8,2
ORD-1251,19.25,46.99,24.08,10.76,22.8,1
ORD-1252,42.56,31.39,5.87,0.61,16.9,4
ORD-1253,15.85,16.75,6.26,12.06,20.8,2
ORD-1254,8.47,6.96,34.28,48.79,22.0,4
ORD-1255,27.84,39.7,21.52,40.08,14.5,2
ORD-1256,46.81,31.0,10.03,47.98,13.2,1
ORD-1257,34.8,26.67,24.58,24.39,11.0,2
ORD-1258,28.5,44.69,3.21,5.49,8.3,2
ORD-1259,4.86,39.43,29.1,27.4,11.1,1
ORD-1260,30.75,7.58,13.45,22.72,19.5,1
ORD-1261,49.5,15.59,39.88,42.22,15.2,4
ORD-1262,7.0,12.42,15.52,4.9,22.4,4
ORD-1263,25.92,37.2,22.76,24.41,11.4,1
ORD-1264,43.87,1.68,0.58,7.5,15.4,1
ORD-1265,37.04,28.49,3.62,16.23,16.0,1
ORD-1266,34.85,38.12,19.62,36.87,15.0,2
ORD-1267,35.12,43.84,24.0,23.8,17.7,2
ORD-1268,17.97,17.1,30.0,18.79,6.3,2
ORD-1269,14.68,41.06,14.58,19.72,13.1,1
ORD-1270,40.47,5.53,34.75,22.97,3.1,4
ORD-1271,40.51,42.32,43.01,39.25,9.9,1
ORD-1272,43.35,6.37,38.99,44.6,12.4,2
ORD-1273,45.66,19.86,1.98,47.77,16.5,2
ORD-1274,25.57,39.86,24.03,39.35,23.8,1
ORD-1275,25.08,7.5,5.25,15.77,15.2,1
ORD-1276,39.91,11.46,12.1,34.41,18.7,2
ORD-1277,32.5,36.11,49.33,21.88,12.9,2
ORD-1278,35.1,36.0,7.12,12.73,16.0,2
ORD-1279,39.79,32.06,24.94,42.04,2.2,1
ORD-1280,44.5,34.7,30.91,1.92,6.7,2
ORD-1281,16.9,27.14,35.12,45.09,9.4,2
ORD-1282,18.78,12.59,27.98,23.07,12.1,4
ORD-1283,4.7,17.28,0.49,31.86,1.6,1
ORD-1284,28.91,9.08,16.32,32.97,3.9,4
ORD-1285,1.8,45.42,25.89,44.76,7.3,4
ORD-1286,23.28,29.17,4.39,31.83,24.3,2
ORD-1287,27.13,20.04,17.53,30.7,8.6,1
ORD-1288,14.33,23.1,1.66,3.33,12.3,2
ORD-1289,29.54,47.36,3.93,25.92,5.3,1
ORD-1290,1.53,7.67,19.85,7.51,15.5,4
ORD-1291,1.87,29.31,6.64,36.87,7.4,1
ORD-1292,41.13,25.29,28.38,25.61,5.6,2
ORD-1293,18.01,30.57,34.47,34.01,13.2,2
ORD-1294,6.35,0.91,40.03,2.08,0.6,2
ORD-1295,26.11,43.61,10.01,4.24,0.7,1
ORD-1296,38.5,46.61,8.37,35.82,5.9,4
ORD-1297,10.79,28.26,5.23,3.6,1.4,4
ORD-1298,31.14,34.83,31.82,3.56,3.1,1
ORD-1299,4.27,46.12,35.32,0.61,8.8,2
ORD-1300,2.58,35.36,1.58,47.83,20.2,4
ORD-1301,26.57,7.63,46.81,36.88,14.5,2
ORD-1302,27.03,28.81,2.6,17.66,13.1,1
ORD-1303,31.87,30.34,27.06,14.83,7.7,2
ORD-1304,36.3,21.21,35.45,17.49,23.3,4
ORD-1305,48.79,36.82,43.55,38.73,10.2,4
ORD-1306,25.82,46.72,35.7,33.07,2.6,2
ORD-1307,16.15,46.28,40.09,9.26,15.6,1
ORD-1308,39.76,22.54,16.97,8.71,3.3,2
ORD-1309,13.54,5.66,40.74,4.92,9.0,1
ORD-1310,21.95,49.24,4.01,33.02,12.9,2
ORD-1311,3.92,41.94,44.74,38.22,21.9,4
ORD-1312,1.27,6.23,27.38,13.25,12.6,1
ORD-1313,48.13,46.04,40.86,1.05,17.7,1
ORD-1314,41.8,43.49,22.62,4.11,24.8,1
ORD-1315,34.8,25.94,32.18,48.39,3.7,4
ORD-1316,20.45,29.56,26.32,14.77,7.2,2
ORD-1317,8.66,19.95,36.58,38.46,10.2,4
ORD-1318,7.82,2.74,4.08,31.23,10.8,1
ORD-1319,12.51,16.76,3.02,19.1,10.6,2
ORD-1320,27.46,40.14,12.36,10.28,22.7,4
ORD-1321,35.73,0.23,7.98,6.07,18.0,1
ORD-1322,33.01,16.67,43.59,30.75,15.4,1
ORD-1323,14.0,19.91,10.96,38.73,8.1,4
ORD-1324,47.74,26.87,48.79,32.2,20.7,4
ORD-1325,36.89,45.99,16.84,26.52,23.9,4
ORD-1326,27.72,17.32,9.11,2.1,20.6,1
ORD-1327,30.59,17.35,39.48,48.42,0.5,4
ORD-1328,20.98,36.88,32.94,39.94,16.1,1
ORD-1329,12.39,22.61,24.91,14.64,1.8,4
ORD-1330,17.8,11.23,27.77,49.0,6.8,1
ORD-1331,37.89,22.62,35.96,30.09,2.0,1
ORD-1332,0.72,7.04,11.42,29.12,15.3,2
ORD-1333,5.8,8.82,49.82,37.4,17.3,4
ORD-1334,2.3,24.92,48.74,40.59,3.3,4
ORD-1335,2.04,20.95,32.52,32.82,9.9,1
ORD-1336,42.77,45.74,9.98,6.4,11.7,1
ORD-1337,35.18,18.12,34.01,16.91,9.5,1
ORD-1338,23.71,29.03,3.61,46.4,3.5,2
ORD-1339,4.89,31.61,1.53,11.23,10.8,2
ORD-1340,24.58,0.65,12.88,18.61,18.9,1
ORD-1341,23.67,33.18,23.13,21.6,2.2,4
ORD-1342,8.66,8.9,43.41,21.97,2.5,4
ORD-1343,21.69,48.05,36.36,30.65,9.2,2
ORD-1344,19.93,7.43,37.14,47.15,23.6,2
ORD-1345,30.79,20.73,21.27,12.03,16.9,1
ORD-1346,31.75,4.27,17.3,6.08,17.1,4
ORD-1347,2.27,49.84,18.55,9.87,9.4,1
ORD-1348,18.73,25.11,49.38,44.35,15.0,2
ORD-1349,31.29,29.77,2.01,32.29,0.7,4
ORD-1350,25.16,3.35,43.35,14.3,16.1,4
ORD-1351,42.82,37.5,28.93,40.8,22.9,2
ORD-1352,32.93,10.5,21.93,43.07,15.5,1
ORD-1353,8.15,44.9,36.26,42.33,21.9,1
ORD-1354,3.53,10.26,24.33,45.95,18.2,4
ORD-1355,32.12,9.53,43.67,12.61,3.5,2
ORD-1356,1.33,1.83,45.04,37.75,22.6,4
ORD-1357,29.29,23.6,21.09,23.03,2.1,2
ORD-1358,47.01,28.24,13.84,42.1,13.6,1
ORD-1359,28.77,3.29,29.62,36.42,4.0,2
ORD-1360,19.41,38.78,45.62,38.82,0.8,1
ORD-1361,32.16,22.66,10.53,32.81,10.8,2
ORD-1362,22.91,26.22,31.15,8.87,7.7,4
ORD-1363,27.28,22.04,31.58,27.25,12.4,1
ORD-1364,47.07,20.04,36.66,49.23,14.6,4
ORD-1365,19.31,27.98,6.58,46.87,1.6,4
ORD-1366,48.06,7.76,35.79,2.16,3.5,1
ORD-1367,45.27,9.1,45.45,8.24,14.2,1
ORD-1368,9.79,43.09,8.98,6.59,8.9,4
ORD-1369,3.47,47.31,11.88,36.3,18.4,4
ORD-1370,5.04,18.67,48.57,40.89,16.5,4
ORD-1371,0.91,13.54,9.05,10.68,21.2,4
ORD-1372,4.72,32.2,42.72,25.29,17.5,1
ORD-1373,34.15,20.44,24.61,42.04,11.0,1
ORD-1374,3.56,1.27,12.36,36.64,17.0,4
ORD-1375,15.95,7.81,43.54,27.11,7.2,2
ORD-1376,42.24,35.8,22.27,29.52,8.0,2
ORD-1377,1.16,32.95,25.74,25.42,19.8,1
ORD-1378,40.72,1.35,17.96,14.88,11.4,4
ORD-1379,14.09,11.1,29.65,28.25,20.1,4
ORD-1380,5.91,11.55,8.18,34.44,20.6,1
ORD-1381,34.84,33.59,19.55,43.67,21.5,2
ORD-1382,31.45,0.99,48.47,31.81,23.0,2
ORD-1383,43.87,5.21,12.91,38.06,11.1,2
ORD-1384,36.75,40.0,32.84,8.0,8.3,1
ORD-1385,40.17,8.93,16.26,23.08,14.8,2
ORD-1386,14.1,32.64,38.67,0.47,9.6,1
ORD-1387,8.87,11.91,6.54,12.33,15.2,1
ORD-1388,37.53,4.97,48.49,36.32,17.8,4
ORD-1389,40.34,12.16,22.69,49.59,17.4,2
ORD-1390,49.53,36.11,11.8,4.96,9.7,1
ORD-1391,20.63,42.78,3.67,20.07,4.6,2
ORD-1392,18.6,41.51,8.49,40.0,11.0,2
ORD-1393,38.82,19.86,25.99,10.2,4.0,4
ORD-1394,17.04,33.4,16.85,27.75,22.3,2
ORD-1395,46.54,10.25,41.44,36.65,9.0,4
ORD-1396,42.92,14.66,21.54,30.8,4.3,1
ORD-1397,21.45,44.82,12.44,9.4,1.1,2
ORD-1398,37.54,0.65,30.86,17.77,16.3,1
ORD-1399,37.73,4.28,35.34,39.19,16.1,2
ORD-1400,5.16,10.39,8.35,27.71,8.8,1
ORD-1401,45.13,1.33,8.38,0.26,2.3,2
ORD-1402,25.26,9.07,1.83,38.05,10.5,2
ORD-1403,41.32,29.15,36.82,1.77,8.1,2
ORD-1404,16.0,21.07,33.19,37.29,17.1,2
ORD-1405,44.78,44.63,23.73,10.12,15.3,2
ORD-1406,19.46,40.87,42.21,47.9,9.4,2
ORD-1407,0.54,17.09,40.28,18.4,5.8,2
ORD-1408,45.27,12.97,29.27,16.35,24.7,2
ORD-1409,4.56,18.98,43.41,7.44,11.6,2
ORD-1410,15.97,29.51,10.29,15.28,17.4,1
ORD-1411,47.5,13.4,5.6,43.83,3.9,4
ORD-1412,47.53,31.21,13.49,49.82,12.4,2
ORD-1413,28.67,20.47,2.85,18.42,1.2,4
ORD-1414,31.59,27.6,26.56,22.43,12.9,2
ORD-1415,22.42,21.81,46.83,36.1,24.1,2
ORD-1416,14.66,14.72,1.97,44.31,9.9,1
ORD-1417,16.43,47.42,6.11,29.65,1.5,1
ORD-1418,33.63,38.18,22.61,19.58,1.3,4
ORD-1419,37.62,7.01,46.69,20.63,10.0,1
ORD-1420,39.58,43.42,15.81,34.78,4.4,1
ORD-1421,39.48,24.37,25.36,0.16,1.1,4
ORD-1422,4.56,44.73,2.08,30.98,19.0,1
ORD-1423,24.72,39.99,7.42,17.77,11.7,2
ORD-1424,2.88,21.26,49.33,39.71,7.6,4
ORD-1425,27.48,1.12,48.26,4.65,22.6,4
ORD-1426,22.08,13.43,0.25,29.41,3.3,2
ORD-1427,44.39,27.08,47.59,24.05,23.9,1
ORD-1428,17.55,31.67,31.96,32.12,8.2,4
ORD-1429,5.85,12.89,43.4,3.24,22.3,4
ORD-1430,7.15,6.97,22.74,29.0,15.3,2
ORD-1431,38.08,41.75,25.78,28.07,20.8,2
ORD-1432,30.91,49.22,24.44,28.03,24.6,1
ORD-1433,5.06,26.28,33.34,30.17,7.6,4
ORD-1434,4.21,8.58,6.98,33.82,24.0,1
ORD-1435,35.05,13.62,1.5,40.25,10.0,1
ORD-1436,3.64,0.92,15.4,13.49,9.9,2
ORD-1437,41.09,45.71,35.23,41.25,8.8,4
ORD-1438,35.31,5.89,10.09,24.91,13.8,4
ORD-1439,4.07,28.83,33.67,3.85,4.3,4
ORD-1440,4.24,13.7,48.5,2.93,14.1,2
ORD-1441,49.33,27.71,4.7,16.71,13.8,2
ORD-1442,18.71,32.57,33.63,39.24,19.2,2
ORD-1443,18.53,41.49,22.19,35.38,20.9,2
ORD-1444,40.64,10.32,43.41,39.43,11.3,2
ORD-1445,47.36,0.55,8.86,25.86,7.9,4
ORD-1446,49.3,6.84,34.63,22.01,6.9,1
ORD-1447,37.67,45.0,41.91,7.37,5.3,4
ORD-1448,18.81,43.69,47.23,16.41,1.9,1
ORD-1449,4.18,29.87,34.16,21.7,8.9,2
ORD-1450,38.86,30.03,24.86,4.43,7.1,1
ORD-1451,27.92,33.25,30.89,11.03,24.2,4
ORD-1452,21.21,8.77,43.45,29.91,14.2,4
ORD-1453,45.32,45.72,28.53,36.78,9.0,1
ORD-1454,5.56,20.94,1.52,49.92,14.7,2
ORD-1455,24.63,19.16,46.55,46.66,3.9,2
ORD-1456,0.57,25.95,34.48,32.13,11.4,4
ORD-1457,23.43,2.35,33.83,21.06,15.8,1
ORD-1458,2.82,8.31,10.78,31.81,12.5,2
ORD-1459,5.94,36.9,32.94,39.28,10.3,2
ORD-1460,5.88,4.14,19.69,5.92,24.8,4
ORD-1461,32.46,30.16,32.56,20.5,22.1,2
ORD-1462,37.3,12.27,5.33,41.99,15.8,1
ORD-1463,29.17,19.46,32.89,19.19,14.4,4
ORD-1464,48.11,14.43,49.97,28.59,15.7,4
ORD-1465,18.74,17.78,2.41,29.39,5.4,1
ORD-1466,14.29,35.95,48.86,9.22,10.2,4
ORD-1467,43.43,14.86,20.35,18.11,1.5,2
ORD-1468,11.18,28.32,43.54,16.73,12.2,2
ORD-1469,48.16,23.8,39.12,1.31,13.8,1
ORD-1470,0.61,33.18,28.35,1.21,6.1,2
ORD-1471,48.49,46.84,36.92,41.58,24.1,1
ORD-1472,2.16,36.63,43.93,13.65,22.8,1
ORD-1473,44.56,10.75,20.21,25.9,18.2,2
ORD-1474,26.39,1.56,16.35,14.94,13.6,1
ORD-1475,49.65,13.11,33.38,47.03,21.8,2
ORD-1476,3.69,29.75,40.39,12.96,3.7,4
ORD-1477,27.69,2.57,38.11,21.48,19.9,4
ORD-1478,48.47,24.82,39.89,43.64,3.6,1
