applicant_id,age,gender,annual_income,credit_score,debt_to_income_ratio,employment_years,open_credit_lines,delinquencies_2yr,loan_amount,loan_purpose,default_status
APP-20122,28,Female,100998,589,0.206,0.1,12,0,12238,Major Purchase,0
APP-20123,32,Male,52702,740,0.285,4.9,7,0,24351,Credit Card Refinance,0
APP-20124,54,Male,52629,730,0.394,2.6,6,0,13413,Debt Consolidation,0
APP-20125,53,Female,44489,628,0.05,1.9,2,0,11093,Small Business,0
APP-20126,68,Male,46962,629,0.398,21.2,7,0,23536,Home Improvement,1
APP-20127,43,Female,104192,747,0.338,3.1,10,0,24025,Major Purchase,1
APP-20128,44,Female,86525,704,0.256,6.9,5,0,17756,Credit Card Refinance,1
APP-20129,57,Male,85520,553,0.371,1.0,3,1,18526,Small Business,1
APP-20130,55,Male,54258,657,0.427,0.1,14,0,19335,Major Purchase,1
APP-20131,64,Female,79941,654,0.443,2.7,5,0,16466,Credit Card Refinance,0
APP-20132,60,Male,30980,686,0.322,5.5,7,0,15781,Home Improvement,0
APP-20133,42,Male,67568,670,0.359,3.5,10,2,7155,Major Purchase,0
APP-20134,47,Female,45052,636,0.355,11.1,7,0,12154,Debt Consolidation,1
APP-20135,55,Female,18000,681,0.468,2.8,13,0,17934,Credit Card Refinance,1
APP-20136,21,Male,20489,640,0.366,1.9,10,0,34864,Major Purchase,1
APP-20137,55,Female,34042,850,0.397,12.4,9,0,8847,Major Purchase,0
APP-20138,57,Male,61594,677,0.427,2.6,9,0,14039,Credit Card Refinance,0
APP-20139,67,Female,34059,669,0.555,1.6,3,0,7649,Major Purchase,1
APP-20140,34,Female,35414,789,0.25,0.5,7,1,2000,Major Purchase,1
APP-20141,23,Female,74592,581,0.515,7.9,9,0,29083,Credit Card Refinance,1
APP-20142,21,Male,36125,662,0.617,8.7,5,2,22241,Home Improvement,1
APP-20143,25,Female,101920,608,0.257,0.2,6,0,28842,Debt Consolidation,1
APP-20144,46,Male,93043,711,0.294,2.2,4,0,2947,Credit Card Refinance,0
APP-20145,34,Female,49614,637,0.269,6.9,7,0,23056,Small Business,1
APP-20146,59,Male,74191,707,0.399,14.6,8,0,35105,Major Purchase,0
APP-20147,47,Male,68836,703,0.097,2.4,7,0,25672,Debt Consolidation,0
APP-20148,29,Male,42825,720,0.26,10.3,7,0,22522,Debt Consolidation,1
APP-20149,35,Female,78739,704,0.287,2.5,10,1,11848,Credit Card Refinance,0
APP-20150,35,Female,85382,655,0.277,1.0,7,0,29664,Small Business,0
APP-20151,46,Male,29032,579,0.275,0.0,7,0,12844,Small Business,1
APP-20152,62,Male,53340,735,0.261,2.0,6,0,22035,Home Improvement,0
APP-20153,33,Female,53017,761,0.413,2.4,13,0,9691,Small Business,1
APP-20154,71,Male,78220,609,0.385,14.5,3,0,17230,Credit Card Refinance,0
APP-20155,52,Male,38402,717,0.524,1.2,12,0,25813,Debt Consolidation,1
APP-20156,59,Female,35285,593,0.414,2.4,4,1,25228,Debt Consolidation,1
APP-20157,69,Female,53795,683,0.188,0.1,10,0,18139,Small Business,1
APP-20158,52,Female,93877,696,0.3,7.2,5,1,35218,Major Purchase,1
APP-20159,24,Male,25345,642,0.287,12.3,5,0,16321,Home Improvement,1
APP-20160,50,Male,27899,676,0.351,1.4,11,0,27165,Small Business,1
APP-20161,57,Female,36817,725,0.451,2.8,7,0,13499,Credit Card Refinance,0
APP-20162,43,Female,40602,662,0.342,0.7,5,0,8042,Home Improvement,1
APP-20163,59,Female,18563,626,0.343,3.1,6,0,16404,Small Business,1
APP-20164,65,Female,111748,590,0.321,0.7,3,0,4552,Home Improvement,0
APP-20165,35,Male,45630,644,0.417,3.7,9,2,20568,Major Purchase,1
APP-20166,63,Female,42021,593,0.252,6.6,8,0,18855,Credit Card Refinance,1
APP-20167,49,Male,119664,645,0.145,4.0,5,0,22935,Small Business,0
APP-20168,56,Male,72750,639,0.397,1.4,7,0,17888,Debt Consolidation,1
APP-20169,33,Female,36516,722,0.365,2.2,7,0,15613,Credit Card Refinance,0
APP-20170,52,Male,53665,674,0.479,5.1,9,1,18609,Major Purchase,0
APP-20171,27,Male,47908,835,0.05,4.5,7,0,27040,Major Purchase,0
APP-20172,71,Female,108726,539,0.308,0.7,9,0,26202,Debt Consolidation,1
APP-20173,42,Male,44708,690,0.333,9.3,5,0,28226,Credit Card Refinance,1
APP-20174,48,Female,22178,640,0.139,3.2,7,0,2000,Small Business,1
APP-20175,22,Male,18000,607,0.31,0.9,9,0,26558,Debt Consolidation,1
APP-20176,62,Female,110341,668,0.462,0.7,5,0,23577,Small Business,1
APP-20177,65,Male,31769,663,0.57,16.8,8,0,34374,Home Improvement,0
APP-20178,26,Male,70870,740,0.438,1.7,6,0,13795,Small Business,0
APP-20179,48,Female,50994,675,0.281,12.0,8,1,15582,Home Improvement,0
APP-20180,48,Female,38981,624,0.471,2.6,5,0,20121,Small Business,1
APP-20181,64,Male,42492,691,0.429,2.4,10,0,2000,Home Improvement,1
APP-20182,64,Male,117108,655,0.262,6.0,9,0,2000,Credit Card Refinance,1
APP-20183,40,Female,22105,596,0.25,0.0,5,0,20506,Major Purchase,1
APP-20184,50,Female,39634,653,0.3,2.1,5,0,8728,Credit Card Refinance,1
APP-20185,31,Female,80709,685,0.194,1.8,7,0,7293,Debt Consolidation,0
APP-20186,48,Female,24203,674,0.283,10.1,4,0,22334,Credit Card Refinance,1
APP-20187,45,Male,101164,691,0.378,3.8,9,0,5298,Credit Card Refinance,0
APP-20188,59,Male,80076,635,0.445,2.3,5,0,23583,Major Purchase,1
APP-20189,53,Female,56924,690,0.275,1.5,9,0,11069,Credit Card Refinance,0
APP-20190,21,Male,37170,677,0.487,4.5,4,0,10736,Debt Consolidation,0
APP-20191,47,Male,22553,678,0.398,0.8,4,0,20881,Credit Card Refinance,1
APP-20192,33,Female,72321,672,0.403,1.4,9,0,8102,Credit Card Refinance,1
APP-20193,61,Female,222293,811,0.21,1.7,5,1,31862,Credit Card Refinance,0
APP-20194,23,Female,53116,742,0.537,4.7,2,0,17157,Credit Card Refinance,0
APP-20195,59,Female,18000,689,0.386,2.3,6,1,17857,Major Purchase,1
APP-20196,26,Female,63046,617,0.28,3.5,7,0,23060,Major Purchase,1
APP-20197,28,Male,78680,650,0.259,5.3,7,0,26567,Debt Consolidation,1
APP-20198,47,Male,29589,775,0.283,15.6,7,0,13809,Debt Consolidation,0
APP-20199,29,Male,34370,633,0.198,7.2,1,0,23536,Debt Consolidation,0
APP-20200,57,Male,32498,659,0.439,2.6,7,0,24013,Credit Card Refinance,1
APP-20201,53,Female,36598,655,0.21,6.9,2,1,29737,Small Business,1
APP-20202,71,Male,44592,693,0.355,14.9,7,0,14248,Credit Card Refinance,0
APP-20203,62,Male,30531,641,0.266,3.5,9,0,24018,Small Business,0
APP-20204,64,Male,24841,681,0.4,2.6,11,0,22566,Debt Consolidation,1
APP-20205,44,Male,53955,643,0.417,0.4,11,0,21415,Credit Card Refinance,1
APP-20206,35,Male,44335,755,0.243,11.1,8,0,2000,Debt Consolidation,0
APP-20207,52,Male,38563,625,0.316,1.4,9,1,28056,Major Purchase,1
APP-20208,52,Male,51315,733,0.147,0.3,5,1,26315,Debt Consolidation,1
APP-20209,44,Male,21245,631,0.524,3.9,2,0,23279,Credit Card Refinance,1
APP-20210,61,Male,56656,614,0.448,9.4,2,0,13128,Major Purchase,1
APP-20211,69,Female,39002,624,0.153,2.6,6,0,31182,Major Purchase,1
APP-20212,69,Male,55922,558,0.216,7.6,9,0,17536,Small Business,0
APP-20213,32,Male,61071,698,0.304,9.1,6,0,21891,Home Improvement,0
APP-20214,59,Female,91320,594,0.325,3.0,3,0,8838,Major Purchase,1
APP-20215,22,Male,51876,646,0.238,4.5,12,2,15490,Home Improvement,1
APP-20216,23,Female,88141,719,0.183,3.8,9,0,18540,Debt Consolidation,1
APP-20217,69,Female,41066,717,0.367,14.0,7,0,10953,Debt Consolidation,1
APP-20218,57,Male,42158,576,0.529,6.5,5,0,12723,Major Purchase,1
APP-20219,69,Female,46629,690,0.327,13.0,10,0,22287,Small Business,1
APP-20220,37,Male,75039,744,0.285,1.2,8,0,26366,Debt Consolidation,0
APP-20221,69,Female,69357,628,0.272,1.9,2,0,6347,Home Improvement,1
APP-20222,22,Male,52801,703,0.188,0.4,4,0,36368,Major Purchase,1
APP-20223,22,Female,24952,595,0.239,3.5,7,0,11079,Major Purchase,1
APP-20224,48,Male,68677,695,0.456,10.4,9,2,9717,Small Business,1
APP-20225,43,Male,30522,678,0.071,2.0,9,0,30244,Major Purchase,0
APP-20226,57,Female,29621,712,0.328,0.7,6,0,23515,Credit Card Refinance,1
APP-20227,52,Male,26208,708,0.323,0.4,6,0,25774,Home Improvement,0
APP-20228,53,Male,46828,582,0.334,3.0,10,0,11244,Credit Card Refinance,1
APP-20229,21,Female,95458,678,0.407,0.9,6,0,21614,Credit Card Refinance,1
APP-20230,39,Female,28826,764,0.327,2.1,7,0,38450,Home Improvement,0
APP-20231,22,Male,123403,527,0.266,8.6,6,0,11172,Major Purchase,1
APP-20232,64,Female,80853,732,0.241,2.4,6,0,23854,Major Purchase,0
APP-20233,46,Female,21904,774,0.476,4.7,7,1,11804,Credit Card Refinance,0
APP-20234,52,Female,39714,573,0.445,3.5,7,0,9643,Home Improvement,1
APP-20235,26,Male,27663,626,0.65,6.3,5,0,16013,Debt Consolidation,1
APP-20236,52,Female,70666,703,0.286,0.8,9,0,17754,Home Improvement,0
APP-20237,24,Male,28467,612,0.243,12.7,9,0,16648,Credit Card Refinance,1
APP-20238,31,Female,20098,758,0.374,5.2,6,0,17423,Home Improvement,0
APP-20239,37,Male,40980,738,0.371,1.6,6,0,35613,Home Improvement,0
APP-20240,58,Male,93261,579,0.396,0.7,6,0,31662,Debt Consolidation,1
APP-20241,44,Female,44095,621,0.422,0.8,7,0,19397,Small Business,1
APP-20242,25,Male,61031,720,0.395,7.6,5,0,18765,Small Business,1
APP-20243,54,Female,62347,717,0.449,4.4,4,0,29613,Debt Consolidation,0
APP-20244,26,Female,21338,814,0.465,2.4,4,1,23884,Home Improvement,1
APP-20245,42,Female,29891,612,0.467,2.0,7,2,20131,Credit Card Refinance,1
APP-20246,31,Male,49195,764,0.05,9.7,7,0,35972,Debt Consolidation,1
APP-20247,68,Female,36078,610,0.348,10.4,16,0,11098,Small Business,1
APP-20248,36,Male,125172,702,0.209,4.4,7,1,17894,Small Business,0
APP-20249,53,Male,24944,728,0.447,3.7,5,0,16902,Debt Consolidation,0
APP-20250,29,Female,29729,475,0.05,8.5,5,1,21749,Home Improvement,1
APP-20251,26,Male,57514,729,0.496,6.9,8,1,9544,Major Purchase,0
APP-20252,36,Male,34705,759,0.216,2.6,6,0,21774,Credit Card Refinance,0
APP-20253,49,Female,18000,741,0.189,0.4,4,0,15818,Major Purchase,0
APP-20254,23,Male,142069,803,0.363,7.3,13,1,26291,Credit Card Refinance,1
APP-20255,40,Male,27149,732,0.275,0.9,8,0,15500,Major Purchase,0
APP-20256,56,Female,66735,635,0.534,0.1,10,0,13428,Major Purchase,1
APP-20257,39,Male,24603,750,0.484,9.3,7,0,23525,Credit Card Refinance,1
APP-20258,46,Female,30495,631,0.259,4.3,3,0,18901,Credit Card Refinance,1
APP-20259,23,Female,20078,675,0.445,11.1,3,1,15927,Small Business,1
APP-20260,39,Female,32609,724,0.255,3.3,7,0,16429,Home Improvement,0
APP-20261,40,Female,34394,699,0.254,13.1,8,0,14139,Home Improvement,0
APP-20262,52,Male,45573,757,0.406,2.2,4,1,34491,Small Business,0
APP-20263,27,Male,39938,831,0.495,6.4,3,1,22393,Major Purchase,0
APP-20264,61,Female,22184,596,0.267,1.8,9,1,24144,Credit Card Refinance,1
APP-20265,53,Female,36748,648,0.276,0.0,9,0,22172,Debt Consolidation,1
APP-20266,60,Female,108646,690,0.356,2.4,6,3,20255,Major Purchase,1
APP-20267,59,Male,101784,639,0.213,6.7,6,0,14647,Home Improvement,0
APP-20268,38,Male,62983,665,0.508,0.8,5,1,12470,Credit Card Refinance,1
APP-20269,60,Male,70594,720,0.212,3.5,8,0,14612,Small Business,0
APP-20270,21,Female,152276,711,0.244,1.2,4,2,23283,Major Purchase,1
APP-20271,31,Male,67116,686,0.532,0.4,7,0,14541,Debt Consolidation,1
APP-20272,48,Female,69863,679,0.346,4.8,8,0,28362,Major Purchase,0
APP-20273,45,Female,20732,655,0.553,15.2,8,0,31555,Small Business,1
APP-20274,70,Male,26583,761,0.294,1.9,6,1,4161,Debt Consolidation,1
APP-20275,43,Female,48147,778,0.622,4.3,6,1,30818,Major Purchase,1
APP-20276,51,Male,31442,736,0.394,15.4,12,0,9125,Small Business,0
APP-20277,50,Female,28314,595,0.23,5.3,5,0,15905,Major Purchase,1
APP-20278,62,Female,30171,652,0.228,5.6,5,1,19198,Credit Card Refinance,1
APP-20279,55,Female,22404,682,0.145,1.0,13,0,2000,Major Purchase,1
APP-20280,27,Female,31721,608,0.158,3.4,9,0,12510,Small Business,0
APP-20281,36,Male,59082,675,0.241,2.3,5,0,19358,Home Improvement,1
APP-20282,46,Male,131660,671,0.201,3.2,7,0,8232,Small Business,0
APP-20283,68,Female,75988,740,0.05,8.1,9,0,7891,Major Purchase,0
APP-20284,69,Male,69555,637,0.421,3.1,6,0,32840,Credit Card Refinance,1
APP-20285,22,Male,20071,745,0.413,0.3,12,0,19064,Home Improvement,1
APP-20286,21,Male,52345,607,0.357,11.8,4,0,26090,Small Business,0
APP-20287,68,Female,47248,616,0.184,3.9,6,0,33434,Home Improvement,0
APP-20288,32,Male,57521,645,0.518,12.9,6,0,24506,Credit Card Refinance,1
APP-20289,25,Female,40199,673,0.299,4.2,5,0,13997,Debt Consolidation,1
APP-20290,57,Female,122288,512,0.22,0.4,6,0,13245,Home Improvement,1
APP-20291,52,Male,50464,699,0.348,4.0,13,0,22287,Small Business,1
APP-20292,29,Male,53243,781,0.341,4.3,14,0,23567,Credit Card Refinance,0
APP-20293,61,Male,18000,712,0.05,1.2,7,0,20123,Small Business,0
APP-20294,55,Female,46227,656,0.316,3.2,4,0,24161,Credit Card Refinance,0
APP-20295,39,Male,92234,599,0.334,3.1,9,0,17065,Small Business,1
APP-20296,68,Male,66540,552,0.275,4.9,9,2,18114,Credit Card Refinance,1
APP-20297,36,Male,18000,563,0.161,1.5,10,0,14632,Major Purchase,1
APP-20298,23,Female,38279,661,0.165,4.4,11,0,11074,Small Business,0
APP-20299,40,Male,127076,806,0.382,1.4,3,2,10903,Credit Card Refinance,0
APP-20300,44,Female,45123,493,0.411,3.0,7,0,15056,Debt Consolidation,1
APP-20301,53,Female,58531,715,0.266,0.7,3,0,23895,Credit Card Refinance,0
APP-20302,44,Male,119426,625,0.366,0.2,10,0,18279,Debt Consolidation,1
APP-20303,31,Female,45024,648,0.265,1.9,7,0,14642,Home Improvement,1
APP-20304,69,Male,75740,609,0.218,1.6,10,0,15928,Credit Card Refinance,1
APP-20305,28,Female,61467,581,0.346,2.6,9,0,3483,Home Improvement,1
APP-20306,56,Female,69136,678,0.182,16.3,8,1,13748,Home Improvement,0
APP-20307,58,Female,60389,687,0.547,3.7,8,1,24079,Major Purchase,1
APP-20308,60,Male,36272,713,0.147,4.0,8,0,8757,Credit Card Refinance,0
APP-20309,40,Male,38319,560,0.354,14.2,4,0,5491,Major Purchase,1
APP-20310,55,Male,30637,726,0.338,12.7,5,0,8183,Major Purchase,0
APP-20311,68,Male,19893,727,0.327,10.8,5,0,14056,Home Improvement,1
APP-20312,45,Male,97196,697,0.498,0.5,7,0,17496,Small Business,1
APP-20313,55,Male,49293,642,0.05,5.0,11,0,19856,Home Improvement,0
APP-20314,45,Male,94540,690,0.369,8.3,7,2,23638,Home Improvement,1
APP-20315,49,Male,115954,659,0.287,9.0,5,0,16045,Debt Consolidation,0
APP-20316,38,Female,50482,732,0.39,4.3,9,0,23833,Small Business,0
APP-20317,66,Male,23803,646,0.327,0.1,7,1,8445,Home Improvement,1
APP-20318,38,Male,44006,677,0.311,18.2,9,0,27615,Small Business,1
APP-20319,22,Male,33889,557,0.175,3.2,5,0,20873,Debt Consolidation,1
APP-20320,55,Male,18000,689,0.239,2.5,9,0,2000,Small Business,1
APP-20321,36,Female,37199,621,0.65,2.5,5,0,18860,Credit Card Refinance,1
APP-20322,61,Male,47129,703,0.391,2.8,11,0,36539,Debt Consolidation,1
APP-20323,56,Female,34412,721,0.446,1.4,10,0,34403,Small Business,1
APP-20324,53,Female,32069,630,0.278,2.0,5,0,17855,Major Purchase,1
APP-20325,24,Female,24278,672,0.217,21.1,6,0,22780,Small Business,0
APP-20326,53,Female,54598,681,0.413,2.3,7,1,9109,Debt Consolidation,1
APP-20327,34,Female,137049,693,0.092,3.7,7,0,7775,Major Purchase,0
APP-20328,41,Female,99036,721,0.242,9.4,9,0,16486,Small Business,0
APP-20329,68,Female,70227,712,0.277,3.7,2,0,14099,Small Business,0
APP-20330,40,Female,71073,645,0.433,2.0,8,0,19187,Debt Consolidation,0
APP-20331,28,Female,45571,773,0.37,3.7,11,0,23031,Major Purchase,1
APP-20332,27,Female,18169,718,0.263,0.6,6,1,22733,Major Purchase,1
APP-20333,23,Female,40007,761,0.364,0.7,6,0,26160,Small Business,1
APP-20334,37,Male,28764,692,0.284,5.9,3,0,22056,Credit Card Refinance,0
APP-20335,53,Male,53374,696,0.448,12.5,6,0,27025,Debt Consolidation,1
APP-20336,68,Male,96593,662,0.348,6.5,7,0,26230,Debt Consolidation,1
APP-20337,32,Male,145128,641,0.528,0.4,11,0,16462,Home Improvement,1
APP-20338,71,Male,50794,733,0.287,2.6,8,0,2000,Major Purchase,1
APP-20339,42,Male,19595,687,0.467,0.0,6,0,8230,Major Purchase,1
APP-20340,42,Female,50740,661,0.331,3.6,6,0,22712,Home Improvement,1
