customer_id,recency_days,frequency_orders,monetary_value_usd,true_segment
CUST-1065,27,6,413.37,Potential
CUST-1066,2,15,3504.65,Champions
CUST-1067,185,7,913.5,At-Risk
CUST-1068,13,25,2975.7,Champions
CUST-1069,339,1,135.3,Hibernating
CUST-1070,132,9,485.89,At-Risk
CUST-1071,45,8,1776.93,Loyal
CUST-1072,5,30,2862.44,Champions
CUST-1073,215,6,749.6,At-Risk
CUST-1074,145,10,746.65,At-Risk
CUST-1075,169,11,824.38,At-Risk
CUST-1076,186,7,581.41,At-Risk
CUST-1077,5,18,3575.65,Champions
CUST-1078,43,9,1685.16,Loyal
CUST-1079,18,16,3455.2,Champions
CUST-1080,205,10,558.28,At-Risk
CUST-1081,26,4,423.03,Potential
CUST-1082,42,11,1562.44,Loyal
CUST-1083,5,34,3655.49,Champions
CUST-1084,16,10,1236.13,Loyal
CUST-1085,53,10,1517.54,Loyal
CUST-1086,154,8,896.17,At-Risk
CUST-1087,79,4,519.51,Potential
CUST-1088,370,1,62.28,Hibernating
CUST-1089,71,5,445.19,Potential
CUST-1090,18,19,3465.68,Champions
CUST-1091,131,8,1201.48,At-Risk
CUST-1092,131,8,1016.26,At-Risk
CUST-1093,21,5,470.0,Potential
CUST-1094,137,8,981.29,At-Risk
CUST-1095,79,6,429.99,Potential
CUST-1096,47,4,158.19,Potential
CUST-1097,68,2,438.32,Potential
CUST-1098,13,30,2837.4,Champions
CUST-1099,8,34,3154.51,Champions
CUST-1100,11,12,2718.5,Champions
CUST-1101,30,5,605.86,Potential
CUST-1102,29,8,1085.93,Loyal
CUST-1103,77,6,514.4,Potential
CUST-1104,440,2,78.08,Hibernating
CUST-1105,42,6,1356.58,Loyal
CUST-1106,27,2,424.64,Potential
CUST-1107,211,10,870.65,At-Risk
CUST-1108,24,10,1378.08,Loyal
CUST-1109,2,33,2559.79,Champions
CUST-1110,27,10,1412.3,Loyal
CUST-1111,46,7,1648.84,Loyal
CUST-1112,190,2,132.27,Hibernating
CUST-1113,148,9,847.41,At-Risk
CUST-1114,41,5,391.94,Potential
CUST-1115,121,6,817.14,At-Risk
CUST-1116,202,11,1086.55,At-Risk
CUST-1117,26,14,1291.94,Loyal
CUST-1118,197,1,100.05,Hibernating
CUST-1119,27,5,642.88,Potential
CUST-1120,175,9,999.92,At-Risk
CUST-1121,229,1,83.95,Hibernating
CUST-1122,29,8,1272.74,Loyal
CUST-1123,11,16,2635.91,Champions
CUST-1124,47,13,1142.35,Loyal
CUST-1125,42,6,479.28,Potential
CUST-1126,119,10,1150.49,At-Risk
CUST-1127,200,11,951.26,At-Risk
CUST-1128,10,27,3557.99,Champions
CUST-1129,22,2,542.34,Potential
CUST-1130,23,4,604.56,Potential
CUST-1131,57,14,1273.16,Loyal
CUST-1132,10,32,3631.9,Champions
CUST-1133,41,7,1833.95,Loyal
CUST-1134,291,1,175.56,Hibernating
CUST-1135,56,15,2187.53,Loyal
CUST-1136,77,5,355.81,Potential
CUST-1137,210,7,1062.07,At-Risk
CUST-1138,25,8,1368.18,Loyal
CUST-1139,390,1,158.88,Hibernating
CUST-1140,365,2,172.55,Hibernating
CUST-1141,24,13,1024.93,Loyal
CUST-1142,45,6,402.72,Potential
CUST-1143,59,9,1276.45,Loyal
CUST-1144,31,12,1408.71,Loyal
CUST-1145,3,16,3845.19,Champions
CUST-1146,77,5,697.38,Potential
CUST-1147,53,3,595.0,Potential
CUST-1148,19,30,2709.08,Champions
CUST-1149,36,13,1398.99,Loyal
CUST-1150,288,2,137.86,Hibernating
CUST-1151,45,9,1686.59,Loyal
CUST-1152,19,27,2657.29,Champions
CUST-1153,74,2,413.63,Potential
CUST-1154,325,1,129.2,Hibernating
CUST-1155,25,14,990.36,Loyal
CUST-1156,64,2,673.42,Potential
CUST-1157,136,6,630.83,At-Risk
CUST-1158,29,11,1491.13,Loyal
CUST-1159,227,5,555.83,At-Risk
CUST-1160,17,6,1906.1,Loyal
CUST-1161,89,2,650.87,Potential
CUST-1162,70,6,379.99,Potential
CUST-1163,83,6,293.89,Potential
CUST-1164,17,32,2498.05,Champions
CUST-1165,159,5,181.93,At-Risk
CUST-1166,18,12,1317.73,Loyal
CUST-1167,34,13,1100.21,Loyal
CUST-1168,4,32,2614.17,Champions
CUST-1169,54,5,342.91,Potential
CUST-1170,33,3,559.63,Potential
CUST-1171,10,24,2718.09,Champions
CUST-1172,89,5,470.87,Potential
CUST-1173,57,9,1349.22,Loyal
CUST-1174,76,6,159.09,Potential
CUST-1175,21,11,1665.21,Loyal
CUST-1176,34,3,492.15,Potential
CUST-1177,38,12,1906.97,Loyal
CUST-1178,333,2,131.7,Hibernating
CUST-1179,5,32,3952.61,Champions
CUST-1180,32,10,1066.88,Loyal
CUST-1181,17,30,3540.23,Champions
CUST-1182,340,2,85.71,Hibernating
CUST-1183,160,9,1307.33,At-Risk
CUST-1184,47,6,1703.62,Loyal
CUST-1185,58,2,175.9,Potential
CUST-1186,106,5,879.34,At-Risk
CUST-1187,84,3,350.52,Potential
CUST-1188,24,3,315.08,Potential
CUST-1189,24,7,1595.06,Loyal
CUST-1190,16,27,4179.59,Champions
CUST-1191,255,2,99.56,Hibernating
CUST-1192,238,2,24.67,Hibernating
CUST-1193,40,5,445.62,Potential
CUST-1194,40,9,1436.8,Loyal
CUST-1195,54,10,1887.4,Loyal
CUST-1196,168,9,775.63,At-Risk
CUST-1197,347,2,82.46,Hibernating
CUST-1198,205,1,145.32,Hibernating
CUST-1199,186,5,880.54,At-Risk
CUST-1200,25,5,185.52,Potential
CUST-1201,11,30,2577.53,Champions
CUST-1202,19,8,1241.81,Loyal
CUST-1203,187,2,89.51,Hibernating
CUST-1204,60,5,336.79,Potential
CUST-1205,9,26,2525.66,Champions
CUST-1206,15,27,3229.2,Champions
CUST-1207,79,5,564.82,Potential
CUST-1208,6,23,3428.05,Champions
CUST-1209,59,8,1064.41,Loyal
CUST-1210,46,3,453.28,Potential
CUST-1211,20,6,296.02,Potential
CUST-1212,51,5,383.92,Potential
CUST-1213,44,11,1683.29,Loyal
CUST-1214,199,9,685.16,At-Risk
CUST-1215,15,12,1742.72,Loyal
CUST-1216,35,7,1043.3,Loyal
CUST-1217,116,8,836.19,At-Risk
CUST-1218,44,4,665.15,Potential
CUST-1219,215,9,955.99,At-Risk
CUST-1220,24,4,490.62,Potential
CUST-1221,69,4,414.55,Potential
CUST-1222,12,22,3366.03,Champions
CUST-1223,23,10,1619.64,Loyal
CUST-1224,38,7,1440.26,Loyal
CUST-1225,44,15,1433.84,Loyal
CUST-1226,335,2,119.75,Hibernating
CUST-1227,49,9,1262.27,Loyal
CUST-1228,213,1,78.64,Hibernating
CUST-1229,76,2,523.04,Potential
CUST-1230,158,7,1000.93,At-Risk
CUST-1231,54,2,447.1,Potential
CUST-1232,35,3,593.36,Potential
CUST-1233,47,2,315.43,Potential
CUST-1234,34,6,1247.24,Loyal
CUST-1235,156,7,1094.38,At-Risk
CUST-1236,39,11,1221.69,Loyal
CUST-1237,14,31,3084.61,Champions
CUST-1238,33,5,492.08,Potential
CUST-1239,49,7,1546.76,Loyal
CUST-1240,294,1,94.83,Hibernating
CUST-1241,225,2,64.45,Hibernating
CUST-1242,321,2,71.93,Hibernating
CUST-1243,33,9,1308.91,Loyal
CUST-1244,17,19,3399.19,Champions
CUST-1245,394,2,117.62,Hibernating
CUST-1246,67,2,511.57,Potential
CUST-1247,380,2,99.62,Hibernating
CUST-1248,352,1,150.13,Hibernating
CUST-1249,213,10,1414.21,At-Risk
CUST-1250,33,9,1501.85,Loyal
CUST-1251,50,13,1206.27,Loyal
CUST-1252,119,4,895.15,At-Risk
CUST-1253,39,10,1309.05,Loyal
CUST-1254,49,14,1715.03,Loyal
CUST-1255,87,4,346.33,Potential
CUST-1256,247,2,127.13,Hibernating
CUST-1257,60,6,557.9,Potential
CUST-1258,81,2,383.03,Potential
CUST-1259,11,25,2184.73,Champions
CUST-1260,69,6,361.95,Potential
CUST-1261,351,1,111.44,Hibernating
CUST-1262,9,20,3785.12,Champions
CUST-1263,84,6,510.13,Potential
CUST-1264,176,10,619.89,At-Risk
CUST-1265,236,5,872.52,At-Risk
CUST-1266,71,6,621.86,Potential
CUST-1267,221,10,832.12,At-Risk
CUST-1268,21,9,1323.02,Loyal
CUST-1269,36,7,679.17,Loyal
CUST-1270,180,10,1126.71,At-Risk
CUST-1271,234,8,846.13,At-Risk
CUST-1272,101,9,844.95,At-Risk
CUST-1273,321,1,27.29,Hibernating
CUST-1274,67,6,748.14,Potential
CUST-1275,80,2,365.64,Potential
CUST-1276,135,4,822.7,At-Risk
CUST-1277,68,3,359.74,Potential
CUST-1278,196,9,859.97,At-Risk
CUST-1279,126,4,1067.84,At-Risk
CUST-1280,220,1,97.24,Hibernating
CUST-1281,53,12,1161.19,Loyal
CUST-1282,55,12,1970.36,Loyal
CUST-1283,19,22,3163.6,Champions
CUST-1284,65,6,284.68,Potential
CUST-1285,12,19,2085.2,Champions
CUST-1286,80,6,550.98,Potential
CUST-1287,52,6,310.15,Potential
CUST-1288,40,12,1643.21,Loyal
CUST-1289,68,5,514.22,Potential
CUST-1290,18,29,3038.88,Champions
CUST-1291,4,29,2665.28,Champions
CUST-1292,236,10,1280.35,At-Risk
CUST-1293,47,15,1252.72,Loyal
CUST-1294,19,26,2884.22,Champions
CUST-1295,48,2,630.7,Potential
CUST-1296,140,6,913.89,At-Risk
CUST-1297,23,14,2164.05,Loyal
CUST-1298,58,5,504.2,Potential
CUST-1299,2,17,2555.06,Champions
CUST-1300,3,27,3390.17,Champions
CUST-1301,84,6,678.11,Potential
CUST-1302,81,2,429.04,Potential
CUST-1303,43,2,271.8,Potential
CUST-1304,127,7,1161.99,At-Risk
CUST-1305,278,1,96.58,Hibernating
CUST-1306,72,3,280.84,Potential
CUST-1307,46,8,1539.49,Loyal
CUST-1308,168,4,445.17,At-Risk
CUST-1309,46,15,1192.04,Loyal
CUST-1310,76,5,519.22,Potential
CUST-1311,2,16,1764.97,Champions
CUST-1312,7,15,3107.32,Champions
CUST-1313,381,2,127.22,Hibernating
CUST-1314,235,7,1009.11,At-Risk
CUST-1315,57,6,609.16,Potential
CUST-1316,27,3,482.62,Potential
CUST-1317,52,6,1747.43,Loyal
CUST-1318,45,9,1065.58,Loyal
CUST-1319,40,11,1429.3,Loyal
CUST-1320,83,4,418.94,Potential
CUST-1321,119,5,1299.66,At-Risk
CUST-1322,56,3,393.03,Potential
CUST-1323,20,9,713.98,Loyal
CUST-1324,380,1,118.08,Hibernating
CUST-1325,215,7,705.52,At-Risk
CUST-1326,36,6,447.8,Potential
CUST-1327,32,3,497.67,Potential
CUST-1328,72,4,398.01,Potential
CUST-1329,48,8,1705.98,Loyal
CUST-1330,35,10,1418.33,Loyal
CUST-1331,218,7,1023.49,At-Risk
CUST-1332,3,24,3076.83,Champions
CUST-1333,19,28,4600.5,Champions
CUST-1334,3,29,3860.58,Champions
CUST-1335,19,16,4375.01,Champions
CUST-1336,174,11,892.46,At-Risk
CUST-1337,207,6,758.07,At-Risk
CUST-1338,83,4,480.45,Potential
CUST-1339,13,26,3480.62,Champions
CUST-1340,31,6,489.22,Potential
CUST-1341,24,2,645.48,Potential
CUST-1342,34,14,1362.61,Loyal
CUST-1343,67,5,309.29,Potential
CUST-1344,58,9,1476.58,Loyal
CUST-1345,52,4,575.51,Potential
CUST-1346,83,2,613.52,Potential
CUST-1347,14,29,2701.1,Champions
CUST-1348,42,8,1855.26,Loyal
CUST-1349,26,6,653.44,Potential
CUST-1350,54,2,283.84,Potential
CUST-1351,161,6,1140.77,At-Risk
CUST-1352,82,4,521.23,Potential
CUST-1353,45,12,517.88,Loyal
CUST-1354,16,29,4374.24,Champions
CUST-1355,62,4,421.03,Potential
CUST-1356,10,21,4055.56,Champions
CUST-1357,85,2,606.99,Potential
CUST-1358,331,1,148.13,Hibernating
CUST-1359,49,4,511.57,Potential
CUST-1360,15,9,1554.51,Loyal
CUST-1361,56,6,535.88,Potential
CUST-1362,27,6,506.01,Potential
CUST-1363,20,5,508.32,Potential
CUST-1364,214,2,101.1,Hibernating
CUST-1365,48,9,1138.25,Loyal
CUST-1366,254,1,194.38,Hibernating
CUST-1367,352,2,141.38,Hibernating
CUST-1368,48,8,831.92,Loyal
CUST-1369,8,28,3327.98,Champions
CUST-1370,2,21,3118.13,Champions
CUST-1371,2,13,2229.3,Champions
CUST-1372,13,26,3455.9,Champions
CUST-1373,86,4,409.31,Potential
CUST-1374,7,32,3303.27,Champions
CUST-1375,44,10,1760.79,Loyal
CUST-1376,102,8,798.38,At-Risk
CUST-1377,17,34,2370.28,Champions
CUST-1378,112,11,1446.87,At-Risk
CUST-1379,22,11,1012.89,Loyal
CUST-1380,18,25,2261.05,Champions
CUST-1381,72,5,423.94,Potential
CUST-1382,78,3,315.23,Potential
CUST-1383,123,5,818.94,At-Risk
CUST-1384,187,10,743.45,At-Risk
CUST-1385,185,9,903.84,At-Risk
CUST-1386,52,6,1142.47,Loyal
CUST-1387,25,14,1737.68,Loyal
CUST-1388,154,6,1082.17,At-Risk
CUST-1389,189,5,777.95,At-Risk
CUST-1390,320,1,100.95,Hibernating
CUST-1391,70,6,540.73,Potential
CUST-1392,31,15,1423.5,Loyal
CUST-1393,149,6,761.28,At-Risk
CUST-1394,39,13,1147.28,Loyal
CUST-1395,392,1,126.42,Hibernating
CUST-1396,102,8,922.16,At-Risk
CUST-1397,40,5,473.68,Potential
CUST-1398,229,8,865.14,At-Risk
CUST-1399,137,10,787.45,At-Risk
CUST-1400,9,14,2335.11,Champions
CUST-1401,406,2,101.62,Hibernating
CUST-1402,32,3,190.23,Potential
CUST-1403,219,11,1234.66,At-Risk
CUST-1404,23,14,1517.74,Loyal
CUST-1405,279,1,135.18,Hibernating
CUST-1406,37,7,1601.87,Loyal
CUST-1407,4,29,3101.35,Champions
CUST-1408,182,2,96.26,Hibernating
CUST-1409,1,15,4378.82,Champions
CUST-1410,35,8,1700.63,Loyal
CUST-1411,233,2,130.69,Hibernating
CUST-1412,232,2,121.94,Hibernating
CUST-1413,32,6,373.81,Potential
CUST-1414,43,3,423.84,Potential
CUST-1415,36,5,133.34,Potential
CUST-1416,38,14,1406.74,Loyal
CUST-1417,52,6,1564.14,Loyal
CUST-1418,47,2,502.62,Potential
CUST-1419,116,9,904.9,At-Risk
CUST-1420,223,10,925.46,At-Risk
CUST-1421,146,9,1287.26,At-Risk
CUST-1422,12,27,4329.42,Champions
CUST-1423,26,5,544.36,Potential
CUST-1424,15,30,3602.13,Champions
CUST-1425,64,4,531.24,Potential
CUST-1426,23,4,487.45,Potential
CUST-1427,405,2,116.0,Hibernating
CUST-1428,27,12,1654.73,Loyal
CUST-1429,8,20,4263.67,Champions
CUST-1430,5,31,3522.25,Champions
CUST-1431,117,9,912.91,At-Risk
CUST-1432,36,4,542.2,Potential
CUST-1433,10,24,4068.72,Champions
CUST-1434,19,22,3212.83,Champions
CUST-1435,157,10,994.43,At-Risk
CUST-1436,11,22,3945.91,Champions
CUST-1437,146,10,675.3,At-Risk
CUST-1438,115,4,898.79,At-Risk
CUST-1439,9,22,3663.81,Champions
CUST-1440,1,29,3821.35,Champions
CUST-1441,403,1,78.57,Hibernating
CUST-1442,35,10,1596.4,Loyal
CUST-1443,32,15,1455.4,Loyal
CUST-1444,135,8,1472.24,At-Risk
CUST-1445,185,1,47.73,Hibernating
CUST-1446,187,2,122.06,Hibernating
CUST-1447,164,8,1071.99,At-Risk
CUST-1448,25,11,1485.78,Loyal
CUST-1449,16,23,2708.6,Champions
CUST-1450,228,8,1406.08,At-Risk
CUST-1451,74,3,286.42,Potential
CUST-1452,45,5,514.22,Potential
CUST-1453,304,2,140.38,Hibernating
CUST-1454,17,22,3515.59,Champions
CUST-1455,53,6,435.4,Potential
CUST-1456,10,19,2762.55,Champions
CUST-1457,84,4,575.75,Potential
CUST-1458,7,28,3339.29,Champions
CUST-1459,12,20,2478.12,Champions
CUST-1460,5,21,2870.51,Champions
CUST-1461,47,3,602.36,Potential
CUST-1462,193,5,1246.91,At-Risk
CUST-1463,41,6,457.93,Potential
CUST-1464,334,1,145.35,Hibernating
CUST-1465,59,15,1334.67,Loyal
CUST-1466,50,14,1397.84,Loyal
CUST-1467,178,8,1053.76,At-Risk
CUST-1468,21,6,1180.68,Loyal
CUST-1469,273,1,119.68,Hibernating
CUST-1470,3,28,2177.18,Champions
CUST-1471,196,2,93.1,Hibernating
CUST-1472,13,31,3946.81,Champions
CUST-1473,261,2,33.35,Hibernating
CUST-1474,84,3,508.46,Potential
CUST-1475,372,1,136.3,Hibernating
CUST-1476,2,24,2981.27,Champions
CUST-1477,30,4,274.61,Potential
CUST-1478,328,1,147.05,Hibernating
CUST-1479,79,3,393.17,Potential
CUST-1480,59,6,619.33,Potential
CUST-1481,34,3,401.35,Potential
CUST-1482,27,2,539.53,Potential
CUST-1483,65,5,255.0,Potential
CUST-1484,87,3,451.34,Potential
CUST-1485,374,1,138.39,Hibernating
CUST-1486,8,15,3822.23,Champions
CUST-1487,56,9,1622.18,Loyal
CUST-1488,360,2,124.74,Hibernating
CUST-1489,433,1,102.82,Hibernating
CUST-1490,81,2,368.92,Potential
CUST-1491,29,6,454.1,Potential
CUST-1492,34,8,1221.86,Loyal
CUST-1493,50,14,1110.27,Loyal
CUST-1494,88,6,242.9,Potential
CUST-1495,51,14,1196.73,Loyal
CUST-1496,46,4,394.77,Potential
CUST-1497,15,33,2518.72,Champions
CUST-1498,407,1,138.21,Hibernating
CUST-1499,328,2,79.95,Hibernating
CUST-1500,35,4,629.68,Potential
CUST-1501,51,4,389.45,Potential
CUST-1502,48,14,1632.58,Loyal
CUST-1503,106,7,551.17,At-Risk
CUST-1504,67,5,339.06,Potential
CUST-1505,51,11,1499.05,Loyal
CUST-1506,420,1,76.1,Hibernating
CUST-1507,170,4,1034.7,At-Risk
CUST-1508,267,2,153.28,Hibernating
CUST-1509,212,9,1148.88,At-Risk
CUST-1510,20,3,529.91,Potential
CUST-1511,53,4,500.59,Potential
CUST-1512,348,1,95.27,Hibernating
CUST-1513,173,7,785.07,At-Risk
CUST-1514,3,28,3834.92,Champions
CUST-1515,15,24,3762.54,Champions
CUST-1516,15,6,1072.49,Loyal
CUST-1517,121,11,803.23,At-Risk
CUST-1518,307,2,98.24,Hibernating
CUST-1519,49,13,1378.52,Loyal
CUST-1520,77,2,442.77,Potential
CUST-1521,18,13,1536.44,Loyal
CUST-1522,347,1,38.87,Hibernating
CUST-1523,169,9,736.26,At-Risk
CUST-1524,102,11,960.91,At-Risk
CUST-1525,62,3,616.41,Potential
CUST-1526,39,5,271.3,Potential
CUST-1527,36,8,1704.48,Loyal
CUST-1528,5,19,3610.14,Champions
CUST-1529,203,11,558.51,At-Risk
CUST-1530,172,6,917.44,At-Risk
CUST-1531,305,1,84.41,Hibernating
CUST-1532,319,1,105.51,Hibernating
CUST-1533,47,6,534.35,Potential
CUST-1534,207,11,724.09,At-Risk
CUST-1535,198,2,147.28,Hibernating
CUST-1536,212,5,774.23,At-Risk
CUST-1537,47,9,1024.98,Loyal
CUST-1538,73,4,506.8,Potential
CUST-1539,18,21,4001.39,Champions
CUST-1540,236,2,111.31,Hibernating
CUST-1541,36,3,358.98,Potential
CUST-1542,20,15,1330.88,Loyal
CUST-1543,88,3,339.09,Potential
CUST-1544,60,2,317.01,Potential
CUST-1545,17,15,901.63,Loyal
CUST-1546,2,14,2646.88,Champions
CUST-1547,57,3,329.53,Potential
CUST-1548,62,4,384.4,Potential
CUST-1549,197,6,832.09,At-Risk
CUST-1550,85,6,547.37,Potential
CUST-1551,185,11,612.93,At-Risk
CUST-1552,89,2,252.26,Potential
CUST-1553,21,6,470.33,Potential
CUST-1554,154,6,846.27,At-Risk
CUST-1555,41,5,483.22,Potential
CUST-1556,2,24,3062.37,Champions
CUST-1557,4,18,3173.91,Champions
CUST-1558,138,4,1043.01,At-Risk
CUST-1559,55,2,442.54,Potential
CUST-1560,135,5,692.15,At-Risk
CUST-1561,52,6,1609.28,Loyal
CUST-1562,10,29,2699.38,Champions
CUST-1563,15,26,3902.86,Champions
CUST-1564,18,14,1479.16,Loyal
CUST-1565,60,3,267.07,Potential
CUST-1566,34,13,1717.84,Loyal
CUST-1567,71,2,511.5,Potential
CUST-1568,248,1,178.2,Hibernating
CUST-1569,47,7,1309.76,Loyal
CUST-1570,67,3,417.53,Potential
CUST-1571,152,8,1123.15,At-Risk
CUST-1572,17,15,896.93,Loyal
CUST-1573,27,4,461.1,Potential
CUST-1574,162,8,1168.24,At-Risk
CUST-1575,361,1,204.55,Hibernating
CUST-1576,9,29,3061.48,Champions
CUST-1577,237,1,168.13,Hibernating
CUST-1578,79,3,841.26,Potential
CUST-1579,57,10,1384.13,Loyal
CUST-1580,37,3,629.88,Potential
CUST-1581,365,1,110.02,Hibernating
CUST-1582,23,6,393.22,Potential
CUST-1583,42,6,1390.83,Loyal
CUST-1584,74,4,659.91,Potential
CUST-1585,15,11,1094.53,Loyal
CUST-1586,6,32,3525.62,Champions
CUST-1587,7,14,2576.68,Champions
CUST-1588,13,26,2783.39,Champions
CUST-1589,19,6,1498.99,Loyal
CUST-1590,4,23,3259.76,Champions
CUST-1591,42,2,250.83,Potential
CUST-1592,35,15,1544.56,Loyal
CUST-1593,46,12,1564.18,Loyal
CUST-1594,215,2,113.44,Hibernating
CUST-1595,58,2,183.68,Potential
CUST-1596,80,2,486.99,Potential
CUST-1597,19,15,753.02,Loyal
CUST-1598,37,6,1247.04,Loyal
CUST-1599,9,26,1955.55,Champions
CUST-1600,51,12,1566.65,Loyal
CUST-1601,37,6,1124.39,Loyal
CUST-1602,54,10,1692.75,Loyal
CUST-1603,18,33,3751.07,Champions
CUST-1604,1,28,4143.35,Champions
CUST-1605,29,5,380.35,Potential
CUST-1606,50,7,2128.01,Loyal
CUST-1607,28,12,1529.89,Loyal
CUST-1608,66,4,593.86,Potential
CUST-1609,43,4,355.21,Potential
CUST-1610,9,26,3521.83,Champions
CUST-1611,163,11,991.64,At-Risk
CUST-1612,66,3,450.05,Potential
CUST-1613,19,24,2421.7,Champions
CUST-1614,218,5,889.45,At-Risk
CUST-1615,307,2,187.26,Hibernating
CUST-1616,17,18,3375.06,Champions
CUST-1617,17,12,1272.5,Loyal
CUST-1618,147,4,1156.92,At-Risk
CUST-1619,220,10,980.06,At-Risk
CUST-1620,43,10,1617.8,Loyal
CUST-1621,30,14,1117.81,Loyal
CUST-1622,42,14,1773.35,Loyal
CUST-1623,60,4,465.84,Potential
CUST-1624,70,2,575.3,Potential
CUST-1625,33,7,2336.57,Loyal
CUST-1626,60,6,410.89,Potential
CUST-1627,119,4,897.38,At-Risk
CUST-1628,8,29,3174.31,Champions
CUST-1629,46,13,1417.41,Loyal
CUST-1630,111,9,1112.11,At-Risk
CUST-1631,399,2,20.12,Hibernating
CUST-1632,76,2,426.73,Potential
CUST-1633,64,5,370.4,Potential
CUST-1634,10,14,2818.78,Champions
CUST-1635,83,4,307.24,Potential
CUST-1636,74,5,661.4,Potential
CUST-1637,45,7,1315.15,Loyal
CUST-1638,23,7,1480.56,Loyal
CUST-1639,39,9,1853.9,Loyal
CUST-1640,8,20,4037.96,Champions
CUST-1641,59,12,1524.39,Loyal
CUST-1642,46,15,1600.59,Loyal
CUST-1643,21,14,1124.6,Loyal
CUST-1644,6,28,3583.56,Champions
CUST-1645,243,2,51.35,Hibernating
CUST-1646,55,3,673.76,Potential
CUST-1647,61,5,583.19,Potential
CUST-1648,102,6,688.09,At-Risk
CUST-1649,78,2,371.75,Potential
CUST-1650,8,24,2977.7,Champions
CUST-1651,29,5,281.33,Potential
CUST-1652,30,2,325.16,Potential
CUST-1653,204,5,960.11,At-Risk
CUST-1654,42,3,440.2,Potential
CUST-1655,6,26,3526.03,Champions
CUST-1656,17,11,1156.1,Loyal
CUST-1657,44,10,1620.2,Loyal
CUST-1658,32,4,266.89,Potential
CUST-1659,72,5,524.14,Potential
CUST-1660,46,12,1621.79,Loyal
CUST-1661,340,2,142.65,Hibernating
CUST-1662,27,2,246.0,Potential
CUST-1663,35,8,1322.18,Loyal
CUST-1664,15,16,3788.06,Champions
CUST-1665,20,14,1506.77,Loyal
CUST-1666,54,12,1259.26,Loyal
CUST-1667,52,9,1593.39,Loyal
CUST-1668,26,15,1396.05,Loyal
CUST-1669,45,6,1342.84,Loyal
CUST-1670,49,9,1342.75,Loyal
CUST-1671,265,2,108.52,Hibernating
CUST-1672,14,29,2580.96,Champions
CUST-1673,74,4,583.6,Potential
CUST-1674,77,4,434.62,Potential
CUST-1675,304,2,136.39,Hibernating
CUST-1676,19,15,4261.26,Champions
CUST-1677,57,14,1252.36,Loyal
CUST-1678,227,1,97.42,Hibernating
CUST-1679,117,8,1139.57,At-Risk
CUST-1680,148,8,1179.61,At-Risk
CUST-1681,34,11,1564.79,Loyal
CUST-1682,39,7,1681.47,Loyal
CUST-1683,40,5,407.41,Potential
CUST-1684,312,1,154.52,Hibernating
CUST-1685,73,3,579.32,Potential
