date,warehouse_id,sku_id,daily_sales,is_promotion,day_of_week,month,lead_time_days
2023-02-23,WH-EAST-NJ,SKU-ELECTRONICS-01,88,0,3,2,4
2023-02-24,WH-EAST-NJ,SKU-ELECTRONICS-01,65,0,4,2,4
2023-02-25,WH-EAST-NJ,SKU-ELECTRONICS-01,134,0,5,2,4
2023-02-26,WH-EAST-NJ,SKU-ELECTRONICS-01,214,1,6,2,4
2023-02-27,WH-EAST-NJ,SKU-ELECTRONICS-01,90,0,0,2,4
2023-02-28,WH-EAST-NJ,SKU-ELECTRONICS-01,83,0,1,2,4
2023-03-01,WH-EAST-NJ,SKU-ELECTRONICS-01,109,0,2,3,4
2023-03-02,WH-EAST-NJ,SKU-ELECTRONICS-01,94,0,3,3,4
2023-03-03,WH-EAST-NJ,SKU-ELECTRONICS-01,78,0,4,3,4
2023-03-04,WH-EAST-NJ,SKU-ELECTRONICS-01,136,0,5,3,4
2023-03-05,WH-EAST-NJ,SKU-ELECTRONICS-01,130,0,6,3,4
2023-03-06,WH-EAST-NJ,SKU-ELECTRONICS-01,156,1,0,3,4
2023-03-07,WH-EAST-NJ,SKU-ELECTRONICS-01,92,0,1,3,4
2023-03-08,WH-EAST-NJ,SKU-ELECTRONICS-01,155,1,2,3,4
2023-03-09,WH-EAST-NJ,SKU-ELECTRONICS-01,94,0,3,3,4
2023-03-10,WH-EAST-NJ,SKU-ELECTRONICS-01,87,0,4,3,4
2023-03-11,WH-EAST-NJ,SKU-ELECTRONICS-01,142,0,5,3,4
2023-03-12,WH-EAST-NJ,SKU-ELECTRONICS-01,149,0,6,3,4
2023-03-13,WH-EAST-NJ,SKU-ELECTRONICS-01,108,0,0,3,4
2023-03-14,WH-EAST-NJ,SKU-ELECTRONICS-01,147,1,1,3,4
2023-03-15,WH-EAST-NJ,SKU-ELECTRONICS-01,104,0,2,3,4
2023-03-16,WH-EAST-NJ,SKU-ELECTRONICS-01,169,1,3,3,4
2023-03-17,WH-EAST-NJ,SKU-ELECTRONICS-01,160,1,4,3,4
2023-03-18,WH-EAST-NJ,SKU-ELECTRONICS-01,141,0,5,3,4
2023-03-19,WH-EAST-NJ,SKU-ELECTRONICS-01,122,0,6,3,4
2023-03-20,WH-EAST-NJ,SKU-ELECTRONICS-01,101,0,0,3,4
2023-03-21,WH-EAST-NJ,SKU-ELECTRONICS-01,150,1,1,3,4
2023-03-22,WH-EAST-NJ,SKU-ELECTRONICS-01,91,0,2,3,4
2023-03-23,WH-EAST-NJ,SKU-ELECTRONICS-01,100,0,3,3,4
2023-03-24,WH-EAST-NJ,SKU-ELECTRONICS-01,108,0,4,3,4
2023-03-25,WH-EAST-NJ,SKU-ELECTRONICS-01,160,0,5,3,4
2023-03-26,WH-EAST-NJ,SKU-ELECTRONICS-01,201,1,6,3,4
2023-03-27,WH-EAST-NJ,SKU-ELECTRONICS-01,106,0,0,3,4
2023-03-28,WH-EAST-NJ,SKU-ELECTRONICS-01,101,0,1,3,4
2023-03-29,WH-EAST-NJ,SKU-ELECTRONICS-01,164,1,2,3,4
2023-03-30,WH-EAST-NJ,SKU-ELECTRONICS-01,97,0,3,3,4
2023-03-31,WH-EAST-NJ,SKU-ELECTRONICS-01,160,1,4,3,4
2023-04-01,WH-EAST-NJ,SKU-ELECTRONICS-01,211,1,5,4,4
2023-04-02,WH-EAST-NJ,SKU-ELECTRONICS-01,119,0,6,4,4
2023-04-03,WH-EAST-NJ,SKU-ELECTRONICS-01,99,0,0,4,4
2023-04-04,WH-EAST-NJ,SKU-ELECTRONICS-01,82,0,1,4,4
2023-04-05,WH-EAST-NJ,SKU-ELECTRONICS-01,100,0,2,4,4
2023-04-06,WH-EAST-NJ,SKU-ELECTRONICS-01,105,0,3,4,4
2023-04-07,WH-EAST-NJ,SKU-ELECTRONICS-01,83,0,4,4,4
2023-04-08,WH-EAST-NJ,SKU-ELECTRONICS-01,132,0,5,4,4
2023-04-09,WH-EAST-NJ,SKU-ELECTRONICS-01,140,0,6,4,4
2023-04-10,WH-EAST-NJ,SKU-ELECTRONICS-01,90,0,0,4,4
2023-04-11,WH-EAST-NJ,SKU-ELECTRONICS-01,119,0,1,4,4
2023-04-12,WH-EAST-NJ,SKU-ELECTRONICS-01,93,0,2,4,4
2023-04-13,WH-EAST-NJ,SKU-ELECTRONICS-01,82,0,3,4,4
2023-04-14,WH-EAST-NJ,SKU-ELECTRONICS-01,157,1,4,4,4
2023-04-15,WH-EAST-NJ,SKU-ELECTRONICS-01,130,0,5,4,4
2023-04-16,WH-EAST-NJ,SKU-ELECTRONICS-01,138,0,6,4,4
2023-04-17,WH-EAST-NJ,SKU-ELECTRONICS-01,87,0,0,4,4
2023-04-18,WH-EAST-NJ,SKU-ELECTRONICS-01,100,0,1,4,4
2023-04-19,WH-EAST-NJ,SKU-ELECTRONICS-01,83,0,2,4,4
2023-04-20,WH-EAST-NJ,SKU-ELECTRONICS-01,87,0,3,4,4
2023-04-21,WH-EAST-NJ,SKU-ELECTRONICS-01,98,0,4,4,4
2023-04-22,WH-EAST-NJ,SKU-ELECTRONICS-01,227,1,5,4,4
2023-04-23,WH-EAST-NJ,SKU-ELECTRONICS-01,141,0,6,4,4
2023-04-24,WH-EAST-NJ,SKU-ELECTRONICS-01,92,0,0,4,4
2023-04-25,WH-EAST-NJ,SKU-ELECTRONICS-01,82,0,1,4,4
2023-04-26,WH-EAST-NJ,SKU-ELECTRONICS-01,106,0,2,4,4
2023-04-27,WH-EAST-NJ,SKU-ELECTRONICS-01,95,0,3,4,4
2023-04-28,WH-EAST-NJ,SKU-ELECTRONICS-01,95,0,4,4,4
2023-04-29,WH-EAST-NJ,SKU-ELECTRONICS-01,145,0,5,4,4
2023-04-30,WH-EAST-NJ,SKU-ELECTRONICS-01,131,0,6,4,4
2023-05-01,WH-EAST-NJ,SKU-ELECTRONICS-01,87,0,0,5,4
2023-05-02,WH-EAST-NJ,SKU-ELECTRONICS-01,87,0,1,5,4
2023-05-03,WH-EAST-NJ,SKU-ELECTRONICS-01,87,0,2,5,4
2023-05-04,WH-EAST-NJ,SKU-ELECTRONICS-01,128,1,3,5,4
2023-05-05,WH-EAST-NJ,SKU-ELECTRONICS-01,67,0,4,5,4
2023-05-06,WH-EAST-NJ,SKU-ELECTRONICS-01,125,0,5,5,4
2023-05-07,WH-EAST-NJ,SKU-ELECTRONICS-01,185,1,6,5,4
2023-05-08,WH-EAST-NJ,SKU-ELECTRONICS-01,82,0,0,5,4
2023-05-09,WH-EAST-NJ,SKU-ELECTRONICS-01,90,0,1,5,4
2023-05-10,WH-EAST-NJ,SKU-ELECTRONICS-01,124,1,2,5,4
2023-05-11,WH-EAST-NJ,SKU-ELECTRONICS-01,160,1,3,5,4
2023-05-12,WH-EAST-NJ,SKU-ELECTRONICS-01,103,0,4,5,4
2023-05-13,WH-EAST-NJ,SKU-ELECTRONICS-01,121,0,5,5,4
2023-05-14,WH-EAST-NJ,SKU-ELECTRONICS-01,125,0,6,5,4
2023-05-15,WH-EAST-NJ,SKU-ELECTRONICS-01,81,0,0,5,4
2023-05-16,WH-EAST-NJ,SKU-ELECTRONICS-01,120,1,1,5,4
2023-05-17,WH-EAST-NJ,SKU-ELECTRONICS-01,129,1,2,5,4
2023-05-18,WH-EAST-NJ,SKU-ELECTRONICS-01,102,0,3,5,4
2023-05-19,WH-EAST-NJ,SKU-ELECTRONICS-01,88,0,4,5,4
2023-05-20,WH-EAST-NJ,SKU-ELECTRONICS-01,105,0,5,5,4
2023-05-21,WH-EAST-NJ,SKU-ELECTRONICS-01,125,0,6,5,4
2023-05-22,WH-EAST-NJ,SKU-ELECTRONICS-01,102,0,0,5,4
2023-05-23,WH-EAST-NJ,SKU-ELECTRONICS-01,78,0,1,5,4
2023-05-24,WH-EAST-NJ,SKU-ELECTRONICS-01,72,0,2,5,4
2023-05-25,WH-EAST-NJ,SKU-ELECTRONICS-01,134,1,3,5,4
2023-05-26,WH-EAST-NJ,SKU-ELECTRONICS-01,155,1,4,5,4
2023-05-27,WH-EAST-NJ,SKU-ELECTRONICS-01,108,0,5,5,4
2023-05-28,WH-EAST-NJ,SKU-ELECTRONICS-01,120,0,6,5,4
2023-05-29,WH-EAST-NJ,SKU-ELECTRONICS-01,100,0,0,5,4
2023-05-30,WH-EAST-NJ,SKU-ELECTRONICS-01,150,1,1,5,4
2023-05-31,WH-EAST-NJ,SKU-ELECTRONICS-01,86,0,2,5,4
2023-06-01,WH-EAST-NJ,SKU-ELECTRONICS-01,99,0,3,6,4
2023-06-02,WH-EAST-NJ,SKU-ELECTRONICS-01,73,0,4,6,4
2023-06-03,WH-EAST-NJ,SKU-ELECTRONICS-01,108,0,5,6,4
2023-06-04,WH-EAST-NJ,SKU-ELECTRONICS-01,89,0,6,6,4
2023-06-05,WH-EAST-NJ,SKU-ELECTRONICS-01,88,0,0,6,4
2023-06-06,WH-EAST-NJ,SKU-ELECTRONICS-01,82,0,1,6,4
2023-06-07,WH-EAST-NJ,SKU-ELECTRONICS-01,76,0,2,6,4
2023-06-08,WH-EAST-NJ,SKU-ELECTRONICS-01,71,0,3,6,4
2023-06-09,WH-EAST-NJ,SKU-ELECTRONICS-01,78,0,4,6,4
2023-06-10,WH-EAST-NJ,SKU-ELECTRONICS-01,101,0,5,6,4
2023-06-11,WH-EAST-NJ,SKU-ELECTRONICS-01,104,0,6,6,4
2023-06-12,WH-EAST-NJ,SKU-ELECTRONICS-01,79,0,0,6,4
2023-06-13,WH-EAST-NJ,SKU-ELECTRONICS-01,81,0,1,6,4
2023-06-14,WH-EAST-NJ,SKU-ELECTRONICS-01,81,0,2,6,4
2023-06-15,WH-EAST-NJ,SKU-ELECTRONICS-01,68,0,3,6,4
2023-06-16,WH-EAST-NJ,SKU-ELECTRONICS-01,58,0,4,6,4
2023-06-17,WH-EAST-NJ,SKU-ELECTRONICS-01,95,0,5,6,4
2023-06-18,WH-EAST-NJ,SKU-ELECTRONICS-01,123,0,6,6,4
2023-06-19,WH-EAST-NJ,SKU-ELECTRONICS-01,71,0,0,6,4
2023-06-20,WH-EAST-NJ,SKU-ELECTRONICS-01,121,1,1,6,4
2023-06-21,WH-EAST-NJ,SKU-ELECTRONICS-01,85,0,2,6,4
2023-06-22,WH-EAST-NJ,SKU-ELECTRONICS-01,73,0,3,6,4
2023-06-23,WH-EAST-NJ,SKU-ELECTRONICS-01,130,1,4,6,4
2023-06-24,WH-EAST-NJ,SKU-ELECTRONICS-01,105,0,5,6,4
2023-06-25,WH-EAST-NJ,SKU-ELECTRONICS-01,101,0,6,6,4
2023-06-26,WH-EAST-NJ,SKU-ELECTRONICS-01,95,0,0,6,4
2023-06-27,WH-EAST-NJ,SKU-ELECTRONICS-01,86,0,1,6,4
2023-06-28,WH-EAST-NJ,SKU-ELECTRONICS-01,88,0,2,6,4
2023-06-29,WH-EAST-NJ,SKU-ELECTRONICS-01,64,0,3,6,4
2023-06-30,WH-EAST-NJ,SKU-ELECTRONICS-01,69,0,4,6,4
2023-07-01,WH-EAST-NJ,SKU-ELECTRONICS-01,94,0,5,7,4
2023-07-02,WH-EAST-NJ,SKU-ELECTRONICS-01,91,0,6,7,4
2023-07-03,WH-EAST-NJ,SKU-ELECTRONICS-01,114,1,0,7,4
2023-07-04,WH-EAST-NJ,SKU-ELECTRONICS-01,112,1,1,7,4
2023-07-05,WH-EAST-NJ,SKU-ELECTRONICS-01,119,1,2,7,4
2023-07-06,WH-EAST-NJ,SKU-ELECTRONICS-01,102,1,3,7,4
2023-07-07,WH-EAST-NJ,SKU-ELECTRONICS-01,68,0,4,7,4
2023-07-08,WH-EAST-NJ,SKU-ELECTRONICS-01,106,0,5,7,4
2023-07-09,WH-EAST-NJ,SKU-ELECTRONICS-01,89,0,6,7,4
2023-07-10,WH-EAST-NJ,SKU-ELECTRONICS-01,59,0,0,7,4
2023-07-11,WH-EAST-NJ,SKU-ELECTRONICS-01,120,1,1,7,4
2023-07-12,WH-EAST-NJ,SKU-ELECTRONICS-01,46,0,2,7,4
2023-07-13,WH-EAST-NJ,SKU-ELECTRONICS-01,82,0,3,7,4
2023-07-14,WH-EAST-NJ,SKU-ELECTRONICS-01,103,1,4,7,4
2023-07-15,WH-EAST-NJ,SKU-ELECTRONICS-01,94,0,5,7,4
2023-07-16,WH-EAST-NJ,SKU-ELECTRONICS-01,163,1,6,7,4
2023-07-17,WH-EAST-NJ,SKU-ELECTRONICS-01,74,0,0,7,4
2023-07-18,WH-EAST-NJ,SKU-ELECTRONICS-01,52,0,1,7,4
2023-07-19,WH-EAST-NJ,SKU-ELECTRONICS-01,58,0,2,7,4
2023-07-20,WH-EAST-NJ,SKU-ELECTRONICS-01,67,0,3,7,4
2023-07-21,WH-EAST-NJ,SKU-ELECTRONICS-01,76,0,4,7,4
2023-07-22,WH-EAST-NJ,SKU-ELECTRONICS-01,155,1,5,7,4
2023-07-23,WH-EAST-NJ,SKU-ELECTRONICS-01,95,0,6,7,4
2023-07-24,WH-EAST-NJ,SKU-ELECTRONICS-01,62,0,0,7,4
2023-07-25,WH-EAST-NJ,SKU-ELECTRONICS-01,85,0,1,7,4
2023-07-26,WH-EAST-NJ,SKU-ELECTRONICS-01,65,0,2,7,4
2023-07-27,WH-EAST-NJ,SKU-ELECTRONICS-01,76,0,3,7,4
2023-07-28,WH-EAST-NJ,SKU-ELECTRONICS-01,64,0,4,7,4
2023-07-29,WH-EAST-NJ,SKU-ELECTRONICS-01,80,0,5,7,4
2023-07-30,WH-EAST-NJ,SKU-ELECTRONICS-01,75,0,6,7,4
2023-07-31,WH-EAST-NJ,SKU-ELECTRONICS-01,70,0,0,7,4
2023-08-01,WH-EAST-NJ,SKU-ELECTRONICS-01,66,0,1,8,4
2023-08-02,WH-EAST-NJ,SKU-ELECTRONICS-01,74,0,2,8,4
2023-08-03,WH-EAST-NJ,SKU-ELECTRONICS-01,58,0,3,8,4
2023-08-04,WH-EAST-NJ,SKU-ELECTRONICS-01,56,0,4,8,4
2023-08-05,WH-EAST-NJ,SKU-ELECTRONICS-01,87,0,5,8,4
2023-08-06,WH-EAST-NJ,SKU-ELECTRONICS-01,73,0,6,8,4
2023-08-07,WH-EAST-NJ,SKU-ELECTRONICS-01,62,0,0,8,4
2023-08-08,WH-EAST-NJ,SKU-ELECTRONICS-01,62,0,1,8,4
2023-08-09,WH-EAST-NJ,SKU-ELECTRONICS-01,58,0,2,8,4
2023-08-10,WH-EAST-NJ,SKU-ELECTRONICS-01,58,0,3,8,4
2023-08-11,WH-EAST-NJ,SKU-ELECTRONICS-01,74,0,4,8,4
2023-08-12,WH-EAST-NJ,SKU-ELECTRONICS-01,87,0,5,8,4
2023-08-13,WH-EAST-NJ,SKU-ELECTRONICS-01,81,0,6,8,4
2023-08-14,WH-EAST-NJ,SKU-ELECTRONICS-01,79,1,0,8,4
2023-08-15,WH-EAST-NJ,SKU-ELECTRONICS-01,45,0,1,8,4
2023-08-16,WH-EAST-NJ,SKU-ELECTRONICS-01,64,0,2,8,4
2023-08-17,WH-EAST-NJ,SKU-ELECTRONICS-01,51,0,3,8,4
2023-08-18,WH-EAST-NJ,SKU-ELECTRONICS-01,56,0,4,8,4
2023-08-19,WH-EAST-NJ,SKU-ELECTRONICS-01,85,0,5,8,4
2023-08-20,WH-EAST-NJ,SKU-ELECTRONICS-01,100,0,6,8,4
2023-08-21,WH-EAST-NJ,SKU-ELECTRONICS-01,69,0,0,8,4
2023-08-22,WH-EAST-NJ,SKU-ELECTRONICS-01,61,0,1,8,4
2023-08-23,WH-EAST-NJ,SKU-ELECTRONICS-01,110,1,2,8,4
2023-08-24,WH-EAST-NJ,SKU-ELECTRONICS-01,68,0,3,8,4
2023-08-25,WH-EAST-NJ,SKU-ELECTRONICS-01,77,1,4,8,4
2023-08-26,WH-EAST-NJ,SKU-ELECTRONICS-01,99,0,5,8,4
2023-08-27,WH-EAST-NJ,SKU-ELECTRONICS-01,86,0,6,8,4
2023-08-28,WH-EAST-NJ,SKU-ELECTRONICS-01,37,0,0,8,4
2023-08-29,WH-EAST-NJ,SKU-ELECTRONICS-01,69,0,1,8,4
2023-08-30,WH-EAST-NJ,SKU-ELECTRONICS-01,62,0,2,8,4
2023-08-31,WH-EAST-NJ,SKU-ELECTRONICS-01,95,1,3,8,4
2023-09-01,WH-EAST-NJ,SKU-ELECTRONICS-01,64,0,4,9,4
2023-09-02,WH-EAST-NJ,SKU-ELECTRONICS-01,80,0,5,9,4
2023-09-03,WH-EAST-NJ,SKU-ELECTRONICS-01,85,0,6,9,4
2023-09-04,WH-EAST-NJ,SKU-ELECTRONICS-01,55,0,0,9,4
2023-09-05,WH-EAST-NJ,SKU-ELECTRONICS-01,90,1,1,9,4
2023-09-06,WH-EAST-NJ,SKU-ELECTRONICS-01,80,1,2,9,4
2023-09-07,WH-EAST-NJ,SKU-ELECTRONICS-01,61,0,3,9,4
2023-09-08,WH-EAST-NJ,SKU-ELECTRONICS-01,77,0,4,9,4
2023-09-09,WH-EAST-NJ,SKU-ELECTRONICS-01,77,0,5,9,4
2023-09-10,WH-EAST-NJ,SKU-ELECTRONICS-01,72,0,6,9,4
2023-09-11,WH-EAST-NJ,SKU-ELECTRONICS-01,85,1,0,9,4
2023-09-12,WH-EAST-NJ,SKU-ELECTRONICS-01,76,1,1,9,4
2023-09-13,WH-EAST-NJ,SKU-ELECTRONICS-01,55,0,2,9,4
2023-09-14,WH-EAST-NJ,SKU-ELECTRONICS-01,55,0,3,9,4
2023-09-15,WH-EAST-NJ,SKU-ELECTRONICS-01,57,0,4,9,4
2023-09-16,WH-EAST-NJ,SKU-ELECTRONICS-01,89,0,5,9,4
2023-09-17,WH-EAST-NJ,SKU-ELECTRONICS-01,74,0,6,9,4
2023-09-18,WH-EAST-NJ,SKU-ELECTRONICS-01,51,0,0,9,4
2023-09-19,WH-EAST-NJ,SKU-ELECTRONICS-01,44,0,1,9,4
2023-09-20,WH-EAST-NJ,SKU-ELECTRONICS-01,50,0,2,9,4
2023-09-21,WH-EAST-NJ,SKU-ELECTRONICS-01,35,0,3,9,4
2023-09-22,WH-EAST-NJ,SKU-ELECTRONICS-01,99,1,4,9,4
2023-09-23,WH-EAST-NJ,SKU-ELECTRONICS-01,71,0,5,9,4
2023-09-24,WH-EAST-NJ,SKU-ELECTRONICS-01,71,0,6,9,4
2023-09-25,WH-EAST-NJ,SKU-ELECTRONICS-01,57,0,0,9,4
2023-09-26,WH-EAST-NJ,SKU-ELECTRONICS-01,48,0,1,9,4
2023-09-27,WH-EAST-NJ,SKU-ELECTRONICS-01,47,0,2,9,4
2023-09-28,WH-EAST-NJ,SKU-ELECTRONICS-01,80,1,3,9,4
2023-09-29,WH-EAST-NJ,SKU-ELECTRONICS-01,50,0,4,9,4
2023-09-30,WH-EAST-NJ,SKU-ELECTRONICS-01,131,1,5,9,4
2023-10-01,WH-EAST-NJ,SKU-ELECTRONICS-01,93,0,6,10,4
2023-10-02,WH-EAST-NJ,SKU-ELECTRONICS-01,50,0,0,10,4
2023-10-03,WH-EAST-NJ,SKU-ELECTRONICS-01,59,0,1,10,4
2023-10-04,WH-EAST-NJ,SKU-ELECTRONICS-01,55,0,2,10,4
2023-10-05,WH-EAST-NJ,SKU-ELECTRONICS-01,111,1,3,10,4
2023-10-06,WH-EAST-NJ,SKU-ELECTRONICS-01,73,0,4,10,4
2023-10-07,WH-EAST-NJ,SKU-ELECTRONICS-01,71,0,5,10,4
2023-10-08,WH-EAST-NJ,SKU-ELECTRONICS-01,84,0,6,10,4
2023-10-09,WH-EAST-NJ,SKU-ELECTRONICS-01,60,0,0,10,4
2023-10-10,WH-EAST-NJ,SKU-ELECTRONICS-01,90,1,1,10,4
2023-10-11,WH-EAST-NJ,SKU-ELECTRONICS-01,53,0,2,10,4
2023-10-12,WH-EAST-NJ,SKU-ELECTRONICS-01,51,0,3,10,4
2023-10-13,WH-EAST-NJ,SKU-ELECTRONICS-01,54,0,4,10,4
2023-10-14,WH-EAST-NJ,SKU-ELECTRONICS-01,110,1,5,10,4
2023-10-15,WH-EAST-NJ,SKU-ELECTRONICS-01,91,0,6,10,4
2023-10-16,WH-EAST-NJ,SKU-ELECTRONICS-01,99,1,0,10,4
2023-10-17,WH-EAST-NJ,SKU-ELECTRONICS-01,58,0,1,10,4
2023-10-18,WH-EAST-NJ,SKU-ELECTRONICS-01,52,0,2,10,4
2023-10-19,WH-EAST-NJ,SKU-ELECTRONICS-01,54,0,3,10,4
2023-10-20,WH-EAST-NJ,SKU-ELECTRONICS-01,79,0,4,10,4
2023-10-21,WH-EAST-NJ,SKU-ELECTRONICS-01,100,0,5,10,4
2023-10-22,WH-EAST-NJ,SKU-ELECTRONICS-01,78,0,6,10,4
2023-10-23,WH-EAST-NJ,SKU-ELECTRONICS-01,49,0,0,10,4
2023-10-24,WH-EAST-NJ,SKU-ELECTRONICS-01,54,0,1,10,4
2023-10-25,WH-EAST-NJ,SKU-ELECTRONICS-01,56,0,2,10,4
2023-10-26,WH-EAST-NJ,SKU-ELECTRONICS-01,48,0,3,10,4
2023-10-27,WH-EAST-NJ,SKU-ELECTRONICS-01,62,0,4,10,4
2023-10-28,WH-EAST-NJ,SKU-ELECTRONICS-01,83,0,5,10,4
2023-10-29,WH-EAST-NJ,SKU-ELECTRONICS-01,131,1,6,10,4
2023-10-30,WH-EAST-NJ,SKU-ELECTRONICS-01,89,1,0,10,4
2023-10-31,WH-EAST-NJ,SKU-ELECTRONICS-01,67,0,1,10,4
2023-11-01,WH-EAST-NJ,SKU-ELECTRONICS-01,59,0,2,11,4
2023-11-02,WH-EAST-NJ,SKU-ELECTRONICS-01,90,0,3,11,4
2023-11-03,WH-EAST-NJ,SKU-ELECTRONICS-01,68,0,4,11,4
2023-11-04,WH-EAST-NJ,SKU-ELECTRONICS-01,95,0,5,11,4
2023-11-05,WH-EAST-NJ,SKU-ELECTRONICS-01,156,1,6,11,4
2023-11-06,WH-EAST-NJ,SKU-ELECTRONICS-01,82,0,0,11,4
2023-11-07,WH-EAST-NJ,SKU-ELECTRONICS-01,100,1,1,11,4
2023-11-08,WH-EAST-NJ,SKU-ELECTRONICS-01,72,0,2,11,4
2023-11-09,WH-EAST-NJ,SKU-ELECTRONICS-01,71,0,3,11,4
2023-11-10,WH-EAST-NJ,SKU-ELECTRONICS-01,76,0,4,11,4
2023-11-11,WH-EAST-NJ,SKU-ELECTRONICS-01,91,0,5,11,4
2023-11-12,WH-EAST-NJ,SKU-ELECTRONICS-01,103,0,6,11,4
2023-11-13,WH-EAST-NJ,SKU-ELECTRONICS-01,59,0,0,11,4
2023-11-14,WH-EAST-NJ,SKU-ELECTRONICS-01,44,0,1,11,4
2023-11-15,WH-EAST-NJ,SKU-ELECTRONICS-01,50,0,2,11,4
2023-11-16,WH-EAST-NJ,SKU-ELECTRONICS-01,66,0,3,11,4
2023-11-17,WH-EAST-NJ,SKU-ELECTRONICS-01,75,0,4,11,4
2023-11-18,WH-EAST-NJ,SKU-ELECTRONICS-01,95,0,5,11,4
2023-11-19,WH-EAST-NJ,SKU-ELECTRONICS-01,152,1,6,11,4
